사업장명칭,주사육업종,사업장소재지(도로명), 사육두수 
농장명없음,한우,대전광역시 서구 외금곡길 11 (봉곡동),6
농장명없음,염소,대전광역시 서구 봉곡동 12-7,20
봉곡농장,한우,대전광역시 서구 봉곡동 193-13  ,74
봉곡농장,한우,대전광역시 서구 세점길 460 (봉곡동),91
봉곡농장,한우,대전광역시 서구 봉곡동 186-2  ,46
대전농장,한우,대전광역시 서구 벌곡로 387 (평촌동),23
너울농장,한우,대전광역시 서구 원매노길 41 (매노동),31
봉농장,한우,대전광역시 서구 세점길 667 (봉곡동),6
장안농장,한우,대전광역시 서구 장안로 615 (장안동),6
동현농장,한우,대전광역시 서구 비선말길 116-33 (산직동),35
동창농장,염소,대전광역시 서구 삼보실길 67-51(장안동),14
덕골농장,한우,대전광역시 서구 덕골길 31-42 (원정동),15
덕골농장,한우,대전광역시 서구 덕골길 55-7,26
장평농원,한우,대전광역시 서구 노루벌1길 240 (흑석동),42
자백농장,한우,대전광역시 서구 흑석동 689-4  ,26
부림농장,한우,대전광역시 서구 방앗간길 243 (용촌동),13
농장명없음,한우,대전광역시 서구 비선말길 116-10 (산직동),16
농장명없음,한우,대전광역시 서구 시누리길 7-11 (용촌동),2
정길농장,한우,대전광역시 서구 덕골길 31-46 (원정동),27
농장명없음,한우,대전광역시 서구 원매노길 46 (매노동),8
자백농장,한우,대전광역시 서구 세점길 180(흑석동),90
자백농장,한우,대전광역시 서구 흑석동 686-10  ,90
농장명없음,한우,대전광역시 서구 장안로 721 (장안동),8
농장명없음,한우,대전광역시 서구 무도리길 246 (원정동),8
아도농장,염소,대전광역시 서구 장안동 208,60
농장명없음,한우,대전광역시 서구 비선말길 116-32 (산직동),10
자연농장,염소,대전광역시 서구 내금곡길 153-41 (봉곡동),48
호선농장,한우,대전광역시 서구 조련길 38 (흑석동),3
원정농장,한우,대전광역시 서구 후곡길 110  (원정동),10
농장명없음,한우,대전광역시 서구 내금곡길 104-6 (봉곡동),3
성진목장,한우,대전광역시 서구 세점길 679-9 (봉곡동),83
농장명없음,한우,대전광역시 서구 세점길 584-40 (봉곡동),64
피그하우스,돼지,대전광역시 서구 사진개길 101 (흑석동),300
초록농장,한우,대전광역시 서구 요골길 290 (원정동),18
농장명없음,한우,대전광역시 서구 사기점골길 65 (평촌동),6
호빈농장,한우,대전광역시 서구 용촌동 264-3,25
용촌농장,한우,대전광역시 서구 시누리길 49 (용촌동),17
장태산 농장,한우,대전광역시 서구 길곡길 315 (장안동),2
농장명없음,한우,대전광역시 서구 요골길 68 (원정동),66
농장명없음,한우,대전광역시 서구 무도리길 85 (원정동),33
등골농장,한우,대전광역시 서구 언목재길 367-12 (흑석동),9
송씨네농장,한우,대전광역시 서구 괴곡길 445(괴곡동),2
단감농장,염소,대전광역시 서구 산직동 산21-1,4
동민목장,한우,대전광역시 서구 길마루길 12-11 (평촌동),19
흑염소 한 닭 농장,염소,대전광역시 서구 봉곡동 425,70
인선농장,한우,대전광역시 서구 시누리길 13-7 (용촌동),9
농장명없음,한우,대전광역시 서구 괴곡길 455-29 (괴곡동),2
성진농장,한우,대전광역시 서구 세점길 679-13 (봉곡동),35
농장명없음,염소,대전광역시 서구 세점길 599(봉곡동),25
농장명없음,한우,대전광역시 서구 세점길 601(봉곡동),22
용태울 농장,한우,대전광역시 서구 산직동 445,3
진일농장,한우,대전광역시 서구 증촌1길 41 (평촌동),22
금곡농장,한우,대전광역시 서구 세점길 403-8(봉곡동),81
광영농장,한우,대전광역시 서구 내금곡길 207 (봉곡동),46
동녘농장,한우,대전광역시 서구 세점길 403-25  (봉곡동),100
이동욱,한우,대전광역시 서구 내금곡길 31 (봉곡동),125
도개박골 농장,한우,대전광역시 서구 세점길 584-65 (봉곡동),58
농장명없음,한우,대전광역시 서구 외금곡길 38-22 (봉곡동),115
한우농장,한우,대전광역시 서구 세점길 679-49 (봉곡동),21
우리농장,한우,대전광역시 서구 시누리길 26-7 (용촌동),8
농장명없음,한우,대전광역시 서구 내금곡길 31 (봉곡동),166
오룡농장,한우,대전광역시 서구 오룡길 31 (산직동),2
흑석 농장,한우,대전광역시 서구 조련길 33-8,56
쌍둥이농장,한우,대전광역시 서구 세점길 679-11 (봉곡동),64
안평염소농장,염소,대전광역시 서구 장안동 186-2,65
복지농장,한우,대전광역시 서구 오동 202,9
농장명없음,염소,대전광역시 서구 장안로 604(장안동),14
안터목장,한우,대전광역시 서구 안터길 101 (산직동),6
농장명없음,한우,대전광역시 서구 세편길 171 (원정동),10
농장명없음,염소,대전광역시 서구 내금곡길 153-41(봉곡동),150
별빛농장,한우,대전광역시 서구 원정동 271-1  ,24
한우리농장,한우,대전광역시 서구 조련길 80 (흑석동),5
칠성농장,한우,대전광역시 서구 방앗간길 206 (용촌동),108
농장명없음,한우,대전광역시 서구 시누리길 40-9 (용촌동),4
C&J 목장,한우,대전광역시 서구 정방길 121-14 (용촌동),14
농장명없음,한우,대전광역시 서구 장안로 83-17 (매노동),3
승금,한우,대전광역시 서구 시누리길 7-1 (용촌동),3
우명농장,한우,대전광역시 서구 증촌1길 4-60 (평촌동),36
허화균농장,염소,대전광역시 서구 세점길 298 (흑석동),230
용촌목장,한우,대전광역시 서구 용촌동 264-4  ,133
