연번,사업장명칭,주사육업종,사업장소재지,사육두수,데이터 기준일자
1,중앙축산,한우,대전광역시 중구 정생로 105 (정생동),31,2024-12-31
2,평강농장,한우,대전광역시 중구 정생로 120 (정생동),42,2024-12-31
3,남성농장,한우,대전광역시 중구 산서로 614 (정생동),24,2024-12-31
4,침산농장,한우,대전광역시 중구 방아미로 95-17 (침산동),53,2024-12-31
5,푸른농장,한우,대전광역시 중구 단재로 20-57 (정생동),73,2024-12-31
6,역골농장,한우,대전광역시 중구 남달미로 64 (목달동),18,2024-12-31
7,동순농장,한우,대전광역시 중구 단재로 217 (어남동),8,2024-12-31
8,느냄이,한우,대전광역시 중구 단재로 488-18 (어남동),7,2024-12-31
9,어남농장,한우,대전광역시 중구 단재로 482 (어남동),12,2024-12-31
10,송현농장,한우,대전광역시 중구 남달미로 55 (목달동),22,2024-12-31
11,청수농장,한우,대전광역시 중구 남달미로103번길 66(목달동),75,2024-12-31
12,정생농장,한우,대전광역시 중구  정생로  101 (정생동),21,2024-12-31
13,성조농장,염소,대전광역시 중구 정생동 232번지  ,0,2024-12-31
14,형제농장,한우,대전광역시 중구 정생로 125 (정생동),0,2024-12-31
15,권선욱 농장,한우,대전광역시 중구 정생로 47 (정생동),0,2024-12-31
16,남성농장,한우,대전광역시 중구 산서로 612 (정생동),45,2024-12-31
17,호현농장,한우,대전광역시 중구 단재로 65-102 (정생동),30,2024-12-31
