농장,주소,모돈,후보돈,웅돈,자돈,육성돈,비육돈,총두수
재남농장,울산광역시 울주군 삼남읍 상천로 154-36,110 ,30 ,2 ,469 ,992 ,493 ,2096 
서○○,울산광역시 울주군 상북면 재궁골길 △△△,0 ,0 ,0 ,0 ,0 ,15 ,15 
성신농장,울산광역시 울주군 삼남읍 신안2길 61-16,0 ,0 ,0 ,420 ,400 ,430 ,1250 
임○○,울산광역시 울주군 삼남읍 수정가천길 △△△,91 ,5 ,3 ,318 ,298 ,211 ,926 
신○○,울산광역시 울주군 삼남읍 상천로 △△△,87 ,3 ,0 ,350 ,270 ,285 ,995 
김○○,울산광역시 울주군 웅촌면 정주권로 △△△,0 ,0 ,0 ,0 ,460 ,240 ,700 
김○○,울산광역시 울주군 웅촌면 정주권로 △△△,0 ,0 ,0 ,0 ,620 ,280 ,900 
협진농장,울산광역시 울주군 두서면 구량차리로 116-63,665 ,17 ,4 ,3829 ,1887 ,812 ,7214 
심○○,울산광역시 울주군 웅촌면 암곡1길 △△△,8 ,0 ,2 ,0 ,8 ,9 ,27 
남해축산,울산광역시 울주군 상북면 사광길 32-32,65 ,5 ,1 ,330 ,220 ,140 ,761 
덕원농장,울산광역시 울주군 언양읍 보림길 25-46,0 ,0 ,0 ,15400 ,760 ,720 ,16880 
재남농장,울산광역시 울주군 삼남읍  ,100 ,0 ,0 ,375 ,375 ,0 ,850 
전○○,울산광역시 울주군 두서면 전읍복안로 △△△,195 ,15 ,2 ,544 ,0 ,0 ,756 
대승농장,울산광역시 울주군 삼남읍 진장길 210-30,0 ,0 ,0 ,0 ,0 ,0 ,0 
울주 아린팜스,울산광역시 울주군 웅촌면 고연공단4길 10-26,0 ,0 ,0 ,0 ,600 ,283 ,883 
