연번,사업장명칭,등록축종,사업장소재지(지번),사업장소재지(도로명)
1,삼우농장,돼지,인천광역시 강화군 불은면 고능리 194번지 7호  ,
2,대산농장,돼지,인천광역시 강화군 강화읍 월곳리 111번지  ,인천광역시 강화군 강화읍 연미정길36번길 89
3,성혜농장,돼지,인천광역시 강화군 불은면 두운리 17번지 2호  ,
4,부성농장,돼지,인천광역시 강화군 불은면 삼동암리 716번지 1호  ,인천광역시 강화군 불은면 삼동암길 224-116
5,성우농장,돼지,인천광역시 강화군 양사면 북성리 826번지 5호  ,인천광역시 강화군 양사면 전망대로 1157
6,피그플러스,돼지,인천광역시 강화군 화도면 내리 1366번지 3호 외 3필지 ,
7,계양농장,돼지,인천광역시 강화군 양도면 길정리 271번지 1호  ,인천광역시 강화군 양도면 고려왕릉로 335
8,양도농장,돼지,인천광역시 강화군 양도면 조산리 467번지  ,
9,소망농장,돼지,인천광역시 강화군 불은면 삼동암리 1074번지 5호  ,인천광역시 강화군 불은면 불은북로311번길 102
10,강화한돈영농조합법인,돼지,인천광역시 강화군 불은면 삼동암리 1072번지 3호  ,인천광역시 강화군 불은면 불은북로311번길 80
11,상록농장,돼지,인천광역시 강화군 내가면 오상리 700번지 2호  ,
12,유수농장,돼지,인천광역시 강화군 하점면 망월리 2533번지  ,
13,재진농장,돼지,인천광역시 강화군 불은면 고능리 912번지 34호  ,
14,에덴팜,돼지,인천광역시 강화군 양사면 인화리 527번지 1호 외 1필지 ,
,,,,
