사업장명칭,주사육업종,사업장소재지(지번),사육두수,동수,면적,데이터기준일자,관리부서 전화번호
유성농장,한우,전라남도 곡성군 겸면 평장리 234번지 1호  ,183,5,1518,2024-08-28,061-360-8363
심청농장,한우,전라남도 곡성군 곡성읍 교촌리 225번지  ,19,1,349.67,2024-08-28,061-360-8363
성용농장,한우,전라남도 곡성군 곡성읍 대평리 1196번지 4호  ,41,1,650,2024-08-28,061-360-8363
대성농장,한우,전라남도 곡성군 곡성읍 대평리 1195번지 6호  ,110,2,871,2024-08-28,061-360-8363
동악농장,한우,전라남도 곡성군 곡성읍 죽동리 301번지  ,74,2,383.83,2024-08-28,061-360-8363
진원농장,돼지,전라남도 곡성군 곡성읍 구원리 20번지 2호  ,0,3,981.48,2024-08-28,061-360-8363
솔밭농장,육계,전라남도 곡성군 곡성읍 월봉리 206번지 2호  ,20000,2,1272,2024-08-28,061-360-8363
대림농장,육계,전라남도 곡성군 곡성읍 구원리 500번지 1호  ,13008,3,1379,2024-08-28,061-360-8363
늘봄농장,한우,전라남도 곡성군 고달면 목동리 223번지 12호  ,6,1,400,2024-08-28,061-360-8363
천만농장,한우,전라남도 곡성군 고달면 백곡리 1050번지 14호  ,20,2,574,2024-08-28,061-360-8363
대불농장,한우,전라남도 곡성군 고달면 대사리 515번지  ,27,2,794,2024-08-28,061-360-8363
성훈농장,한우,전라남도 곡성군 고달면 목동리 183번지 1호  ,0,1,595,2024-08-28,061-360-8363
죽림목장,한우,전라남도 곡성군 고달면 뇌죽리 310번지  ,12,1,320,2024-08-28,061-360-8363
호곡농장,육계,전라남도 곡성군 고달면 호곡리 198번지  ,33000,3,1225.86,2024-08-28,061-360-8363
주열농장,육계,전라남도 곡성군 고달면 백곡리 1056번지 1호  ,56000,4,2793.6,2024-08-28,061-360-8363
가나농장,육계,"전라남도 곡성군 고달면 대사리 479, 480, 480-1, 481 ",20050,4,2162,2024-08-28,061-360-8363
반달농장,한우,전라남도 곡성군 석곡면 당월리 889번지  ,100,3,1038.3,2024-08-28,061-360-8363
복권농장,한우,전라남도 곡성군 죽곡면 신풍리 산 171번지 외 2 ,44,1,805,2024-08-28,061-360-8363
화양농장,한우,전라남도 곡성군 죽곡면 화양리 24번지 11호  ,22,2,396,2024-08-28,061-360-8363
살매농장,한우,전라남도 곡성군 죽곡면 태평리 630번지  ,30,2,585,2024-08-28,061-360-8363
이서농장,돼지,전라남도 곡성군 죽곡면 신풍리 산 129번지 7호  ,450,6,2892.4,2024-08-28,061-360-8363
호랑이농장,돼지,전라남도 곡성군 죽곡면 고치리 662번지 660 ,0,5,1155,2024-08-28,061-360-8363
대황축산,한우,전라남도 곡성군 목사동면 공북리 491번지  ,114,4,2026,2024-08-28,061-360-8363
범계농장,한우,전라남도 곡성군 목사동면 범계리 159번지  ,94,4,849,2024-08-28,061-360-8363
수지농장,한우,전라남도 곡성군 목사동면 범계리 158번지  ,144,5,1150.5,2024-08-28,061-360-8363
대흥농장,한우,전라남도 곡성군 목사동면 대곡리 945번지  ,38,2,602,2024-08-28,061-360-8363
미라농장,한우,전라남도 곡성군 목사동면 대곡리 547번지 1호  ,18,1,397.5,2024-08-28,061-360-8363
재동농장,오리,"전라남도 곡성군 목사동면 신전리 20-4,27-12,27-13,27-14 ",17200,9,6150,2024-08-28,061-360-8363
용봉농장,오리,"전라남도 곡성군 목사동면 용봉리 714번지 1호 714-2,714-3,921-7,968-9,968-13,925-10,948-1,968-11 ",24000,10,6539,2024-08-28,061-360-8363
알리바바 제1농장,육계,전라남도 곡성군 목사동면 죽정리 366번지  ,100000,2,3960,2024-08-28,061-360-8363
삼선농장,육계,전라남도 곡성군 오곡면 구성리 217번지 1호  ,20000,2,1050,2024-08-28,061-360-8363
썬피그,돼지,전라남도 곡성군 삼기면 원등리 736번지 2호  ,1127,3,1132.23,2024-08-28,061-360-8363
골드피그,돼지,전라남도 곡성군 삼기면 경악리 2번지  ,1090,4,1149,2024-08-28,061-360-8363
그린농장,한우,전라남도 곡성군 옥과면 합강리 236번지 5호  ,33,1,746.85,2024-08-28,061-360-8363
청풍농장,한우,전라남도 곡성군 옥과면 설옥리 374번지 1호  ,27,1,267.5,2024-08-28,061-360-8363
현덕축산,한우,전라남도 곡성군 옥과면 무창리 1132번지 9호  ,70,3,763.2,2024-08-28,061-360-8363
설옥농장,한우,전라남도 곡성군 옥과면 리문리 4번지 2호 외 11필지 ,0,1,950,2024-08-28,061-360-8363
배순농장,한우,전라남도 곡성군 입면 송전리 1254번지 5호  ,73,1,486,2024-08-28,061-360-8363
만수농장,한우,전라남도 곡성군 입면 만수리 192번지 1호  ,18,1,387,2024-08-28,061-360-8363
운곡농장,한우,전라남도 곡성군 오산면 운곡리 69번지 1호  ,984,6,6390.8,2024-08-28,061-360-8363
백두농장,한우,전라남도 곡성군 오산면 운곡리 373번지  ,2,2,324,2024-08-28,061-360-8363
연화농장,육계,"전라남도 곡성군 오산면 연화리 210번지 2호 210-12,385 ",30000,2,1062,2024-08-28,061-360-8363
아침목장,한우,전라남도 곡성군 곡성읍 대평리 1183번지 13호  ,51,3,1065,2024-08-28,061-360-8363
대성농장,한우,전라남도 곡성군 고달면 대사리 510번지  ,61,1,615,2024-08-28,061-360-8363
대동축산,한우,전라남도 곡성군 고달면 대사리 674번지 3호  ,36,2,755.6,2024-08-28,061-360-8363
정림농장,한우,전라남도 곡성군 고달면 백곡리 650번지  ,4,1,347,2024-08-28,061-360-8363
연희농장,한우,전라남도 곡성군 고달면 백곡리 816번지  ,9,1,495.8,2024-08-28,061-360-8363
예일농장,한우,전라남도 곡성군 고달면 백곡리 505번지  ,114,4,2251.12,2024-08-28,061-360-8363
섬진농장,한우,전라남도 곡성군 고달면 대사리 115번지  ,11,2,472.5,2024-08-28,061-360-8363
신세계,한우,전라남도 곡성군 고달면 대사리 105번지 1호  ,6,1,788.17,2024-08-28,061-360-8363
죽림농장,육계,전라남도 곡성군 고달면 뇌죽리 532번지 3호  ,55000,3,2706,2024-08-28,061-360-8363
구오농장,한우,전라남도 곡성군 곡성읍 동산리 107번지 4호 외 1필지 ,73,2,964.7,2024-08-28,061-360-8363
대명농장,한우,전라남도 곡성군 삼기면 괴소리 285번지  ,11,1,397.4,2024-08-28,061-360-8363
최선농장,한우,전라남도 곡성군 겸면 가정리 851번지 1호  ,117,3,891,2024-08-28,061-360-8363
명성농장,한우,전라남도 곡성군 겸면 평장리 797번지 5호  ,8,1,1600,2024-08-28,061-360-8363
선재농장,한우,전라남도 곡성군 겸면 산정리 525번지 1호  ,130,1,2250,2024-08-28,061-360-8363
하나농장,한우,전라남도 곡성군 겸면 마전리 1136번지 7호  ,120,3,2242.4,2024-08-28,061-360-8363
들꽃나라농장,종계/산란계,전라남도 곡성군 겸면 가정리 951번지  ,500,1,360,2024-08-28,061-360-8363
은혜농장,젖소,전라남도 곡성군 겸면 마전리 1154번지 1호  ,95,4,1020,2024-08-28,061-360-8363
두리농장,한우,전라남도 곡성군 입면 송전리 1254번지 6호  ,40,1,362.5,2024-08-28,061-360-8363
한동농장,한우,전라남도 곡성군 석곡면 구봉리 316번지  ,19,1,450,2024-08-28,061-360-8363
미소농장,한우,전라남도 곡성군 석곡면 죽산리 108번지  ,0,1,480,2024-08-28,061-360-8363
장수농장,한우,전라남도 곡성군 석곡면 당월리 578번지 1호 외 4필지 ,130,1,1476,2024-08-28,061-360-8363
은혜농장,한우,전라남도 곡성군 석곡면 덕흥리 494번지  ,42,1,500,2024-08-28,061-360-8363
한송농장,젖소,전라남도 곡성군 석곡면 죽산리 375번지  ,70,5,1425.7,2024-08-28,061-360-8363
보람목장,젖소,전라남도 곡성군 석곡면 죽산리 90번지  ,90,2,1445.9,2024-08-28,061-360-8363
바우농장,돼지,전라남도 곡성군 석곡면 유정리 696번지 4호  ,100,1,629,2024-08-28,061-360-8363
방송양계장,종계/산란계,전라남도 곡성군 석곡면 방송리 270번지 외 4필지 ,32000,2,2350.16,2024-08-28,061-360-8363
햇살농장,오리,전라남도 곡성군 석곡면 온수리 114번지 2호  ,11000,3,3473,2024-08-28,061-360-8363
은덕농장,한우,전라남도 곡성군 목사동면 대곡리 1274번지  ,15,2,468,2024-08-28,061-360-8363
