연번,사업장명칭,주사육업종,등록축종,사업장소재지(지번),사업장소재지(도로명),행정동명,사육두수,데이터기준일자
1,산동축산,한우,한우,전라남도 구례군 산동면 계천리 210번지  ,전라남도 구례군 산동면 계척길 57-11,산동면,17,2024-02-28
2,산성농장,돼지,돼지,전라남도 구례군 간전면 금산리 257번지 1호  ,전라남도 구례군 간전면 금산길 63,간전면,1800,2024-02-28
3,백운농장,돼지,돼지,전라남도 구례군 간전면 효곡리 185번지 외 3필지 ,,간전면,600,2024-02-28
4,가랑농장,돼지,돼지,전라남도 구례군 마산면 광평리 822번지 5호 외 1필 ,전라남도 구례군 마산면 가랑길 16-14 (외 1필),마산면,600,2024-02-28
5,초원목장,젖소,젖소,전라남도 구례군 용방면 죽정리 54번지 외 죽정리 50 ,전라남도 구례군 용방면 분토길 68-6,,105,2024-02-28
6,냉천오리농장,오리,오리,전라남도 구례군 마산면 광평리 559번지 1호  ,,마산면,12100,2024-02-28
7,성열농장,한우,한우,전라남도 구례군 광의면 연파리 89번지 12호  ,,광의면,30,2024-02-28
8,한례농장,육계,육계,전라남도 구례군 토지면 금내리 1143번지 11호  ,전라남도 구례군 토지면 안촌길 7-17,토지면,45000,2024-02-28
9,봉서리농장,육계,육계,전라남도 구례군 구례읍 봉서리 895번지 6호  ,전라남도 구례군 구례읍 동산2길 28,구례읍,40000,2024-02-28
10,모레얼농장,한우,한우,전라남도 구례군 토지면 금내리 1143번지 6호  ,전라남도 구례군 토지면 안촌길 7-7,토지면,200,2024-02-28
11,대전 농장,돼지,돼지,전라남도 구례군 광의면 연파리 681번지 1호  ,전라남도 구례군 광의면 구만제로 450-45,광의면,420,2024-02-28
12,금산농장,한우,한우,전라남도 구례군 간전면 금산리 420번지  ,전라남도 구례군 간전면 매재길 36-15,간전면,39,2024-02-28
13,종운농장,한우,한우,전라남도 구례군 간전면 금산리 439번지  ,,간전면,32,2024-02-28
14,산울림 농장,한우,한우,전라남도 구례군 간전면 금산리 420번지 2호  ,"전라남도 구례군 간전면 매재길 36-15, 금산리452-2,454,산110-1,동 420,422-3층",,160,2024-02-28
15,산수유 양돈 교육농장,돼지,돼지,전라남도 구례군 산동면 둔사리 696번지  ,전라남도 구례군 산동면 둔기길 7-32,산동면,28,2024-02-28
16,유두혁농장,한우,한우,전라남도 구례군 용방면 용강리 841번지 3호  ,전라남도 구례군 용방면 구만제로 193-59,,85,2024-02-28
17,지천농장,한우,한우,전라남도 구례군 광의면 지천리 510번지 16호  ,전라남도 구례군 광의면 케이비에스중계소로 115-21,광의면,30,2024-02-28
18,지하농장,한우,한우,전라남도 구례군 광의면 지천리 624번지 7호  ,전라남도 구례군 광의면 케이비에스중계소로 115-17,광의면,42,2024-02-28
19,김수근농장,한우,한우,전라남도 구례군 마산면 광평리 193번지  ,,마산면,25,2024-02-28
20,김지용 농장,한우,한우,"전라남도 구례군 토지면 파도리 945, 948-1,2, 949-1, 952-1,5,6 ",,토지면,219,2024-02-28
21,조종천농장,한우,한우,전라남도 구례군 간전면 흥대리 207번지 1호  ,,간전면,60,2024-02-28
22,부자농장,한우,한우,전라남도 구례군 간전면 흥대리 657번지 4호  ,전라남도 구례군 간전면 복구길 79,간전면,40,2024-02-28
23,흥대농장,한우,한우,전라남도 구례군 간전면 흥대리 757번지  ,,간전면,80,2024-02-28
24,팔복농장,한우,한우,전라남도 구례군 간전면 수평리 442번지 3호  ,전라남도 구례군 간전면 하만길 91-12,간전면,45,2024-02-28
25,엄술섭농장,한우,한우,전라남도 구례군 문척면 금정리 827번지 4호  ,전라남도 구례군 문척면 수달생태로 390,문척면,15,2024-02-28
26,고명준농장,한우,한우,"전라남도 구례군 간전면 효곡리 190, 197, 197-1 ",,간전면,30,2024-02-28
27,희망농장,한우,한우,전라남도 구례군 간전면 효곡리 460번지 4호  ,,간전면,20,2024-02-28
28,용순농장,돼지,돼지,전라남도 구례군 간전면 효곡리 348번지  ,,간전면,300,2024-02-28
29,해병농장,한우,한우,전라남도 구례군 구례읍 백련리 191번지  ,,구례읍,70,2024-02-28
30,가랑교농장,한우,한우,전라남도 구례군 마산면 광평리 822번지 5호  ,전라남도 구례군 마산면 가랑길 16-14,마산면,60,2024-02-28
31,서부농장,육계,육계,전라남도 구례군 구례읍 계산리 156번지 1호  ,,구례읍,30000,2024-02-28
32,허상영농장,육계,육계,"전라남도 구례군 구례읍 계산리 21,22,22-1,33-1,34,34-1,35,35-3 ",,구례읍,93000,2024-02-28
33,초일농장,돼지,돼지,전라남도 구례군 문척면 월전리 1154번지 1호  ,전라남도 구례군 문척면 구성1길 60,문척면,1350,2024-02-28
34,신안농장,돼지,돼지,전라남도 구례군 간전면 효곡리 186번지 2호  ,,간전면,400,2024-02-28
35,김동주농장,육계,육계,"전라남도 구례군 문척면 중산리 470번지 1호 (중산리 470-3,8,9, 475-1, 684-1, 685-1,2) ","전라남도 구례군 문척면 중산로 387, (중산리 470-1,3,8,9, 475-1, 684-1, 685-1,2)",,30000,2024-02-28
36,엄갑섭농장,육계,육계,전라남도 구례군 문척면 중산리 212번지  ,전라남도 구례군 문척면 산치1길 15,문척면,3000,2024-02-28
37,성원농장,돼지,돼지,전라남도 구례군 문척면 월전리 855번지  ,전라남도 구례군 문척면 전천길 58,문척면,1400,2024-02-28
38,정영민농장,한우,한우,전라남도 구례군 문척면 월전리 1527번지 4호  ,전라남도 구례군 문척면 전천2길 26-4,문척면,18,2024-02-28
39,한율년농장,한우,한우,전라남도 구례군 문척면 중산리 622번지  ,,문척면,7,2024-02-28
