농장명,소재지,상세소재지,축종,데이터 기준일자
주안농원,몽탄면,내리 1,한우,2025-11-25
하늘팜,운남면,하묘리,돼지,2025-11-25
배로농장,청계면,남성리,종계+산란계,2025-11-25
그레이트 팜,현경면,현화리,육계,2025-11-25
영해축산A,운남면,동암리,돼지,2025-11-25
영해축산B,운남면,동암리,돼지,2025-11-25
이천 농장,일로읍,감돈리,돼지,2025-11-25
일심제2농장,일로읍,감돈리,돼지,2025-11-25
샤론농장,운남면,동암리,종계+산란계,2025-11-25
양돈 농장,일로읍,의산리,돼지,2025-11-25
돈유촌농장,일로읍,의산리,돼지,2025-11-25
한림농장,청계면,도대리,종계+산란계,2025-11-25
유한농장,운남면,연리 1,육계,2025-11-25
현진농장,몽탄면,양장리,한우,2025-11-25
달성농장,몽탄면,달산리,돼지,2025-11-25
보림농장,몽탄면,학산리,한우,2025-11-25
산음농장,몽탄면,학산리,한우,2025-11-25
상봉한우,무안읍,교촌리,한우,2025-11-25
팔금농장,삼향읍,왕산리,돼지,2025-11-25
열린미생물농장,삼향읍,왕산리,돼지,2025-11-25
채선농장,몽탄면,청용리,한우,2025-11-25
봉산농장,몽탄면,봉산리,돼지,2025-11-25
제성농장,몽탄면,사창리,한우,2025-11-25
장곡제일농장,삼향읍,지산리,오리,2025-11-25
금동농장,삼향읍,왕산리,육계,2025-11-25
대선축산,무안읍,교촌리,한우,2025-11-25
청하농장,무안읍,고절리,한우,2025-11-25
평월축산,무안읍,용월리,한우,2025-11-25
상봉농장,무안읍,교촌리,한우,2025-11-25
해동농장,망운면,목동리,한우,2025-11-25
부영농장,망운면,목동리,돼지,2025-11-25
저동농장,운남면,연리 7,육계,2025-11-25
해도농장,몽탄면,당호리,한우,2025-11-25
일로 수도사,일로읍,용산리,한우,2025-11-25
농업회사법인유한회사성아축산,현경면,오류리,돼지,2025-11-25
천지영농조합법인(박천재),청계면,서호리,돼지,2025-11-25
용산축산,일로읍,용산리,한우,2025-11-25
장곡농장,삼향읍,지산리,육계,2025-11-25
해운농장,현경면,해운리,한우,2025-11-25
가입농장,현경면,가입리,오리,2025-11-25
의산축산,일로읍,의산리,한우,2025-11-25
성호농장,일로읍,광암리,한우,2025-11-25
양장축산,몽탄면,양장리,한우,2025-11-25
청용농장,몽탄면,청용리,한우,2025-11-25
아주농장,몽탄면,달산리,한우,2025-11-25
달산축산,몽탄면,달산리,한우,2025-11-25
해연축산,몽탄면,양장리,한우,2025-11-25
힘찬농장,몽탄면,양장리,한우,2025-11-25
재남축산,몽탄면,양장리,한우,2025-11-25
매봉축산,몽탄면,양장리,한우,2025-11-25
내화농장,운남면,연리 1,육계,2025-11-25
청룡양계 1농장,현경면,현화리,육계,2025-11-25
닭사랑농장,현경면,동산리,육계,2025-11-25
은수농장,현경면,현화리,오리,2025-11-25
청룡양계 2농장,현경면,현화리,육계,2025-11-25
내화삼계,운남면,성내리,육계,2025-11-25
상현축산,몽탄면,달산리,한우,2025-11-25
일심농장,몽탄면,달산리,한우,2025-11-25
학산축산,몽탄면,학산리,한우,2025-11-25
우조축산,몽탄면,학산리,한우,2025-11-25
사천축산,몽탄면,사천리,한우,2025-11-25
수농장,몽탄면,사천리,한우,2025-11-25
몽탄축산,몽탄면,약곡리,한우,2025-11-25
양지농장,몽탄면,양장리,한우,2025-11-25
으뜸농원,해제면,만풍리,육계,2025-11-25
추억농장,해제면,산길리,육계,2025-11-25
유정축산,몽탄면,당호리,한우,2025-11-25
매봉농장,일로읍,지장리,육계,2025-11-25
양장축산,몽탄면,양장리,한우,2025-11-25
하나농장,몽탄면,달산리,한우,2025-11-25
송림축산,몽탄면,달산리,한우,2025-11-25
숙희농장,몽탄면,명산리,한우,2025-11-25
일남농장,청계면,청계리,한우,2025-11-25
상호축산,청계면,송현리,한우,2025-11-25
상봉농장,무안읍,고절리,한우,2025-11-25
그린영농조합법인,해제면,광산리,종계+산란계,2025-11-25
내화축산,운남면,연리 9,돼지,2025-11-25
주영농장,현경면,평산리,한우,2025-11-25
우진축산,현경면,수양리,한우,2025-11-25
농업회사법인 주식회사 진오,삼향읍,왕산리,돼지,2025-11-25
명산축산,몽탄면,명산리,한우,2025-11-25
문간목장,청계면,송현리,한우,2025-11-25
민가농장,몽탄면,명산리,육계,2025-11-25
서원농장,일로읍,복룡리,육계,2025-11-25
영지축산,무안읍,평용리,한우,2025-11-25
영철농장,무안읍,고절리,한우,2025-11-25
창포농장,현경면,양학리,한우,2025-11-25
원동축산,무안읍,성동리,한우,2025-11-25
재호축산,무안읍,교촌리,한우,2025-11-25
샛별농장,무안읍,교촌리,한우,2025-11-25
주원농장,무안읍,고절리,한우,2025-11-25
늘푸른농장,무안읍,성동리,한우,2025-11-25
한우농장,무안읍,고절리,한우,2025-11-25
해성농장,무안읍,고절리,한우,2025-11-25
신성농장,무안읍,고절리,한우,2025-11-25
서당농장,일로읍,감돈리,돼지,2025-11-25
성하농장,일로읍,감돈리,한우,2025-11-25
서나라농장,일로읍,감돈리,한우,2025-11-25
상일축사,일로읍,감돈리,육계,2025-11-25
계절축산,일로읍,지장리,육계,2025-11-25
태두농장,일로읍,지장리,오리,2025-11-25
등림축산,일로읍,광암리,한우,2025-11-25
일광농장,일로읍,광암리,육계,2025-11-25
견우랑,무안읍,신학리,한우,2025-11-25
맥포농장,삼향읍,맥포리,한우,2025-11-25
학골농장,삼향읍,맥포리,돼지,2025-11-25
새린농장,삼향읍,맥포리,한우,2025-11-25
송산축산,삼향읍,맥포리,한우,2025-11-25
대연축산,삼향읍,맥포리,한우,2025-11-25
솔뫼농장,삼향읍,맥포리,한우,2025-11-25
정원축산,삼향읍,맥포리,한우,2025-11-25
송전농장,삼향읍,맥포리,돼지,2025-11-25
수정축산,삼향읍,용포리,한우,2025-11-25
용선축산,삼향읍,임성리,한우,2025-11-25
청하농장,삼향읍,지산리,돼지,2025-11-25
태성농장,청계면,월선리,한우,2025-11-25
다우목장,청계면,월선리,한우,2025-11-25
유수농장,청계면,월선리,한우,2025-11-25
월선농장,청계면,청계리,한우,2025-11-25
금표농장,청계면,월선리,돼지,2025-11-25
새한농장,청계면,월선리,돼지,2025-11-25
윤길농장,청계면,월선리,한우,2025-11-25
한골농장,청계면,월선리,한우,2025-11-25
용호농장,청계면,남성리,돼지,2025-11-25
에덴그린축산,청계면,복길리,한우,2025-11-25
단일농장,청계면,남성리,한우,2025-11-25
구로농장,청계면,구로리,육계,2025-11-25
정구농장,청계면,구로리,한우,2025-11-25
구로농장,청계면,구로리,한우,2025-11-25
에벤에셀축산,청계면,구로리,돼지,2025-11-25
림해축산,청계면,구로리,돼지,2025-11-25
성원축산,청계면,도대리,돼지,2025-11-25
주원농장,청계면,도대리,한우,2025-11-25
우일농장,청계면,강정리,종계+산란계,2025-11-25
아벨농장,해제면,용학리,한우,2025-11-25
영기축산,해제면,용학리,한우,2025-11-25
유중축산,해제면,용학리,한우,2025-11-25
연희농장,해제면,양매리,육계,2025-11-25
명진축산,해제면,용학리,한우,2025-11-25
만석농장,망운면,목동리,한우,2025-11-25
도원양계축산,망운면,피서리,육계,2025-11-25
서영축산,망운면,피서리,육계,2025-11-25
영표농장,망운면,송현리,한우,2025-11-25
용동축산,망운면,송현리,한우,2025-11-25
광석농장,망운면,송현리,한우,2025-11-25
남선축산,망운면,송현리,한우,2025-11-25
목화농장,망운면,송현리,육계,2025-11-25
내덕농장,망운면,목서리,돼지,2025-11-25
순천목장,현경면,평산리,한우,2025-11-25
성운목장,현경면,동산리,젖소,2025-11-25
파도농장,현경면,해운리,젖소,2025-11-25
두동농장,현경면,수양리,한우,2025-11-25
능선목장,현경면,수양리,젖소,2025-11-25
성하농장,현경면,수양리,오리,2025-11-25
우리축산,현경면,송정리,육계,2025-11-25
오리골농장,현경면,외반리,오리,2025-11-25
아름농장,현경면,평산리,한우,2025-11-25
동산축산,현경면,동산리,한우,2025-11-25
신일농장,현경면,평산리,육계,2025-11-25
동산축산,현경면,동산리,한우,2025-11-25
모노랜드,현경면,해운리,육계,2025-11-25
동물농장,무안읍,교촌리,한우,2025-11-25
경신농축원,무안읍,교촌리,한우,2025-11-25
엘림농장,무안읍,신학리,한우,2025-11-25
유정농장,무안읍,신학리,육계,2025-11-25
화순농장,무안읍,신학리,한우,2025-11-25
성암목장,무안읍,성암리,한우,2025-11-25
가산농장,무안읍,매곡리,한우,2025-11-25
홍도축사,무안읍,고절리,한우,2025-11-25
온유축산,운남면,연리 4,돼지,2025-11-25
분이농장,운남면,연리 7,돼지,2025-11-25
청용목장,운남면,성내리,한우,2025-11-25
도원농장,운남면,성내리,돼지,2025-11-25
미래농장,운남면,동암리,한우,2025-11-25
용환농장,운남면,하묘리,한우,2025-11-25
용호농장,운남면,성내리,돼지,2025-11-25
성내농장,운남면,성내리,돼지,2025-11-25
송호목장,운남면,성내리,젖소,2025-11-25
희망목장,운남면,연리 3,한우,2025-11-25
운남농장,운남면,하묘리,종계+산란계,2025-11-25
호암축산,운남면,내리 7,한우,2025-11-25
동암축산,운남면,동암리,한우,2025-11-25
이화축산,운남면,연리 1,돼지,2025-11-25
원호축산,운남면,동암리,한우,2025-11-25
복룡농축산,일로읍,복룡리,한우,2025-11-25
덕정농장,일로읍,지장리,한우,2025-11-25
광진농장,운남면,연리 7,한우,2025-11-25
단비농장,몽탄면,달산리,한우,2025-11-25
유진농장,몽탄면,명산리,한우,2025-11-25
승부축산,몽탄면,당호리,한우,2025-11-25
우리축산,몽탄면,달산리,한우,2025-11-25
영창축산,현경면,송정리,한우,2025-11-25
금진축산,현경면,송정리,한우,2025-11-25
신촌농장,망운면,목동리,육계,2025-11-25
곰솔농장,망운면,송현리,육계,2025-11-25
한우축산,망운면,목서리,한우,2025-11-25
송이농장,망운면,피서리,한우,2025-11-25
한우목장,망운면,목서리,한우,2025-11-25
한우번식축산,망운면,피서리,한우,2025-11-25
태양농장,몽탄면,약곡리,한우,2025-11-25
천둥축산,현경면,동산리,한우,2025-11-25
이동축산,삼향읍,용포리,한우,2025-11-25
동출축산,삼향면,용포리,한우,2025-11-25
대호농장,삼향읍,유교리,한우,2025-11-25
나주농장,삼향읍,왕산리,육우,2025-11-25
평산농장,삼향읍,왕산리,돼지,2025-11-25
