사업장명칭,주사육업종,사업장소재지,적정사육두수
화원농장,돼지,전라남도 보성군 미력면 ,3781
세종목장,한우,전라남도 보성군 복내면 ,27
덕림축산,돼지,전라남도 보성군 웅치면 ,3097
승지농장,한우,전라남도 보성군 보성읍 ,357
수종목장,젖소,전라남도 보성군 보성읍 ,140
내판농장,한우,전라남도 보성군 복내면 ,47
승준농장(4),돼지,전라남도 보성군 보성읍 ,759
명진농장,돼지,전라남도 보성군 조성면 ,1665
낙안축산,육계,전라남도 보성군 조성면 ,49280
우영농장,한우,전라남도 보성군 웅치면 ,233
동교축산,한우,전라남도 보성군 복내면 ,25
김동석농장,한우,전라남도 보성군 웅치면 ,56
약산농장,한우,전라남도 보성군 웅치면 ,35
정병준농장,한우,전라남도 보성군 미력면 ,172
석호농장,한우,전라남도 보성군 겸백면 ,87
영등농장,한우,전라남도 보성군 벌교읍 ,117
박실농장,한우,전라남도 보성군 득량면 ,73
이정화농장,한우,전라남도 보성군 미력면 ,29
승준농장(2),돼지,전라남도 보성군 보성읍 ,900
봉천농장,육계,전라남도 보성군 회천면 ,203717
윤종윤농장,한우,전라남도 보성군 복내면 ,62
흥왕농장,한우,전라남도 보성군 보성읍 ,32
유림농장,한우,전라남도 보성군 득량면 ,230
희망농장,한우,전라남도 보성군 미력면 ,125
동광농장,한우,전라남도 보성군 보성읍 ,36
최판동농장,한우,전라남도 보성군 복내면 ,53
죽림농장,오리,전라남도 보성군 득량면 ,18813
제2죽림농장,오리,전라남도 보성군 득량면 ,5375
고읍농축산,한우,전라남도 보성군 벌교읍 ,68
조성농장,오리,전라남도 보성군 조성면 ,18024
샘골오리농장,오리,전라남도 보성군 조성면 ,30906
만평농장,한우,전라남도 보성군 보성읍 ,168
황추산농장,한우,전라남도 보성군 노동면 ,57
웰빙농장,한우,전라남도 보성군 보성읍 ,32
제일농장,한우,전라남도 보성군 보성읍 ,166
도남축산,한우,전라남도 보성군 보성읍 ,109
