비고,상호,대표자,주소,전화번호,배출시설 규모(제곱미터),처리시설 용량,처리방법,분리막 적용여부,데이터기준일자
1,학구농장,유OO,전라남도 순천시 서면 학구리,개인정보(비공개),5420,15253,"저장조, 저장액비화, 퇴비사, 퇴비저장시설, 가축분뇨 위탁처리(순천시친환경액비자원화영농조합법인)",정보 부존재,2024-11-26
2,신전농장,차OO,전라남도 순천시 대룡동,개인정보(비공개),996,996,톱밥발효,정보 부존재,2024-11-26
3,대덕농장,김OO,전라남도 순천시 월등면 송천리,개인정보(비공개),3019,4744,"저장조, 저장액비화, 퇴비사, 퇴비저장시설, 가축분뇨 위탁처리((주)호남)",정보 부존재,2024-11-26
4,은창농장,박OO,전라남도 순천시 월등면 월용리,개인정보(비공개),1421,993,"퇴비사, 저장액비화, 퇴비저장시설, 가축분뇨 위탁처리(순천시친환경액비자원화영농조합법인)",정보 부존재,2024-11-26
5,대죽농장,이OO,전라남도 순천시 월등면 월용리,개인정보(비공개),1241,1718,"톱밥발효, 퇴비저장시설, 건조식 톱밥발효시설, 저장조, 저장액비화",정보 부존재,2024-11-26
6,전남양돈,손OO,전라남도 순천시 해룡면 농주리,개인정보(비공개),1822,1681,"저장액비화, 저장조, 퇴비사, 퇴비저장시설, 저장조",정보 부존재,2024-11-26
7,대흥농장,강OO,전라남도 순천시 월등면 송천리,개인정보(비공개),3290,1594,"저장조, 퇴비사, 저장액비화",정보 부존재,2024-11-26
8,월등 농장,장OO,전라남도 순천시 월등면 대평리,개인정보(비공개),6195,9871,"저장조, 저장액비화, 기타, 퇴비화, 퇴비저장시설, 가축분뇨 위탁처리(순천시친환경액비자원화영농조합법인, ㈜농원비료)",정보 부존재,2024-11-26
9,해인농장,농업회사법인 주식회사 해인농장,전라남도 순천시 주암면 한곡리,개인정보(비공개),2316,7616,"저장액비화, 퇴비화, 저장조, 가축분뇨 위탁처리(영농조합법인 대성바이오, 들찬 영농조합법인)",정보 부존재,2024-11-26
10,행운농장,조OO,전라남도 순천시 주암면 오산리,개인정보(비공개),1853,1427,"톱밥발효, 저장조",정보 부존재,2024-11-26
11,복지농장,유OO,전라남도 순천시 월등면 대평리,개인정보(비공개),1344,1163,"저장조, 퇴비사, 저장액비화, 퇴비저장시설",정보 부존재,2024-11-26
12,두월농장,문OO,전라남도 순천시 승주읍 두월리,개인정보(비공개),424,3930,"퇴비사, 퇴비저장시설, 저장액비화, 가축분뇨 위탁처리(초계영농조합법인, ㈜푸른환경)",정보 부존재,2024-11-26
13,로뎀축산,양OO,전라남도 순천시 상사면 비촌리,개인정보(비공개),8336,4709,"저장조, 액비화시설, 퇴비사, 퇴비저장시설",정보 부존재,2024-11-26
14,승훈농장,백OO,전라남도 순천시 해룡면 신대리,개인정보(비공개),1025,1533,톱밥발효,정보 부존재,2024-11-26
15,수영 농장,김OO,전라남도 순천시 서면 대구리,개인정보(비공개),2057,3030,"톱밥발효, 저장조, 퇴비사, 퇴비저장시설, 저장액비화",정보 부존재,2024-11-26
16,개미농장,김OO,전라남도 순천시 외서면 반용리,개인정보(비공개),860,566,"퇴비사, 퇴비저장시설, 저장액비화, 가축분뇨 위탁처리(순천광역친환경농업영농조합법인)",정보 부존재,2024-11-26
