농장명,농장주,축종명,사육두수(두),농장소재지
성강목장,김*택,젖소,130,전라남도 순천시 낙안면 목촌리
이조농장,임*재,육계,65000,전라남도 순천시 황전면 죽내리
근우농장,신*우,한우,12,전라남도 순천시 낙안면 창녕리
송정축산,위*환,한우,40,전라남도 순천시 별량면 송기리
금호농장 2,송*자,육계,50000,전라남도 순천시 별량면 우산리
소보농장,박*범,육계,30000,전라남도 순천시 서면 지본리
성림농장,김*수,젖소,88,전라남도 순천시 외서면 반용리
우리농장,김*일,육계,26000,전라남도 순천시 별량면 대룡리
초원농원,문*일,한우,65,전라남도 순천시 낙안면 동내리
동내축산,임*귀,한우,30,전라남도 순천시 낙안면 교촌리
금전농장,김*인,한우,71,전라남도 순천시 낙안면 상송리
초롱농장,박*수,한우,40,전라남도 순천시 낙안면 목촌리
조운농장,송*자,한우,40,전라남도 순천시 낙안면 용능리
덕천농장,박*배,한우,20,전라남도 순천시 낙안면 검암리
벽산농장,김*호,오리,20000,전라남도 순천시 낙안면 검암리
다니엘농장,유*영,오리,54000,전라남도 순천시 낙안면 검암리
불재농장,이*만,젖소,150,전라남도 순천시 낙안면 창녕리
학구농장,유*모,돼지,3680,전라남도 순천시 서면 학구리
매곡 축산,이*순,한우,80,전라남도 순천시 서면 압곡리
신전농장,차*옥,돼지,500,전라남도 순천시 대룡동
선후축산,조*훈,한우,240,전라남도 순천시 황전면 모전리
청후농장,서*수,한우,80,전라남도 순천시 황전면 죽청리
대덕농장,김*철,돼지,2050,전라남도 순천시 월등면 송천리
은창농장,김*석,돼지,1000,전라남도 순천시 월등면 월용리
봉덕농장,정*채,육계,30000,전라남도 순천시 별량면 봉림리
중현농장,박*만,한우,20,전라남도 순천시 상사면 초곡리
한솔농장,채*수,한우,15,전라남도 순천시 해룡면 선학리
백토령 목장,최*성,젖소,85,전라남도 순천시 대룡동
대죽농장,이*철,돼지,1040,전라남도 순천시 월등면 월용리
회룡농장,송*화,한우,42,전라남도 순천시 황전면 회룡리
대성농장,조*구,한우,20,전라남도 순천시 황전면 덕림리
익문농장,조*문,한우,20,전라남도 순천시 황전면 덕림리
황금농장,김*현,한우,35,전라남도 순천시 황전면 비촌리
푸른목장,배*용,젖소,120,전라남도 순천시 월등면 월용리
초원농장,모*자,젖소,50,전라남도 순천시 낙안면 창녕리
전남양돈,손*철,돼지,3000,전라남도 순천시 해룡면 농주리
혜형농장,이*하,젖소,90,전라남도 순천시 서면 대구리
대흥농장,강*기,돼지,1800,전라남도 순천시 월등면 송천리
황전우리농장,박*석,한우,100,전라남도 순천시 황전면 금평리
별빛농장,문*화,한우,70,전라남도 순천시 월등면 계월리
팔팔호성 농장,정*성,한우,25,전라남도 순천시 월등면 대평리
삼열농장,이*열,젖소,70,전라남도 순천시 월등면 대평리
월등 농장,장*준,돼지,5000,전라남도 순천시 월등면 대평리
서동농장,윤*순,육계,18000,전라남도 순천시 별량면 원창리
