사업장명칭,사업장소재지(지번),사업장소재지(도로명),사육두수
신*양돈장,전라남도 여수시 돌산읍 신복리 542번지  ,전라남도 여수시 돌산읍 돌산로 989-1,780
한*농장,전라남도 여수시 화양면 안포리 6번지 4호  ,전라남도 여수시 화양면 화양로 138-6,55
정*농장,전라남도 여수시 소라면 사곡리 1062번지  ,전라남도 여수시 소라면 복촌2길 11-14,4
대*농장,전라남도 여수시 율촌면 가장리 101번지  ,전라남도 여수시 율촌면 중산길 75-1,35
가*안농장,전라남도 여수시 율촌면 가장리 269번지  ,전라남도 여수시 율촌면 상평길 58-1,85
가*농장,전라남도 여수시 율촌면 가장리 1369번지 1호  ,전라남도 여수시 율촌면 난화길 23-7,25
벧*농장,전라남도 여수시 율촌면 가장리 867번지 2호  ,전라남도 여수시 율촌면 서부로 1437-1,33
청*농장,전라남도 여수시 율촌면 가장리 235번지  ,전라남도 여수시 율촌면 상평길 20,50
신*농장,전라남도 여수시 화양면 장수리 1334번지  ,전라남도 여수시 화양면 장수로 552,55
영*농장,전라남도 여수시 화양면 용주리 1308번지  ,전라남도 여수시 화양면 꽃다리길 57-18,21
승*농장,전라남도 여수시 해산동 287번지 1호 9통 1반  ,전라남도 여수시 주삼덕양로 75-40 (해산동),75
삼*목장,전라남도 여수시 돌산읍 둔전리 401번지 7호  ,전라남도 여수시 돌산읍 계동로 53,105
원*장,전라남도 여수시 소라면 사곡리 580번지  ,전라남도 여수시 소라면 서부로 784-18,85
복*축산,전라남도 여수시 소라면 사곡리 844번지  ,전라남도 여수시 소라면 복촌1길 50-17,35
야*축산,전라남도 여수시 율촌면 가장리 702번지  ,전라남도 여수시 율촌면 하평길 23-8,120
산*축산,전라남도 여수시 율촌면 가장리 265번지  ,전라남도 여수시 율촌면 상평길 58-2,118
세*농장,전라남도 여수시 화양면 안포리 72번지 4호  ,전라남도 여수시 화양면 화양로 185-1,30
풍*농장,전라남도 여수시 화양면 서촌리 978번지  ,전라남도 여수시 화양면 화서로 781-73,150
모*농장,전라남도 여수시 화양면 옥적리 786번지  ,전라남도 여수시 화양면 대옥길 8-16,40
한*나라,전라남도 여수시 소라면 덕양리 433번지  ,전라남도 여수시 소라면 조산로 269,60
현*농장,전라남도 여수시 소라면 현천리 504번지  ,전라남도 여수시 소라면 중촌2길 11,43
남*농장,전라남도 여수시 소라면 봉두리 917번지 2호  ,전라남도 여수시 소라면 운암길 69,50
청*축산,전라남도 여수시 율촌면 월산리 50번지 2호  ,전라남도 여수시 율촌면 잿돔길 71,42
외*농장,전라남도 여수시 화양면 창무리 341번지 1호  ,전라남도 여수시 화양면 창무2길 21-65,74
비*농장,전라남도 여수시 화양면 용주리 1505번지 3호  ,전라남도 여수시 화양면 용문사길 32-9,13
행*축산,전라남도 여수시 화양면 나진리 598번지  ,전라남도 여수시 화양면 상전길 259,102
채*심 농장,전라남도 여수시 율촌면 가장리 902번지 4호  ,전라남도 여수시 율촌면 난화길 10-13,25
대*농장,전라남도 여수시 율촌면 가장리 900번지  ,전라남도 여수시 율촌면 난화길 10-17,60
월*목장,전라남도 여수시 율촌면 월산리 929번지 2호  ,전라남도 여수시 율촌면 청대길 61-2,60
정*영농장,전라남도 여수시 율촌면 신풍리 13번지 118호  ,전라남도 여수시 율촌면 산돌길 108-36,270
동*농장,전라남도 여수시 율촌면 신풍리 11번지 129호  ,전라남도 여수시 율촌면 산돌길 86-14,290
선*축산,전라남도 여수시 율촌면 신풍리 11번지 51호  ,전라남도 여수시 율촌면 산돌길 86-5,300
진*농장,전라남도 여수시 율촌면 신풍리 40번지 21호  ,,130
여*만한우농장,전라남도 여수시 율촌면 봉전리 993번지  ,전라남도 여수시 율촌면 소뎅이길 38,86
신*축산,전라남도 여수시 율촌면 신풍리 1254번지  ,전라남도 여수시 율촌면 구암2길 8,27
신*농장,전라남도 여수시 율촌면 신풍리 131번지 1호  ,전라남도 여수시 율촌면 구암1길 26,70
두*농장,전라남도 여수시 율촌면 상봉리 703번지  ,전라남도 여수시 율촌면 해룡로 173-27,5
우*농장,전라남도 여수시 소라면 복산리 585번지 10호  ,전라남도 여수시 소라면 마산로 148-124,90000
주*농장,전라남도 여수시 율촌면 취적리 831번지  ,전라남도 여수시 율촌면 봉정길 6-11,60000
남*농장,전라남도 여수시 화양면 화동리 1930번지  ,전라남도 여수시 화양면 산전길 285-1,13
우*농장,전라남도 여수시 소라면 복산리 579번지 8호  ,전라남도 여수시 소라면 마산로 148-117,46
성*농장,전라남도 여수시 소라면 사곡리 636번지 1호  ,전라남도 여수시 소라면 사곡진목1길 10,24
가*안농장,전라남도 여수시 율촌면 신풍리 129번지  ,전라남도 여수시 율촌면 구암1길 36,20
금*종합축산,전라남도 여수시 돌산읍 평사리 630번지  ,전라남도 여수시 돌산읍 도실길 75-1,100
돌*농장,전라남도 여수시 돌산읍 신복리 1286번지 1호  ,전라남도 여수시 돌산읍 예교길 132,60
무*개농장,전라남도 여수시 화양면 서촌리 270번지 5호  ,전라남도 여수시 화양면 자매로 358-29,76000
여*목장,전라남도 여수시 소라면 복산리 573번지 1호  ,전라남도 여수시 소라면 마산로 148-88,36
종*축산,전라남도 여수시 화양면 용주리 500번지 2호  ,전라남도 여수시 화양면 용주길 106,20
믿*농장,전라남도 여수시 소라면 덕양리 1255번지  ,전라남도 여수시 소라면 하세동길 33-24,288
월*축산,전라남도 여수시 율촌면 월산리 780번지 2호  ,,500
대*농장,전라남도 여수시 남면 연도리 598번지  ,전라남도 여수시 남면 연도길 204,48
거*농장,전라남도 여수시 화양면 용주리 1507번지  ,전라남도 여수시 화양면 화양로 1635-4,11
풍*농원,전라남도 여수시 화양면 이천리 743번지  ,,75
봉*축산,전라남도 여수시 율촌면 산수리 289번지 1호  ,전라남도 여수시 율촌면 산수봉두1길 5-7,40
가*안농장,전라남도 여수시 율촌면 신풍리 11번지 214호  ,전라남도 여수시 율촌면 산돌길 108-19,40
반*농장,전라남도 여수시 소라면 복산리 395번지 2호  ,전라남도 여수시 소라면 서부로 312-35,17
금*농장,전라남도 여수시 소라면 복산리 585번지 3호 외 1필지(585-8) ,,78655
산*축산,전라남도 여수시 율촌면 산수리 1021번지  ,전라남도 여수시 율촌면 산수길 43-40,23
평*농장,전라남도 여수시 율촌면 가장리 1323번지  ,전라남도 여수시 율촌면 난화길 57,40
성*농장,전라남도 여수시 율촌면 신풍리 225번지 2호  ,,38
마*축산,전라남도 여수시 소라면 복산리 695번지  ,전라남도 여수시 소라면 복산마산길 14-1,20
사*농장,전라남도 여수시 율촌면 조화리 9번지  ,전라남도 여수시 율촌면 모래목길 100,3
한*드림제2농장,전라남도 여수시 돌산읍 죽포리 546번지  ,,40
대*농장,전라남도 여수시 화양면 화동리 산 293번지  ,,53
행*한 한우농장,전라남도 여수시 소라면 사곡리 762번지  ,전라남도 여수시 소라면 복촌1길 34-10,13
백*농장,전라남도 여수시 화정면 백야리 494번지 9호  ,전라남도 여수시 화정면 화백해안길 165-23,23
성*축산,전라남도 여수시 율촌면 월산리 1197번지  ,,50
대*농장,전라남도 여수시 호명동 962번지 1호  ,전라남도 여수시 상암로 503-52 (호명동),255
가*농장,전라남도 여수시 율촌면 가장리 864번지 3호  ,전라남도 여수시 율촌면 서부로 1430-8,36
해*농장,전라남도 여수시 소라면 복산리 1521번지 4호  ,전라남도 여수시 소라면 달천길 58,50
옥*축산,전라남도 여수시 화양면 옥적리 1344번지 1호  ,,19
오*축산,전라남도 여수시 소라면 현천리 790번지 2호  ,전라남도 여수시 소라면 중촌1길 72,11
평*축산,전라남도 여수시 율촌면 산수리 1430번지  ,전라남도 여수시 율촌면 산수길 61-55,39
조*축산,전라남도 여수시 율촌면 조화리 771번지 외1 ,,23
한*농장,전라남도 여수시 율촌면 가장리 855번지 1호  ,전라남도 여수시 율촌면 중산안길 15-1,33
청*농장,전라남도 여수시 율촌면 월산리 1311번지 6호  ,전라남도 여수시 율촌면 청대길 186-53,21
원*농장,전라남도 여수시 돌산읍 평사리 491번지 25호  ,전라남도 여수시 돌산읍 돌산로 2579,40
두*축산,전라남도 여수시 소라면 덕양리 184번지 1호  ,전라남도 여수시 소라면 흑산길 64-1,10
장*농장,전라남도 여수시 화양면 장수리 617번지  ,전라남도 여수시 화양면 장수로 303-1,11
구*축산,전라남도 여수시 율촌면 신풍리 183번지 1호  ,전라남도 여수시 율촌면 구암1길 9-19,27
석*농장,전라남도 여수시 율촌면 산수리 300번지 26호  ,전라남도 여수시 율촌면 서부로 1692-36,12
대*농장,전라남도 여수시 돌산읍 평사리 135번지  ,,12
우*드림농장,전라남도 여수시 율촌면 월산리 1238번지 1호  ,전라남도 여수시 율촌면 청대길 185,8
송*농장,전라남도 여수시 율촌면 가장리 410번지  ,,19
합*농장,전라남도 여수시 율촌면 상봉리 372번지  ,전라남도 여수시 율촌면 해룡로 22-1,15
덕*축산,전라남도 여수시 돌산읍 서덕리 973번지 11호  ,전라남도 여수시 돌산읍 돌산로 1851-58,19
하*재농장,전라남도 여수시 소라면 복산리 1612번지 3호  ,,19
몸*랑농장,전라남도 여수시 화양면 옥적리 464번지 7호  ,,41
임*농장,전라남도 여수시 율촌면 가장리 1383번지 2호  ,전라남도 여수시 율촌면 서부로 1405,16
취*농장,전라남도 여수시 율촌면 취적리 1144번지 3호  ,전라남도 여수시 율촌면 취적1길 91,9
전*농장,전라남도 여수시 율촌면 가장리 1292번지  ,,10
쏘*농장,전라남도 여수시 소라면 복산리 1112번지 1호  ,전라남도 여수시 소라면 서부로 430-18,28
대*농장,전라남도 여수시 돌산읍 서덕리 834번지  ,전라남도 여수시 돌산읍 승월길 42-41,63
태*농장1,전라남도 여수시 율촌면 가장리 367번지  ,전라남도 여수시 율촌면 상평길 58-49,50
금*믿음축산,전라남도 여수시 남면 두모리 491번지  ,전라남도 여수시 남면 모하삼반길 16-10,1
서*축산,전라남도 여수시 남면 두모리 1373번지  ,전라남도 여수시 남면 초포길 37-2,5
앵*산농장,전라남도 여수시 율촌면 산수리 388번지  ,전라남도 여수시 율촌면 산수봉두2길 34,25
금*농장,전라남도 여수시 율촌면 가장리 1048번지  ,전라남도 여수시 율촌면 하평길 69,40
중*축산,전라남도 여수시 율촌면 가장리 166번지 1호  ,전라남도 여수시 율촌면 중산길 24-10,19
하*축산,전라남도 여수시 율촌면 가장리 390번지  ,,28
우*축산,전라남도 여수시 소라면 봉두리 1068번지  ,전라남도 여수시 소라면 운암길 308,35
월*농장,전라남도 여수시 율촌면 월산리 723번지  ,전라남도 여수시 율촌면 서부로 1828-20,2
우*농장,전라남도 여수시 소라면 봉두리 993번지  ,전라남도 여수시 소라면 운암길 283-10,12
반*축산,전라남도 여수시 선원동 509번지 28호  ,전라남도 여수시 반월1길 14-11 (선원동),10
성*동축산,전라남도 여수시 화양면 용주리 1564번지  ,전라남도 여수시 화양면 성주골길 16,12
강*농장,전라남도 여수시 화양면 안포리 6번지 5호  ,전라남도 여수시 화양면 화양로 138-6,11
삼*축산,전라남도 여수시 돌산읍 신복리 297번지 5호  ,전라남도 여수시 돌산읍 잔복골길 227-26,11
성*농장,전라남도 여수시 돌산읍 신복리 281번지  ,전라남도 여수시 돌산읍 잔복골길 229,5
성*축산,전라남도 여수시 돌산읍 신복리 281번지  ,전라남도 여수시 돌산읍 잔복골길 229,450
유*농장,전라남도 여수시 소라면 관기리 1005번지 1호  ,전라남도 여수시 소라면 평전길 45,12
진*농장,전라남도 여수시 소라면 봉두리 813번지  ,전라남도 여수시 소라면 의곡길 59,30
달*농장,전라남도 여수시 소라면 복산리 1668번지 1호  ,전라남도 여수시 소라면 하느재길 24,4
본*축산,전라남도 여수시 소라면 사곡리 617번지  ,전라남도 여수시 소라면 사곡진목1길 13-1,8
연*축산,전라남도 여수시 율촌면 가장리 1792번지  ,,6
신*농장,전라남도 여수시 신덕동 333번지  ,,6
사*실농장,전라남도 여수시 소라면 사곡리 386번지  ,전라남도 여수시 소라면 궁항길 37-31,23
사*농장,전라남도 여수시 율촌면 상봉리 1043번지  ,,4
해*축사,전라남도 여수시 해산동 52번지 2호  ,,15
여*축협한우생산기지,전라남도 여수시 화양면 이목리 190번지 2호  ,전라남도 여수시 화양면 자매로 323,290
남*축산,전라남도 여수시 율촌면 산수리 392번지  ,전라남도 여수시 율촌면 산수봉두2길 12-19,20
은*축산,전라남도 여수시 율촌면 신풍리 13번지 162호  ,전라남도 여수시 율촌면 산돌길 108-35,6
원*농장,전라남도 여수시 화양면 이목리 168번지 1호  ,전라남도 여수시 화양면 자매로 295,47
승*농장,전라남도 여수시 돌산읍 서덕리 산 173번지  ,,7
부*기농장,전라남도 여수시 돌산읍 죽포리 1875번지  ,전라남도 여수시 돌산읍 돌산로 2078-50,30
정*농장,전라남도 여수시 소라면 사곡리 200번지 1호  ,전라남도 여수시 소라면 상사길 58-18,25
하*농장,전라남도 여수시 율촌면 월산리 1448번지 6호  ,전라남도 여수시 율촌면 서부로 1828-27,36
기*축사,전라남도 여수시 해산동 407번지  ,전라남도 여수시 해지길 33 (해산동),20
해*라기농장,전라남도 여수시 율촌면 가장리 265번지  ,전라남도 여수시 율촌면 상평길 58-2,10
재*농장,전라남도 여수시 화양면 나진리 160번지 1호  ,,21
한*농원,전라남도 여수시 돌산읍 우두리 21번지 3호  ,전라남도 여수시 돌산읍 상하동길 238-43,15
대*농장,전라남도 여수시 봉계동 102번지 1호  ,전라남도 여수시 좌수영로 812-21 (봉계동),6
