연번,사업장명칭,주사육업종,등록축종,사업장소재지
1,다하라농장,한우,한우,전라남도 영광군 영광읍
2,부농농장,돼지,돼지,전라남도 영광군 염산면
3,보배농장,종계/산란계,종계/산란계,전라남도 영광군 영광읍
4,오송농장,육계,육계,전라남도 영광군 군서면
5,유레카목장,젖소,젖소,전라남도 영광군 영광읍
6,신대농장,종계/산란계,종계/산란계,전라남도 영광군 영광읍
7,이레농장,돼지,돼지,전라남도 영광군 염산면
8,풍산그린양계,육계,육계,전라남도 영광군 묘량면
9,월현농장,한우,한우,전라남도 영광군 영광읍
10,산정농장,한우,한우,전라남도 영광군 영광읍
11,와룡농장,육계,육계,전라남도 영광군 영광읍
12,태원농장,육계,육계,전라남도 영광군 군서면
13,동산농원,돼지,돼지,전라남도 영광군 대마면
14,시병축산,돼지,돼지,전라남도 영광군 영광읍
15,한울축산,돼지,돼지,전라남도 영광군 법성면
16,양성농장,육계,육계,전라남도 영광군 백수읍
17,태화축산,돼지,돼지,전라남도 영광군 묘량면
18,은혜농장,돼지,돼지,전라남도 영광군 묘량면
19,금오2농장,돼지,돼지,전라남도 영광군 묘량면
20,녹색농원,돼지,돼지,전라남도 영광군 영광읍
21,삼미농장,돼지,돼지,전라남도 영광군 법성면
22,만년농장,돼지,돼지,전라남도 영광군 군서면
23,포야농장,돼지,돼지,전라남도 영광군 묘량면
24,미르목장,젖소,"육우, 젖소",전라남도 영광군 법성면
25,대영농장,한우,한우,전라남도 영광군 법성면
26,지장축산,한우,한우,전라남도 영광군 법성면
27,부농축산,한우,한우,전라남도 영광군 법성면
28,장수농장,한우,한우,전라남도 영광군 법성면
29,칠성농장,한우,한우,전라남도 영광군 영광읍
30,송림농장,한우,한우,전라남도 영광군 영광읍
31,오성농장,한우,한우,전라남도 영광군 영광읍
32,와룡축산,한우,한우,전라남도 영광군 영광읍
33,명길농장,한우,한우,전라남도 영광군 영광읍
34,송배농장,한우,한우,전라남도 영광군 백수읍
35,장재기농장,육계,육계,전라남도 영광군 영광읍
36,입석한우농장,한우,한우,전라남도 영광군 영광읍
37,해오름농장,한우,한우,전라남도 영광군 법성면
38,진량축산,한우,한우,전라남도 영광군 법성면
39,동주농장,한우,한우,전라남도 영광군 염산면
40,최병원농장,한우,한우,전라남도 영광군 염산면
41,영일농장,한우,한우,전라남도 영광군 군서면
42,연희농장,한우,한우,전라남도 영광군 백수읍
43,광백농장,한우,한우,전라남도 영광군 백수읍
44,영민농장,한우,한우,전라남도 영광군 백수읍
45,학산농장,한우,한우,전라남도 영광군 백수읍
46,박백열농장,한우,한우,전라남도 영광군 염산면
47,세덕축산,한우,한우,전라남도 영광군 홍농읍
48,구미숙농장,한우,한우,전라남도 영광군 대마면
49,구산농장,한우,한우,전라남도 영광군 대마면
50,문산축산,한우,한우,전라남도 영광군 홍농읍
51,가오농장,한우,한우,전라남도 영광군 불갑면
52,부흥농장,한우,한우,전라남도 영광군 불갑면
53,153농장,한우,한우,전라남도 영광군 불갑면
54,성희축산,한우,한우,전라남도 영광군 염산면
55,석진관축산,한우,한우,전라남도 영광군 염산면
56,오교농장,한우,한우,전라남도 영광군 염산면
57,종필농장,한우,한우,전라남도 영광군 불갑면
58,홍석농장,한우,한우,전라남도 영광군 백수읍
59,큰윤호농장,한우,한우,전라남도 영광군 영광읍
60,이국사농장,한우,한우,전라남도 영광군 불갑면
61,유재빈농장,한우,한우,전라남도 영광군 불갑면
62,오미농장,한우,한우,전라남도 영광군 불갑면
63,금계축산,한우,한우,전라남도 영광군 불갑면
64,박종성농장,한우,한우,전라남도 영광군 불갑면
65,이우송농장,한우,한우,전라남도 영광군 영광읍
66,대오축산,돼지,돼지,전라남도 영광군 묘량면
67,하늬농장,젖소,젖소,전라남도 영광군 법성면
68,강화목장,한우,한우,전라남도 영광군 대마면
69,운경농장,한우,한우,전라남도 영광군 염산면
70,우리농장,한우,한우,전라남도 영광군 염산면
