사업장명칭,사업장소재지(지번),주사육업종,사육두수,데이터기준일자
성재축산,전라남도 영암군 서호면 성재리 ,돼지,1000,2025-05-01
성일축산영농조합법인,전라남도 영암군 미암면 채지리 ,돼지,1600,2025-05-01
다울농장,전라남도 영암군 미암면 선황리 ,돼지,1079,2025-05-01
전일농장,전라남도 영암군 미암면 춘동리 ,돼지,1500,2025-05-01
창업축산,전라남도 영암군 미암면 신포리 ,돼지,4000,2025-05-01
이유농장,전라남도 영암군 학산면 묵동리 ,돼지,1900,2025-05-01
희망돈 농장,전라남도 영암군 군서면 마산리 ,돼지,1000,2025-05-01
칠봉농장,전라남도 영암군 덕진면 덕진리 ,돼지,2000,2025-05-01
에스엘축산영농조합법인,전라남도 영암군 미암면 춘동리 ,돼지,2200,2025-05-01
영호양돈축산영농조합법인,전라남도 영암군 도포면 영호리 ,돼지,1500,2025-05-01
김광동농장3,전라남도 영암군 도포면 영호리 ,돼지,500,2025-05-01
해누리팜,전라남도 영암군 도포면 영호리 ,돼지,2223,2025-05-01
정일농장,전라남도 영암군 학산면 묵동리 ,돼지,1500,2025-05-01
밤재농장,전라남도 영암군 학산면 묵동리 ,돼지,3000,2025-05-01
코리아축산,전라남도 영암군 도포면 수산리 ,돼지,1000,2025-05-01
동성농장,전라남도 영암군 금정면 청용리 ,돼지,150,2025-05-01
유진농장,전라남도 영암군 도포면 영호리 ,돼지,4,2025-05-01
봉학농장,전라남도 영암군 도포면 영호리 ,돼지,250,2025-05-01
구시월드 대양축산,전라남도 영암군 신북면 장산리 ,돼지,3800,2025-05-01
구시월드 구시GGP,전라남도 영암군 도포면 수산리 ,돼지,9000,2025-05-01
오선농장,전라남도 영암군 도포면 영호리 ,돼지,300,2025-05-01
송광농장,전라남도 영암군 도포면 성산리 ,돼지,1800,2025-05-01
우리손 영암농장,전라남도 영암군 도포면 영호리 ,돼지,5500,2025-05-01
농업회사법인 새유리,전라남도 영암군 도포면 수산리 ,돼지,7000,2025-05-01
우성축산,전라남도 영암군 서호면 금강리 ,돼지,19000,2025-05-01
서현농장,전라남도 영암군 학산면 묵동리 ,돼지,2108,2025-05-01
농업회사법인 팜돈(주),전라남도 영암군 시종면 와우리 ,돼지,10000,2025-05-01
낭주농장,전라남도 영암군 도포면 원항리 ,돼지,5,2025-05-01
늘행복한농장,전라남도 영암군 신북면 갈곡리 ,돼지,700,2025-05-01
진영축산,전라남도 영암군 덕진면 금강리 ,돼지,530,2025-05-01
농업회사법인 주식회사 올바른,전라남도 영암군 학산면 묵동리 ,돼지,12000,2025-05-01
김광동농장1,전라남도 영암군 도포면 영호리 ,돼지,500,2025-05-01
김광동농장2,전라남도 영암군 도포면 영호리 ,돼지,700,2025-05-01
미암메추리농장,전라남도 영암군 미암면 채지리 ,메추리,150000,2025-05-01
천수사슴목장,전라남도 영암군 덕진면 노송리 ,사슴,90,2025-05-01
태양농장,전라남도 영암군 삼호읍 동호리,산란계,64904,2025-05-01
참살이농장,전라남도 영암군 서호면 태백리,산란계,92000,2025-05-01
주안농장,전라남도 영암군 미암면 신한리,산란계,31320,2025-05-01
옥주농장,전라남도 영암군 삼호읍 난전리,산란계,36000,2025-05-01
또르래농장,전라남도 영암군 도포면 덕화리,산란계,25400,2025-05-01
다미농장,전라남도 영암군 시종면 신학리,산란계,26000,2025-05-01
농업회사법인 조인팜스㈜,전라남도 영암군 신북면 행정리,산란계,125400,2025-05-01
석산농장,전라남도 영암군 금정면 월평리 ,산양,200,2025-05-01
활성산흑염소목장,전라남도 영암군 금정면 연소리 ,산양,300,2025-05-01
동호농장,전라남도 영암군 시종면 내동리 ,산양,52,2025-05-01
기찬흑염소,전라남도 영암군 군서면 마산리 ,산양,130,2025-05-01
상월농장,전라남도 영암군 학산면 상월리 ,산양,8,2025-05-01
온누리흑염소농장,전라남도 영암군 신북면 월평리 ,산양,50,2025-05-01
흑염소농장 밤재,전라남도 영암군 학산면 묵동리 ,산양,22,2025-05-01
유산장농원,전라남도 영암군 미암면 채지리 ,오리,12000,2025-05-01
해종축산,전라남도 영암군 도포면 원항리 ,오리,15000,2025-05-01
범천농장,전라남도 영암군 도포면 영호리 ,오리,27000,2025-05-01
삼성농장,전라남도 영암군 군서면 도장리 ,오리,14000,2025-05-01
원앙골농장,전라남도 영암군 신북면 학동리 ,오리,28900,2025-05-01
허니농장,전라남도 영암군 신북면 월평리 ,오리,15500,2025-05-01
태평농장,전라남도 영암군 신북면 모산리 ,오리,18000,2025-05-01
낭주오리농장,전라남도 영암군 도포면 원항리 ,오리,15000,2025-05-01
희규축산,전라남도 영암군 군서면 도장리 ,오리,8000,2025-05-01
우리농장,전라남도 영암군 영암읍 송평리 ,오리,13500,2025-05-01
