사업장명칭,주사육업종,사업장소재지(지번),사육두수
솔개농장,한우,전라남도 완도군 완도읍 대야리 ,88
청해농장,한우,전라남도 완도군 완도읍 대야리,55
김용주농장,한우,전라남도 완도군 완도읍 대야리,20
백두목장,한우,전라남도 완도군 완도읍 군내리,73
화흥농장,한우,전라남도 완도군 완도읍 화흥리,40
박남월축사,한우,전라남도 완도군 완도읍 가용리,40
하늘농장,한우,전라남도 완도군 완도읍 대신리,73
도암농장,한우,전라남도 완도군 완도읍 중도리,50
화개농장,한우,전라남도 완도군 완도읍 화흥리,80
황기천축사,한우,전라남도 완도군 완도읍 중도리,143
오지농장,한우,전라남도 완도군 노화읍 고막리,77
장미축산,한우,전라남도 완도군 완도읍 화흥리,20
배재호농장,한우,전라남도 완도군 완도읍 화흥리,51
효성농장,한우,전라남도 완도군 완도읍 대신리,70
갑을축산,한우,전라남도 완도군 노화읍 신양리,20
초계농장,한우,전라남도 완도군 군외면 신학리,35
운동농장,한우,전라남도 완도군 고금면 청용리,75
고금축산,한우,전라남도 완도군 고금면 도남리,43
우정축산,한우,전라남도 완도군 고금면 농상리,26
박종관축사,한우,전라남도 완도군 고금면 회룡리,145
유영두축사,한우,전라남도 완도군 고금면 도남리,28
이영렬축사,한우,전라남도 완도군 고금면 도남리,60
윤숙자축사,한우,전라남도 완도군 고금면 덕동리,40
정말로농장,한우,전라남도 완도군 고금면 도남리,150
소야챔피언농장,한우,전라남도 완도군 고금면 청용리,40
대농축산,한우,전라남도 완도군 고금면 청용리,24
동아농축산,한우,전라남도 완도군 고금면 덕암리,137
영구축산,한우,전라남도 완도군 고금면 청용리,15
이정이축사,한우,전라남도 완도군 완도읍 가용리,6
최창옥축사,한우,전라남도 완도군 고금면 봉명리,70
현대농장,한우,전라남도 완도군 고금면 가교리,80
김상민축사,한우,전라남도 완도군 고금면 도남리,73
장양호축사,한우,전라남도 완도군 고금면 도남리,20
고금농장,한우,전라남도 완도군 고금면 덕암리,50
송원축산,한우,전라남도 완도군 고금면 도남리,85
부성농장,한우,전라남도 완도군 고금면 농상리,80
김창두축사,한우,전라남도 완도군 고금면 농상리,40
우창남축사,한우,전라남도 완도군 고금면 청용리,73
청학목장,한우,전라남도 완도군 고금면 청용리,40
우홍열축사,한우,전라남도 완도군 고금면 농상리,30
영일축산,한우,전라남도 완도군 신지면 월양리,20
남양축산,한우,전라남도 완도군 고금면 농상리,55
영심축산,한우,전라남도 완도군 신지면 대곡리,12
최순효축사,한우,전라남도 완도군 신지면 월양리,13
김의준축사,한우,전라남도 완도군 신지면 신상리,48
박성운축사,한우,전라남도 완도군 신지면 신상리,22
황재환축사,한우,전라남도 완도군 고금면 농상리,56
손기남축사,한우,전라남도 완도군 고금면 세동리,37
김재익축사,한우,전라남도 완도군 고금면 세동리,160
한우축산,돼지,전라남도 완도군 고금면 덕암리,750
