사업장명칭,주사육업종,사업장소재지(지번),면적
용성농장,한우,전라남도 장성군 장성읍 덕진리 899번지 외 6필지 ,1820 
태산목장,젖소,전라남도 장성군 진원면 상림리 212번지 1호  ,1717 
신평농장,돼지,전라남도 장성군 북이면 신평리 339번지  ,960 
학동농장,한우,"전라남도 장성군 동화면 동호리 357-3번지 외3필지(360-10,360-9,357-2) ",3149 
풍성농장,돼지,전라남도 장성군 장성읍 상오리 51번지 외 6필지 ,1280 
강대석축산,한우,전라남도 장성군 장성읍 상오리 399번지 8호  ,552 
장안농장,한우,전라남도 장성군 장성읍 장안리 251번지 3호  ,543 
재영축산,한우,전라남도 장성군 장성읍 상오리 427번지 10호  ,958 
수정축산,한우,전라남도 장성군 장성읍 상오리 116번지  ,364 
단광축산,한우,전라남도 장성군 장성읍 단광리 196번지  ,2026 
구암축산,한우,전라남도 장성군 장성읍 안평리 467번지  ,392 
현농장,한우,전라남도 장성군 장성읍 상오리 427번지 11호  ,705 
토끼뜰축산,한우,전라남도 장성군 장성읍 유탕리 1530번지 3  호  ,346 
현대축산,한우,전라남도 장성군 장성읍 안평리 394번지 2호 외 2필지 ,785 
용현축산,한우,전라남도 장성군 진원면 산정리 299번지  ,704 
정병호농장,한우,전라남도 장성군 진원면 상림리 396번지 외 4필지 ,322 
남강축산,한우,전라남도 장성군 동화면 월산리 58번지  ,1002 
기산축산,한우,전라남도 장성군 동화면 동호리 50번지 1호  ,1661 
만선농장,한우,전라남도 장성군 서삼면 장산리 401번지  ,181 
백암농장,한우,전라남도 장성군 북이면 백암리 92번지 8호  ,1038 
시목농장,한우,전라남도 장성군 진원면 산정리 300번지 29호 외 2필지 ,572 
월곡축산,한우,전라남도 장성군 남면 삼태리 778번지 8호  ,640 
송현농장,한우,전라남도 장성군 서삼면 송현리 781번지  ,396 
금호농장,한우,전라남도 장성군 황룡면 금호리 307번지  ,672 
축령산농장,한우,전라남도 장성군 서삼면 대덕리 274번지 외 3필지 ,1944 
소다운목장,한우,전라남도 장성군 진원면 상림리 201번지  ,384 
에그팜영농조합법인,종계/산란계,전라남도 장성군 삼서면 금산리 381번지 22호  ,12744 
마장농장,한우,전라남도 장성군 진원면 학림리 438번지 6호  ,887 
장미축산,돼지,전라남도 장성군 장성읍 안평리 319번지 외 3필지 ,3018 
우봉농장,한우,전라남도 장성군 장성읍 덕진리 906번지 1호  ,1098 
박선주농장,젖소,전라남도 장성군 진원면 용산리 737번지 1호  ,542 
명예목장,젖소,전라남도 장성군 진원면 상림리 245번지 1   호  ,704 
삼태농장,한우,전라남도 장성군 남면 삼태리 576번지 16호  ,360 
숭우농장,한우,전라남도 장성군 남면 행정리 178번지 2호  ,1309 
장일농장,돼지,전라남도 장성군 황룡면 아곡리 213번지 외 7필지 ,2353 
남양축산,한우,전라남도 장성군 황룡면 황룡리 10번지 60호  ,687 
추암농장,한우,전라남도 장성군 서삼면 추암리 819번지  ,300 
송산농장,한우,전라남도 장성군 북이면 오월리 476번지  ,137 
유민수농장,한우,전라남도 장성군 북이면 신월리 205번지  ,826 
성수농장,한우,전라남도 장성군 북이면 죽청리 222번지 1   호  ,363 
중평농장,한우,전라남도 장성군 북하면 중평리 732번지 11호  ,309 
한우축산,한우,전라남도 장성군 장성읍 상오리 49번지 1호  ,493 
우지축산,한우,전라남도 장성군 장성읍 상오리 46번지 4호 외 4필지 ,2221 
장성축산,돼지,전라남도 장성군 장성읍 성산리 31번지 1호 외 3필지 ,1683 
엘림,돼지,전라남도 장성군 장성읍 유탕리 1307번지 2호  ,978 
월산농장,한우,전라남도 장성군 동화면 월산리 752번지  ,348 
안정농장,한우,전라남도 장성군 북일면 월계리 157번지 1호  ,462 
성덕축산,한우,전라남도 장성군 북일면 성덕리 510번지 3호  ,1702 
성진농장,한우,전라남도 장성군 장성읍 수산리 344번지 외 1필지 ,320 
완인농장,한우,전라남도 장성군 장성읍 덕진리 561번지 3호  ,396 
조산농장,한우,전라남도 장성군 동화면 동호리 356번지 1   호  ,368 
