사업장명칭,주사육업종,사업장소재지(지번),사육두수
윤봉현농장,한우,전남광주통합특별시 해남군 계곡면 성진리 489번지 외5필지 ,165
산들농원,육계,전남광주통합특별시 해남군 문내면 용암리 809번지 8호 외 3필지 ,155000
지성농장,한우,전남광주통합특별시 해남군 문내면 동외리 789번지 8호  ,100
농민농장,한우,전남광주통합특별시 해남군 문내면 동외리 735번지  ,4
갈우리 닭 농장,육계,전남광주통합특별시 해남군 문내면 석교리 904번지 2호 외 5필지 ,62000
예사향농원,육계,전남광주통합특별시 해남군 문내면 석교리 865번지 8호 외 3필지 및 865-2 외 1필지 ,70000
박맹수 농장,한우,전남광주통합특별시 해남군 황산면 원호리 913번지 4호  ,9
김명주 농장,한우,전남광주통합특별시 해남군 황산면 연호리 279번지 12호 외 3필지 ,13
황우축산,한우,전남광주통합특별시 해남군 황산면 원호리 82번지 1호 외 1필지 및 950-1 외 3필지 ,33
이순남농장,한우,전남광주통합특별시 해남군 해남읍 내사리 86번지 5호  ,72
안문섭농장,한우,전남광주통합특별시 해남군 화산면 부길리 213번지 4호  ,35
김예중농장,한우,전남광주통합특별시 해남군 화산면 안호리 370번지 1호  ,21
태양축산,한우,전남광주통합특별시 해남군 옥천면 용산리 602번지 외2필지 ,60
아원목장,젖소,전남광주통합특별시 해남군 옥천면 영신리 353번지 1호 외 2필지 ,66
상강한우,한우,전남광주통합특별시 해남군 옥천면 청신리 80번지 외3필지 ,80
옥천한우,한우,전남광주통합특별시 해남군 옥천면 신죽리 725번지 5호  ,60
팜스월드 해남팜 1농장,돼지,전남광주통합특별시 해남군 마산면 상등리 990번지 13호 외 2필지 및 990-14 외 3필지 ,6500
호교농원,육계,전남광주통합특별시 해남군 마산면 상등리 990번지 16호  ,60000
전종규농장,한우,전남광주통합특별시 해남군 산이면 상공리 694번지 1호  ,30
김춘식농장,한우,전남광주통합특별시 해남군 송지면 서정리 290번지 외1필지 ,33
마봉축산,한우,전남광주통합특별시 해남군 송지면 마봉리 813번지  ,24
나래축산,한우,전남광주통합특별시 해남군 북평면 오산리 934번지 1호  ,10
밀알축산,한우,"전남광주통합특별시 해남군 황산면 관춘리 646번지 5호 ,-1,-3 ",30
징의축산,한우,전남광주통합특별시 해남군 황산면 한자리 1272번지  ,103
저산목장,젖소,전남광주통합특별시 해남군 삼산면 송정리 491번지 1호 외 1필지 ,140
