연번,시도,시군구,축종,사업장소재지(지번),데이터기준일
1,전라남도,화순군,돼지,전라남도 화순군 화순읍 다지리 577번지 9호  ,2026-01-22
2,전라남도,화순군,종계/산란계,전라남도 화순군 동면 오동리 809번지 외5필지 ,2026-01-22
3,전라남도,화순군,한우,전라남도 화순군 능주면 원지리 471번지 39호  ,2026-01-22
4,전라남도,화순군,한우,전라남도 화순군 능주면 만인리 303번지  ,2026-01-22
5,전라남도,화순군,한우,전라남도 화순군 백아면 방리 430번지 2호  ,2026-01-22
6,전라남도,화순군,한우,전라남도 화순군 도곡면 천암리 291번지 2호  ,2026-01-22
7,전라남도,화순군,돼지,전라남도 화순군 동면 오동리 219번지  ,2026-01-22
8,전라남도,화순군,돼지,전라남도 화순군 이서면 안심리 820번지 외 8필지 ,2026-01-22
9,전라남도,화순군,돼지,전라남도 화순군 화순읍 다지리 577번지 5호  ,2026-01-22
10,전라남도,화순군,한우,전라남도 화순군 춘양면 가봉리 82번지  ,2026-01-22
11,전라남도,화순군,한우,전라남도 화순군 사평면 사평리 234번지 9호  ,2026-01-22
12,전라남도,화순군,종계/산란계,전라남도 화순군 동복면 신율리 377번지 6호  ,2026-01-22
13,전라남도,화순군,육계,전라남도 화순군 사평면 절산리 363번지 4호  ,2026-01-22
14,전라남도,화순군,돼지,전라남도 화순군 화순읍 다지리 577번지 15호  ,2026-01-22
15,전라남도,화순군,돼지,전라남도 화순군 춘양면 양곡리 222번지 1호  ,2026-01-22
16,전라남도,화순군,돼지,전라남도 화순군 화순읍 다지리 577번지 18호  ,2026-01-22
17,전라남도,화순군,한우,전라남도 화순군 사평면 벽송리 124번지 (사호로 139-1) ,2026-01-22
18,전라남도,화순군,한우,전라남도 화순군 동면 국동리 186번지  ,2026-01-22
19,전라남도,화순군,돼지,전라남도 화순군 화순읍 다지리 577번지 3호  ,2026-01-22
20,전라남도,화순군,돼지,전라남도 화순군 청풍면 백운리 315번지 외 8필지 ,2026-01-22
21,전라남도,화순군,돼지,전라남도 화순군 춘양면 회송리 466번지 1호  ,2026-01-22
22,전라남도,화순군,한우,전라남도 화순군 동복면 구암리 930번지  ,2026-01-22
