구분,업종(축종),농가,마릿수,기준,단위,비고,데이터기준일자
축산업 허가현황,한우,140,3211,사육면적 50제곱미터 이상,농가: 호 / 마릿수: 두·수,,2026-06-26
축산업 허가현황,젖소,5,252,사육면적 50제곱미터 이상,농가: 호 / 마릿수: 두·수,,2026-06-26
축산업 허가현황,돼지,7,"6,125",사육면적 50제곱미터 이상,농가: 호 / 마릿수: 두·수,,2026-06-26
축산업 허가현황,육계,2,19100,사육면적 50제곱미터 이상,농가: 호 / 마릿수: 두·수,,2026-06-26
축산업 허가현황,산란계,3,93841,사육면적 50제곱미터 이상,농가: 호 / 마릿수: 두·수,,2026-06-26
축산업 허가현황,오리,3,19100,사육면적 50제곱미터 이상,농가: 호 / 마릿수: 두·수,,2026-06-26
축산업 등록현황,한·육우,15,15,사육면적 10~50제곱미터,농가: 호 / 마릿수: 두·수,,2026-06-26
축산업 등록현황,돼지,1,0,사육면적 10~50제곱미터,농가: 호 / 마릿수: 두·수,휴업 중,2026-06-26
축산업 등록현황,닭,1,0,사육면적 10~50제곱미터,농가: 호 / 마릿수: 두·수,휴업 중,2026-06-26
축산업 등록현황,염소,23,612,사육면적 10~50제곱미터,농가: 호 / 마릿수: 두·수,,2026-06-26
축산업 등록현황,사슴,4,109,사육면적 10~50제곱미터,농가: 호 / 마릿수: 두·수,,2026-06-26
