사업장명칭,주사육업종,사육두수,사업장소재지(도로명),사업장소재지(지번),전화,데이터기준일
성진농장,종계/산란계,10000,전라북도 순창군 동계면 충효로 538,전라북도 순창군 동계면 신흥리 627번지 4호  ,063-653-7734,2022-11-10
무럭이농장,돼지,4708,전라북도 순창군 인계면 세심로 216,전라북도 순창군 인계면 심초리 36번지 1호  ,,2022-11-10
다산농장,한우,15,전라북도 순창군 팔덕면 광덕로 727-8,전라북도 순창군 팔덕면 청계리 587번지 589-1 ,063-652-7789,2022-11-10
한들농산,육계,120000,전라북도 순창군 유등면 오교로 46-24,전라북도 순창군 유등면 외이리 910번지  ,063-652-3321,2022-11-10
한우사육장,한우,22,전라북도 순창군 유등면 유적로 104-13,전라북도 순창군 유등면 무수리 332번지  ,063-652-3393,2022-11-10
성옥농장,육계,42000,전라북도 순창군 순창읍 인덕로 50-101,전라북도 순창군 순창읍 장덕리 704번지  ,063-652-1205,2022-11-10
복실농장,육계,100000,전라북도 순창군 순창읍 인덕로 50-99,전라북도 순창군 순창읍 장덕리 689번지 외 3필지 ,063-652-1205,2022-11-10
부광농장,육계,50000,전라북도 순창군 인계면 노동로 275-8,전라북도 순창군 인계면 갑동리 산 115번지  ,,2022-11-10
오성농장,육계,81000,전라북도 순창군 유등면 오교로 46-46,전라북도 순창군 유등면 오교리 1088번지  ,063-652-2467,2022-11-10
순창 토종닭 농장,육계,73000,"전라북도 순창군 풍산면 월파로 577 (한내리45),46,47,48,23-1,23-2,18번지)",전라북도 순창군 풍산면 한내리  ,,2022-11-10
멕시카나농장,육계,80000,,전라북도 순창군 풍산면 금곡리 12번지  ,,2022-11-10
자현축산,육계,80000,,전라북도 순창군 구림면 화암리 1381번지 1382번지 ,063-652-9357,2022-11-10
진등농장,한우,140,전라북도 순창군 적성면 충효로 182,전라북도 순창군 적성면 괴정리  ,063-652-4639,2022-11-10
종길,한우,284,,전라북도 순창군 금과면 목동리 744번지  ,063-652-6464,2022-11-10
금규,한우,30,전라북도 순창군 금과면 금풍로 321-27,전라북도 순창군 금과면 동전리 318번지  ,063-652-6334,2022-11-10
발산농장,육계,30000,전라북도 순창군 금과면 발산길 100-39,전라북도 순창군 금과면 발산리 28번지  ,063-652-6307,2022-11-10
발산,육계,30000,전라북도 순창군 금과면 발산길 106-17,전라북도 순창군 금과면 발산리 22번지  ,063-652-6704,2022-11-10
풍류농장,돼지,1000,전라북도 순창군 구림면 밤재로 66-18,전라북도 순창군 구림면 월정리 286번지  ,063-653-9229,2022-11-10
한내,돼지,4000,전라북도 순창군 풍산면 풍산로 324-34,전라북도 순창군 풍산면 한내리 324번지 4호  ,063-653-8997,2022-11-10
