번호,사업장명칭,사업장소재지(지번),등록일자,영업상태구분,등록허가구분,등록축종,시설면적,데이터기준일자
1,축성농장,전북특별자치도 군산시 서수면 축동리 504번지  ,2005-06-30,폐업,등록대상 ,돼지,1322.00 ,2025-12-26
2,서호목장,전북특별자치도 군산시 서수면 축동리 85번지 1호  ,2005-07-06,정상,허가대상,한우,544.00 ,2025-12-26
3,한미농장,전북특별자치도 군산시 서수면 마룡리 789번지  ,2005-07-06,정상,허가대상,돼지,1192.80 ,2025-12-26
4,태인영농한우조합법인,전북특별자치도 군산시 대야면 복교리 681번지 3호  ,2007-06-14,정상,허가대상,한우,2023.00 ,2025-12-26
5,,전북특별자치도 군산시 나포면 옥곤리 362번지  ,2005-07-15,말소,등록대상 ,한우,49.60 ,2025-12-26
6,목민농장,전북특별자치도 군산시 서수면 금암리 537번지  ,2005-07-15,폐업,등록대상 ,돼지,613.00 ,2025-12-26
7,,전북특별자치도 군산시 옥구읍 오곡리 327번지 1호  ,2005-07-15,폐업,등록대상 ,한우,231.40 ,2025-12-26
8,대일목장,전북특별자치도 군산시 서수면 관원리 262번지 2호  ,2005-07-15,정상,허가대상,한우,1712.00 ,2025-12-26
9,제이콥스팜,전북특별자치도 군산시 성산면 산곡리 487번지 6호  ,2005-07-26,정상,허가대상,한우,1184.50 ,2025-12-26
10,,전북특별자치도 군산시 성산면 산곡리 484번지 4호  ,2005-07-26,말소,등록대상 ,젖소,158.40 ,2025-12-26
11,,전북특별자치도 군산시 개정면 운회리 314번지  ,2005-07-26,폐업,허가대상,한우,192.00 ,2025-12-26
12,누렁이농장,전북특별자치도 군산시 대야면 보덕리 1175번지 3호  ,2005-07-26,정상,허가대상,한우,891.31 ,2025-12-26
13,,전북특별자치도 군산시 임피면 영창리 918번지  ,2005-07-28,폐업,허가대상,돼지,303.75 ,2025-12-26
14,도란에그팜,전북특별자치도 군산시 서수면 마룡리 82번지  ,2005-07-28,정상,허가대상,종계/산란계,7236.40 ,2025-12-26
15,,전북특별자치도 군산시 대야면 보덕리 884번지  ,2005-07-28,정상,허가대상,한우,605.28 ,2025-12-26
16,우동목장,전북특별자치도 군산시 옥산면 남내리 617번지  ,2005-08-05,폐업,등록대상 ,젖소,991.50 ,2025-12-26
17,왕산목장,전북특별자치도 군산시 임피면 보석리 산 301번지 1호  ,2005-08-05,정상,허가대상,한우,235.00 ,2025-12-26
18,서원목장,전북특별자치도 군산시 임피면 미원리 205번지 3호  ,2005-08-05,폐업,허가대상,젖소,694.20 ,2025-12-26
19,,전북특별자치도 군산시 대야면 광교리 599번지 1호  ,2005-08-05,폐업,등록대상 ,한우,198.30 ,2025-12-26
20,종명농장,전북특별자치도 군산시 성산면 고봉리 419번지 1호  ,2005-08-05,정상,허가대상,한우,357.20 ,2025-12-26
21,,전북특별자치도 군산시 성산면 고봉리 95번지 4호  ,2005-08-05,휴업,등록대상 ,한우,304.10 ,2025-12-26
22,탄천농장,전북특별자치도 군산시 서수면 서수리 1178번지 12호  ,2005-08-05,폐업,등록대상 ,종계/산란계,1240.00 ,2025-12-26
23,소망농장 2,전북특별자치도 군산시 서수면 서수리 693번지 8호  ,2005-08-05,폐업,등록대상 ,종계/산란계,1200.00 ,2025-12-26
