시군구명,사업장명칭,소재지주소(사업장),영업상태,영업상태코드,주사육업종,등록허가구분,시설면적(제곱미터),데이터기준일자
무주군,용포리목장,전북특별자치도 무주군 무주읍 용포리 산 84번지 1호  ,폐업,3,한우,등록 ,3396.91,2026-01-05
무주군,봉준농장,전북특별자치도 무주군 안성면 공정리 528번지 2호  ,폐업,3,한우,허가,656,2026-01-05
무주군,하평당농장,전북특별자치도 무주군 부남면 가당리 1436번지 1호  ,폐업,3,돼지,등록 ,333,2026-01-05
무주군,무주농장,"전북특별자치도 무주군 무주읍 내도리 1257번지 2호 , 1261-2 ",정상,1,오리,허가,2425.93,2026-01-05
무주군,산의농장,전북특별자치도 무주군 무주읍 내도리 985번지 1호 내도리 1074-1 ,정상,1,한우,허가,1002.96,2026-01-05
무주군,남형농장,전북특별자치도 무주군 무풍면 은산리 894번지  ,정상,1,한우,등록 ,1076,2026-01-05
무주군,태일농장,전북특별자치도 무주군 무풍면 금평리 1527번지 3호  ,정상,1,돼지,허가,1318.93,2026-01-05
무주군,길왕농장,전북특별자치도 무주군 적상면 사천리 720번지  ,정상,1,한우,허가,1107,2026-01-05
무주군,성태농장,전북특별자치도 무주군 적상면 삼가리 2100번지 6호  ,정상,1,한우,허가,904,2026-01-05
무주군,삼가축산,전북특별자치도 무주군 적상면 삼가리 1111번지 외 1필지 ,정상,1,한우,허가,385,2026-01-05
무주군,갈골농장,전북특별자치도 무주군 적상면 삼가리 1753번지  ,정상,1,한우,허가,648,2026-01-05
무주군,반도축산,전북특별자치도 무주군 무주읍 장백리 436번지  ,폐업,3,육계,등록 ,4047.2,2026-01-05
무주군,섬마을농장,전북특별자치도 무주군 무주읍 내도리 1759번지  ,폐업,3,종계/산란계,등록 ,508.2,2026-01-05
무주군,둥지농장,전북특별자치도 무주군 무주읍 내도리 2166번지 1호  ,폐업,3,종계/산란계,등록 ,1170.9,2026-01-05
무주군,앞섬농장,전북특별자치도 무주군 무주읍 내도리 1814번지 3호  ,정상,1,종계/산란계,등록 ,487.8,2026-01-05
무주군,동석목장,전북특별자치도 무주군 무주읍 내도리 2186번지  ,정상,1,한우,허가,399,2026-01-05
무주군,윤ㅇㅇ 농장,전북특별자치도 무주군 적상면 사산리 829번지  ,정상,1,한우,허가,806,2026-01-05
무주군,부광목장,전북특별자치도 무주군 안성면 덕산리 1549번지 1호  ,정상,1,한우,허가,632,2026-01-05
무주군,하이목목장,전북특별자치도 무주군 안성면 장기리 814번지  ,정상,1,한우,등록 ,542,2026-01-05
무주군,대덕산삼형제목장,전북특별자치도 무주군 무풍면 금평리 산 172번지 1호  ,폐업,3,한우,등록 ,360,2026-01-05
무주군,동안목장,전북특별자치도 무주군 무풍면 철목리 283번지  ,폐업,3,젖소,허가,934,2026-01-05
무주군,초원목장,전북특별자치도 무주군 무풍면 지성리 산 50번지 3호  ,폐업,3,젖소,등록 ,2482,2026-01-05
무주군,사전목장,전북특별자치도 무주군 안성면 사전리 777번지  ,폐업,3,한우,등록 ,396,2026-01-05
무주군,신촌목장,전북특별자치도 무주군 안성면 사전리 777번지  ,정상,1,한우,허가,983,2026-01-05
무주군,상관목장,전북특별자치도 무주군 적상면 사산리 810번지  ,정상,1,한우,등록 ,599,2026-01-05
무주군,이ㅇㅇ축사,전북특별자치도 무주군 무풍면 철목리 1075번지 6호  ,폐업,3,한우,등록 ,0,2026-01-05
무주군,종ㅇ농장,전북특별자치도 무주군 적상면 사산리 1013번지 1호  ,정상,1,한우,등록 ,393,2026-01-05
무주군,이ㅇㅇ목장,전북특별자치도 무주군 적상면 삼가리 1539번지 1호  ,정상,1,한우,허가,440,2026-01-05
무주군,이ㅇㅇ목장,전북특별자치도 무주군 적상면 삼가리 1530번지  ,정상,1,한우,허가,930,2026-01-05
무주군,영희목장,전북특별자치도 무주군 무주읍 용포리 244번지 1호  ,정상,1,한우,허가,1367.81,2026-01-05
무주군,성진목장,전북특별자치도 무주군 무주읍 용포리 46번지 4호  ,정상,1,젖소,등록 ,1206,2026-01-05
무주군,반딧골한우목장,전북특별자치도 무주군 무주읍 오산리 151번지  ,정상,1,한우,허가,1879.32,2026-01-05
무주군,정훈목장,전북특별자치도 무주군 설천면 길산리 464번지 7호  ,폐업,3,한우,등록 ,923,2026-01-05
무주군,상길농장,전북특별자치도 무주군 적상면 사천리 884번지  ,정상,1,한우,허가,1714,2026-01-05
무주군,정고개농장,전북특별자치도 무주군 안성면 장기리 1814번지 4호  ,정상,1,한우,등록 ,1055,2026-01-05
무주군,희정농장,전북특별자치도 무주군 안성면 죽천리 1622번지  ,정상,1,돼지,허가,2667.34,2026-01-05
무주군,벙구들목장,전북특별자치도 무주군 무주읍 당산리 1550번지  ,폐업,3,돼지,등록 ,524,2026-01-05
