축산업종류,사업장명칭,주사육업종,사업장소재지, 사육두수 ,데이터기준일자
가축사육업,서율농장,한우,"전북특별자치도 부안군 백산면 하청리 245번지 외 3필지(243-1, 246-2, 246-10) ",87,2025-11-14
가축사육업,감교농장,한우,"전북특별자치도 부안군 상서면 감교리 811번지 19호 811-20,811-52.주산면 사산리1178-7,1178-8,1178-30 ",700,2025-11-14
가축사육업,월제농장,한우,전북특별자치도 부안군 하서면 백련리 567번지 6호  ,25,2025-11-14
가축사육업,길호농장,한우,전북특별자치도 부안군 하서면 백련리 470번지  ,30,2025-11-14
가축사육업,광열농장,한우,전북특별자치도 부안군 보안면 유천리 439번지  ,15,2025-11-14
가축사육업,종문농장,한우,전북특별자치도 부안군 동진면 안성리 1298번지  ,124,2025-11-14
가축사육업,조OO농장,한우,전북특별자치도 부안군 하서면 백련리 566번지 35호  ,15,2025-11-14
가축사육업,윤OO농장,한우,"전북특별자치도 부안군 하서면 장신리 207번지 외 2필지(208, 209) ",62,2025-11-14
가축사육업,하늘농장,한우,전북특별자치도 부안군 보안면 월천리 451번지  ,100,2025-11-14
가축사육업,계화누렁이농장,한우,전북특별자치도 부안군 계화면 창북리 4134번지 3호  ,70,2025-11-14
가축사육업,남포농장,한우,전북특별자치도 부안군 보안면 남포리 311번지 16호  ,90,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 백산면 용계리 789번지  ,50,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 보안면 하입석리 1097번지 1호 외 1필지(1097-1) ,40,2025-11-14
가축사육업,형석농장,한우,전북특별자치도 부안군 보안면 하입석리 406번지  ,80,2025-11-14
가축사육업,연식농장,한우,전북특별자치도 부안군 보안면 유천리 222번지 63호  ,12,2025-11-14
가축사육업,한우농장,한우,전북특별자치도 부안군 하서면 백련리 370번지  ,20,2025-11-14
가축사육업,효순농장,한우,전북특별자치도 부안군 보안면 상림리 426번지 1호  ,20,2025-11-14
가축사육업,민수농장,한우,전북특별자치도 부안군 보안면 부곡리 107번지 26호  ,25,2025-11-14
가축사육업,벧엘농장,한우,전북특별자치도 부안군 동진면 본덕리 312번지 1호  ,80,2025-11-14
가축사육업,푸루메농장,한우,전북특별자치도 부안군 보안면 남포리 740번지 6호  ,50,2025-11-14
가축사육업,가나안목장,젖소,전북특별자치도 부안군 주산면 백석리 산 18번지 85호  ,101,2025-11-14
가축사육업,주영농장,한우,전북특별자치도 부안군 행안면 대초리 628번지 13호 외 1필지 ,10,2025-11-14
가축사육업,용균목장,한우,"전북특별자치도 부안군 보안면 월천리 38번지 2호 외 2필지(37-5, 37-9) ",2,2025-11-14
가축사육업,창영농장,한우,"전북특별자치도 부안군 보안면 남포리 441번지 외 3필지(441-1,441-3,441-4) ",175,2025-11-14
가축사육업,동국목장,한우,전북특별자치도 부안군 보안면 월천리 371번지 4호 외 2필지 ,70,2025-11-14
가축사육업,동문농장,한우,"전북특별자치도 부안군 주산면 백석리 407번지 11호 외 2필지(산18-79, 산18-94) ",91,2025-11-14
가축사육업,소산목장,젖소,"전북특별자치도 부안군 주산면 소산리 454번지 3호 외4필지(522-1,522-2,522-3,산19-1) ",103,2025-11-14
가축사육업,서당골농장,한우,전북특별자치도 부안군 진서면 진서리 667번지 5호  ,12,2025-11-14
가축사육업,골든팜변산,돼지,"전북특별자치도 부안군 변산면 운산리 152번지 외 2필지(153-1, 153-2) ",980,2025-11-14
가축사육업,정란축산,돼지,"전북특별자치도 부안군 행안면 진동리 662번지 외4필지(660,661,432-9,658-1) ",1200,2025-11-14
가축사육업,일등농장,돼지,전북특별자치도 부안군 동진면 장등리 695번지  ,1400,2025-11-14
가축사육업,동진농장,돼지,전북특별자치도 부안군 동진면 증산리 52번지 1호  ,1000,2025-11-14
가축사육업,선진농장,돼지,전북특별자치도 부안군 계화면 궁안리 1142번지  ,1700,2025-11-14
가축사육업,산들농장,돼지,전북특별자치도 부안군 계화면 궁안리 1141번지  ,1700,2025-11-14
가축사육업,계상농장,오리,전북특별자치도 부안군 행안면 대초리 875번지 1호  ,14000,2025-11-14
가축사육업,민재농장,오리,"전북특별자치도 부안군 계화면 양산리 2452번지 7호 외3필지(2452-8,9, 2453-9) ",45000,2025-11-14
가축사육업,신정농장,오리,전북특별자치도 부안군 주산면 사산리 1204번지 3호 외 1필지(1204-4) ,14819,2025-11-14
가축사육업,혜성농장,한우,"전북특별자치도 부안군 부안읍 신흥리 산 134번지 23호 외4필지(352-3,532-4,532-8,532-13) ",147,2025-11-14
가축사육업,김OO농장,한우,전북특별자치도 부안군 백산면 오곡리 53번지  ,40,2025-11-14
가축사육업,최OO농장,한우,전북특별자치도 부안군 백산면 대수리 565번지  ,27,2025-11-14
가축사육업,성산농장,육우,전북특별자치도 부안군 백산면 덕신리 822번지  ,60,2025-11-14
가축사육업,백산농장,한우,전북특별자치도 부안군 백산면 하청리 350번지 2호  ,15,2025-11-14
