사업장명칭,주사육업종,사업장소재지(지번),사업장소재지(도로명),사육신고두수
승우농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,225
행복한 한우농장,한우,전북특별자치도 완주군 구이면 광곡리,전북특별자치도 완주군 구이면 불재로,52
행복농장,종계/산란계,전북특별자치도 완주군 경천면 가천리,전북특별자치도 완주군 경천면 경가천길,3300
사랑과 기쁨,한우,전북특별자치도 완주군 고산면 서봉리,전북특별자치도 완주군 고산면 서봉소농길,27
구이농장,육계,전북특별자치도 완주군 구이면 백여리,전북특별자치도 완주군 구이면 구이로,5000
성정애농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 원산길,40
강금자농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 원산길,45
남관동물농장,한우,전북특별자치도 완주군 상관면 용암리,전북특별자치도 완주군 상관면 마자길,10
혜성농장,돼지,전북특별자치도 완주군 소양면 신촌리,전북특별자치도 완주군 소양면 곰티로,1700
박종석농장,한우,전북특별자치도 완주군 화산면 화평리,전북특별자치도 완주군 화산면 화산로,5
이창재농장,한우,전북특별자치도 완주군 화산면 우월리,전북특별자치도 완주군 화산면 화산로,60
보현농장,돼지,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,1500
천우농장,한우,전북특별자치도 완주군 화산면 승치리,,82
김기옥농장,한우,전북특별자치도 완주군 화산면 화평리,전북특별자치도 완주군 화산면 화평1길,85
다라니농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,80
신우골농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 눈기러기로,125
강석승농장,한우,전북특별자치도 완주군 화산면 와룡리,전북특별자치도 완주군 화산면 화산남로,60
김기정농장,한우,전북특별자치도 완주군 화산면 화평리,전북특별자치도 완주군 화산면 화평1길,12
다두농장,한우,전북특별자치도 완주군 화산면 화평리,전북특별자치도 완주군 화산면 신구로,120
곽영민농장,한우,전북특별자치도 완주군 화산면 종리,전북특별자치도 완주군 화산면 운제로,30
박태수농장,한우,전북특별자치도 완주군 화산면 우월리,전북특별자치도 완주군 화산면 화산로,7
김태종농장,돼지,전북특별자치도 완주군 봉동읍 구암리,전북특별자치도 완주군 봉동읍 우주로,1100
청정농장,한우,전북특별자치도 완주군 비봉면 봉산리,전북특별자치도 완주군 비봉면 천호로,330
