순번,사업장명칭,주사육업종,사육두수,사업장소재지(지번)
1,억대농장,한우,133,전북특별자치도 임실군 오수면 용두리 982번지  
2,광민농장,한우,4,전북특별자치도 임실군 오수면 오암리 300번지 1호  
3,매일농장,한우,80,전북특별자치도 임실군 오수면 대명리 747번지  
4,선우농장,한우,72,전북특별자치도 임실군 오수면 오수리 1486번지  
5,종수농장,한우,30,전북특별자치도 임실군 오수면 오수리 680번지 20호  
6,영축산,한우,30,전북특별자치도 임실군 오수면 오수리 211번지  
7,관월농장,한우,25,전북특별자치도 임실군 오수면 오수리 184번지  
8,한우리,한우,60,전북특별자치도 임실군 오수면 금암리 627번지 2호  
9,영광농장,돼지,1500,전북특별자치도 임실군 성수면 삼봉리 7번지  
10,관홍목장,젖소,43,전북특별자치도 임실군 오수면 군평리 575번지  
11,선진농장,한우,90,전북특별자치도 임실군 삼계면 세심리 121번지  
12,가나안 농장,한우,90,전북특별자치도 임실군 삼계면 삼계리 791번지 1호  
13,임실축협생축사업장,한우,368,전북특별자치도 임실군 삼계면 세심리 산 124번지  
14,병준농장,한우,25,전북특별자치도 임실군 임실읍 대곡리 1번지 2호  
15,봉환농장,젖소,20,전북특별자치도 임실군 임실읍 대곡리 61번지  
16,조정운 목장,젖소,26,전북특별자치도 임실군 임실읍 대곡리 65번지  
17,봉화농장,한우,0,전북특별자치도 임실군 임실읍 대곡리 201번지  
18,재환농장,한우,4,전북특별자치도 임실군 관촌면 덕천리 216번지 46호  
19,감성농장,한우,12,전북특별자치도 임실군 임실읍 감성리 330번지 1호  
20,창옥농장,염소,150,전북특별자치도 임실군 성수면 오봉리 산 73번지 1호  
21,신돌농장,돼지,1700,전북특별자치도 임실군 임실읍 금성리 580번지  
22,성애농장,한우,43,전북특별자치도 임실군 임실읍 금성리 916번지  
23,화성농장,젖소,20,전북특별자치도 임실군 임실읍 금성리 752번지  
24,기옥농장,돼지,300,전북특별자치도 임실군 임실읍 금성리 699번지  
25,양지목장,한우,45,전북특별자치도 임실군 임실읍 금성리 938번지 10호  
26,명건농장,젖소,19,전북특별자치도 임실군 임실읍 두곡리 산 118번지  
27,경원농장,한우,14,전북특별자치도 임실군 임실읍 신정리 265번지  
28,으뜸농장,돼지,2000,전북특별자치도 임실군 임실읍 이인리 373번지  
29,만수농장,돼지,821,전북특별자치도 임실군 임실읍 두곡리 431번지  
30,행여나목장,젖소,40,전북특별자치도 임실군 덕치면 사곡리 529번지  
31,사곡목장,한우,50,전북특별자치도 임실군 덕치면 사곡리 118번지  
32,부유목장,젖소,60,전북특별자치도 임실군 청웅면 남산리 1193번지  
33,신안농장,한우,6,전북특별자치도 임실군 임실읍 신안리 86번지 2호  
34,갈마농장,한우,15,전북특별자치도 임실군 임실읍 갈마리 143번지  
35,도인목장,젖소,96,전북특별자치도 임실군 성수면 도인리 720번지  
36,이플목장,젖소,66,전북특별자치도 임실군 임실읍 금성리 929번지  
37,화성농장,돼지,1100,전북특별자치도 임실군 임실읍 금성리 927번지  
38,범당골농장,돼지,1200,전북특별자치도 임실군 임실읍 두곡리 93번지  
39,신촌농장,한우,6,전북특별자치도 임실군 성수면 월평리 596번지 3호  
40,정희농장,젖소,40,전북특별자치도 임실군 성수면 봉강리 1032번지 1호  
41,제일농장,한우,3,전북특별자치도 임실군 임실읍 감성리 440번지  
42,산임농장,한우,70,전북특별자치도 임실군 임실읍 감성리 321번지 5호 외2필지 
43,인형목장,젖소,60,전북특별자치도 임실군 성수면 오봉리 577번지  
44,인형목장,한우,12,전북특별자치도 임실군 성수면 양지리 814번지  
45,세심농장,한우,75,전북특별자치도 임실군 삼계면 세심리 985번지 1호  
46,섬진농장,육계,30000,전북특별자치도 임실군 덕치면 회문리 413번지  
47,대명농장,한우,25,전북특별자치도 임실군 강진면 학석리 391번지  
48,명일농장,한우,47,전북특별자치도 임실군 강진면 학석리 170번지  
49,가족농장,한우,15,전북특별자치도 임실군 덕치면 일중리 36번지  
50,안하농장,한우,30,전북특별자치도 임실군 덕치면 사곡리 427번지 (433-2) 
51,신기농장,한우,15,전북특별자치도 임실군 덕치면 두지리 587번지  
52,밀알농장,한우,4,전북특별자치도 임실군 성수면 월평리 516번지 1호  
53,인덕목장,젖소,31,전북특별자치도 임실군 성수면 오봉리 790번지  
54,행운농장,돼지,1000,전북특별자치도 임실군 삼계면 봉현리 56번지  
55,인호목장,젖소,100,전북특별자치도 임실군 성수면 도인리 589번지  
56,봉천농장,돼지,600,전북특별자치도 임실군 오수면 봉천리 86번지  
57,미래농장,한우,18,전북특별자치도 임실군 청웅면 향교리 62번지  
58,버드나무농장,젖소,60,전북특별자치도 임실군 임실읍 감성리 234번지  
59,화이트 크라운,젖소,93,전북특별자치도 임실군 덕치면 사곡리 436번지 8호 436-10 
60,샘목장,젖소,24,전북특별자치도 임실군 임실읍 감성리 283번지 18호  
61,소나무목장,한우,14,전북특별자치도 임실군 임실읍 감성리 94번지  
62,상기목장,젖소,19,전북특별자치도 임실군 임실읍 감성리 87번지  
63,유순목장,한우,15,전북특별자치도 임실군 임실읍 감성리 379번지  
64,감성목장,한우,12,전북특별자치도 임실군 임실읍 감성리 20번지 1호  
65,현준목장,젖소,95,전북특별자치도 임실군 임실읍 감성리 377번지  
66,이일농장,돼지,980,전북특별자치도 임실군 청웅면 두복리 353번지  
67,용식목장,한우,7,전북특별자치도 임실군 삼계면 덕계리 산 56번지  
68,양촌농장,한우,17,전북특별자치도 임실군 삼계면 덕계리 382번지  
69,병이농장,한우,50,전북특별자치도 임실군 삼계면 봉현리 784번지 2호  
70,동산농장,한우,20,전북특별자치도 임실군 삼계면 덕계리 139번지  
71,화촌농장,한우,10,전북특별자치도 임실군 삼계면 덕계리 214번지 4호  
72,진팔농장,한우,22,전북특별자치도 임실군 신평면 덕암리 579번지 1호  
73,화촌농장,한우,25,전북특별자치도 임실군 삼계면 오지리 583번지 6호  
74,바우농장,한우,18,전북특별자치도 임실군 삼계면 오지리 617번지  
75,태환농장,한우,20,전북특별자치도 임실군 삼계면 홍곡리 368번지 1호  
76,진배농장,한우,106,전북특별자치도 임실군 삼계면 홍곡리 393번지  
77,새한개량한우목장,한우,36,전북특별자치도 임실군 오수면 용정리 269번지  
78,영임농장,한우,78,전북특별자치도 임실군 신평면 덕암리 279번지  
79,해오름농장,한우,54,전북특별자치도 임실군 신평면 용암리 461번지  
80,북창농장,한우,7,전북특별자치도 임실군 신평면 용암리 71-1 
81,영진농장,돼지,200,전북특별자치도 임실군 신평면 원천리 699번지  
82,산골농장,한우,38,전북특별자치도 임실군 성수면 도인리 578번지  
