시도,시군구,업체명,주사육업종,소재지,데이터기준일자
전북특별자치도,장수군,곡리축산,한우,전북특별자치도 장수군 계남면,2026-05-28
전북특별자치도,장수군,똘이농장,한우,전북특별자치도 장수군 산서면,2026-05-28
전북특별자치도,장수군,덕수농장,젖소,전북특별자치도 장수군 계북면,2026-05-28
전북특별자치도,장수군,에브라임한우농장,한우,전북특별자치도 장수군 계남면,2026-05-28
전북특별자치도,장수군,수관농장,한우,전북특별자치도 장수군 장수읍,2026-05-28
전북특별자치도,장수군,민화농장,한우,전북특별자치도 장수군 번암면,2026-05-28
전북특별자치도,장수군,장수하늘소목장,한우,전북특별자치도 장수군 번암면,2026-05-28
전북특별자치도,장수군,덕유농장,한우,전북특별자치도 장수군 계북면,2026-05-28
전북특별자치도,장수군,성일농장,한우,전북특별자치도 장수군 계남면,2026-05-28
전북특별자치도,장수군,곡리농장,한우,전북특별자치도 장수군 계남면,2026-05-28
전북특별자치도,장수군,덕유목장,한우,전북특별자치도 장수군 번암면,2026-05-28
전북특별자치도,장수군,참사랑농장,한우,전북특별자치도 장수군 번암면,2026-05-28
전북특별자치도,장수군,비룡농장,한우,전북특별자치도 장수군 천천면,2026-05-28
전북특별자치도,장수군,덕산농장,한우,전북특별자치도 장수군 장계면,2026-05-28
전북특별자치도,장수군,정문농장,한우,전북특별자치도 장수군 계북면,2026-05-28
전북특별자치도,장수군,죽림농장,한우,전북특별자치도 장수군 번암면,2026-05-28
전북특별자치도,장수군,두산농장,한우,전북특별자치도 장수군 장수읍,2026-05-28
전북특별자치도,장수군,주암농장,한우,전북특별자치도 장수군 번암면,2026-05-28
전북특별자치도,장수군,샤론농장,한우,전북특별자치도 장수군 계남면,2026-05-28
전북특별자치도,장수군,순복농장,한우,전북특별자치도 장수군 번암면,2026-05-28
전북특별자치도,장수군,무진장축협 장수한우목장,한우,전북특별자치도 장수군 장수읍,2026-05-28
전북특별자치도,장수군,농업회사법인 유한회사 하월국제농장,육계,전북특별자치도 장수군 산서면,2026-05-28
