순번,시군구명,업체명,사업장명,소재지,신고일자,영업상태,주사육업종,등록_허가여부,위도,경도,시설면적(제곱미터),데이터기준일자
1,전주시,병**장,병**농장,전북특별자치도 전주시 덕진구 삼례로 65 (반월동),2004-12-06,정상,한우,허가대상,35.88330607,127.0762452,702,2026-07-10
2,전주시,현**장,현**농장,전북특별자치도 전주시 덕진구 삼거3길 70-10 (금상동),2004-12-06,정상,육계,허가대상,35.85346673,127.1820115,1810,2026-07-10
3,전주시,동**장,동**농장,전북특별자치도 전주시 덕진구 당마길 4-12 (남정동),2004-12-06,정상,돼지,허가대상,35.86541016,127.0158121,4894.36,2026-07-10
4,전주시,예**장,예**농장,전북특별자치도 전주시 덕진구 남정동 338번지 9호  ,2005-09-29,정상,육계,허가대상,35.86214736,127.0149988,2971.44,2026-07-10
5,전주시,에**농장,에**농장,전북특별자치도 전주시 덕진구 남정동 500번지 1호  ,2005-09-30,정상,한우,허가대상,35.86884625,127.007891,1054.84,2026-07-10
6,전주시,진**장,진**농장,전북특별자치도 전주시 완산구 삼천동3가 747번지 4호  ,2006-02-01,정상,육계,허가대상,35.79943121,127.0766206,3540,2026-07-10
7,전주시,대**장,대**농장,전북특별자치도 전주시 덕진구 원동 508번지 5호  ,2008-12-26,정상,한우,허가대상,35.8683846,127.0286292,309,2026-07-10
8,전주시,화**장,화**농장,전북특별자치도 전주시 덕진구 만경강남로 61-19 (화전동),2009-02-11,정상,한우,등록대상 ,35.89307585,127.0697805,132,2026-07-10
9,전주시,삼**장,삼**농장,전북특별자치도 전주시 덕진구 고랑동 498번지 2호  ,2009-03-18,정상,한우,허가대상,35.88969879,127.0855224,1939,2026-07-10
10,전주시,범**장,범**농장,전북특별자치도 전주시 덕진구 삼례로 136-73 (고랑동),2009-03-18,정상,한우,허가대상,35.89043846,127.0846148,2862,2026-07-10
11,전주시,삼**장,삼**목장,전북특별자치도 전주시 덕진구 한내로 305 (고랑동),2010-05-12,정상,한우,허가대상,35.89058395,127.0834049,4661,2026-07-10
12,전주시,도**장,도**농장,전북특별자치도 전주시 덕진구 도강길 178 (강흥동),2012-04-18,정상,한우,허가대상,35.89175183,127.0173561,660,2026-07-10
13,전주시,북**농장,북**농장,전북특별자치도 전주시 덕진구 삼례로 65 (반월동),2012-08-13,정상,한우,허가대상,35.88330607,127.0762452,405,2026-07-10
14,전주시,곡**장,곡**농장,전북특별자치도 전주시 덕진구 곡천길 26 (화전동),2013-12-17,정상,한우,등록대상 ,35.88742934,127.0341544,0,2026-07-10
15,전주시,전**농장,전**농장,전북특별자치도 전주시 덕진구 백제대로 567 (금암동),2014-03-05,정상,한우,허가대상,35.84113827,127.131589,317.5,2026-07-10
16,전주시,전**농장,전**농장,전북특별자치도 전주시 덕진구 백제대로 567 (금암동),2014-03-12,정상,돼지,등록대상 ,35.84113827,127.131589,305.2,2026-07-10
17,전주시,전**농장,전**농장,전북특별자치도 전주시 덕진구 백제대로 567 (금암동),2014-03-12,정상,육계,등록대상 ,35.84113827,127.131589,909.18,2026-07-10
18,전주시,용**장,용**농장,전북특별자치도 전주시 덕진구 용정길 105 (여의동),2015-09-08,정상,한우,등록대상 ,35.847795,127.0726836,40.25,2026-07-10
19,전주시,옛**농장,옛**농장,전북특별자치도 전주시 덕진구 장동 929번지 19호  ,2015-09-23,정상,육계,등록대상 ,35.86295216,127.0553851,36,2026-07-10
20,전주시,한**,한**,전북특별자치도 전주시 덕진구 전미중앙로 163-61 (전미동2가),2017-06-26,정상,한우,허가대상,35.888395,127.1101315,1300,2026-07-10
21,전주시,덕**원,덕***원,전북특별자치도 전주시 완산구 용복동 501번지 1호  ,2018-06-26,정상,육계,등록대상 ,35.76428447,127.0692904,29.48,2026-07-10
22,전주시,만**장,만**농장,전북특별자치도 전주시 덕진구 장동 688번지 1호,2018-10-10,정상,산양,등록대상 ,35.86686495,127.0563654,409.5,2026-07-10
23,전주시,철**산,철**산,전북특별자치도 전주시 덕진구 신성길 90-64 (용정동),2019-04-12,정상,한우,허가대상,35.88381409,127.0437972,1556.45,2026-07-10
24,전주시,장**장,장**장,전북특별자치도 전주시 덕진구 정암길 132 (장동),2020-07-27,정상,한우,허가대상,35.86269221,127.0503325,230.36,2026-07-10
25,전주시,무** 목장,무**장,전북특별자치도 전주시 덕진구 영동길 124 (장동),2022-01-21,정상,사슴,등록대상 ,35.85595237,127.0521831,774.08,2026-07-10
