순번,시군구명,업체명,소재지,신고일자,영업상태,주사육업종,등록허가여부,시설면적(제곱미터),데이터기준일자
1,진안군,우식농장,전북특별자치도 진안군 동향면 능금리 2431번지  ,2004-10-14,정상,한우,허가,1405,2026-01-07
2,진안군,진현농장,"전북특별자치도 진안군 성수면 좌포리 419번지 외 5필지(413-2,420,426,428,431-2) ",2004-12-03,정상,육계,허가,5413,2026-01-07
3,진안군,가림농장,전북특별자치도 진안군 진안읍 가림리 894번지 1호  ,2004-12-31,정상,돼지,허가,789.6,2026-01-07
4,진안군,슬기농장,전북특별자치도 진안군 진안읍 연장리 840번지 1호  ,2004-12-31,정상,한우,허가,976,2026-01-07
5,진안군,평지농장,전북특별자치도 진안군 마령면 평지리 377번지  ,2004-12-31,정상,돼지,허가,1033.35,2026-01-07
6,진안군,경오농장,전북특별자치도 진안군 진안읍 가림리 555번지  ,2005-02-24,정상,한우,허가,944.1,2026-01-07
7,진안군,세희농장,전북특별자치도 진안군 진안읍 구룡리 1026번지 9호  ,2005-02-24,정상,돼지,등록,1183.1,2026-01-07
8,진안군,명수농장,전북특별자치도 진안군 안천면 백화리 1247번지 1호  ,2005-02-24,정상,한우,허가,640.5,2026-01-07
9,진안군,현대축산,"전북특별자치도 진안군 진안읍 구룡리 453번지 5호 외 2필지(453-22,453-23) ",2005-02-24,정상,돼지,허가,1492.4,2026-01-07
10,진안군,금곡농장,전북특별자치도 진안군 동향면 능금리 2023번지  ,2005-02-24,정상,한우,허가,624.3,2026-01-07
11,진안군,양지농장,전북특별자치도 진안군 동향면 능금리 2112번지 1호  ,2005-02-24,정상,돼지,허가,1442,2026-01-07
12,진안군,수정농장,전북특별자치도 진안군 동향면 능금리 2007번지  ,2005-02-24,정상,한우,허가,926.97,2026-01-07
13,진안군,대진축산,전북특별자치도 진안군 부귀면 두남리 797번지  ,2005-03-08,정상,한우,허가,350,2026-01-07
14,진안군,텃골2 농장,"전북특별자치도 진안군 마령면 덕천리 445번지 8호 ,445-19 ",2005-03-08,정상,돼지,허가,3464.6,2026-01-07
15,진안군,시우농장,전북특별자치도 진안군 마령면 덕천리 445번지 18호  ,2005-03-08,정상,돼지,허가,1678.2,2026-01-07
16,진안군,강정한우마을,전북특별자치도 진안군 마령면 평지리 1043번지 2호 외 1046 ,2005-03-08,정상,한우,허가,959,2026-01-07
17,진안군,진원농장,전북특별자치도 진안군 성수면 외궁리 624번지  ,2005-03-08,정상,육계,허가,1840,2026-01-07
18,진안군,송정농장,전북특별자치도 진안군 동향면 능금리 1139번지  ,2005-03-08,정상,한우,등록,846.03,2026-01-07
19,진안군,대양축산,전북특별자치도 진안군 안천면 노성리 1562번지 1호  ,2005-04-25,정상,육계,허가,2270.4,2026-01-07
20,진안군,성옥농장,전북특별자치도 진안군 부귀면 오룡리 11번지 3호  ,2005-04-25,정상,한우,허가,1197,2026-01-07
21,진안군,하향농장,전북특별자치도 진안군 동향면 성산리 979번지 2호  ,2005-04-25,정상,육계,허가,2188,2026-01-07
22,진안군,오남농장,전북특별자치도 진안군 부귀면 신정리 285번지  ,2005-04-25,정상,한우,등록,1045,2026-01-07
23,진안군,고원,전북특별자치도 진안군 진안읍 정곡리 8번지  ,2005-04-25,정상,육계,허가,2158,2026-01-07
24,진안군,이화농장,전북특별자치도 진안군 백운면 남계리 174번지  ,2005-05-10,정상,젖소,허가,1622.25,2026-01-07
25,진안군,준호농장,전북특별자치도 진안군 마령면 계서리 832번지 1호  ,2005-05-10,정상,육계,허가,2419,2026-01-07
26,진안군,약수골 농장,전북특별자치도 진안군 부귀면 신정리 399번지  ,2005-05-10,정상,육계,허가,2187,2026-01-07
27,진안군,마이산농장,전북특별자치도 진안군 진안읍 구룡리 556번지  ,2005-07-22,정상,육계,허가,3229,2026-01-07
28,진안군,진영농장,전북특별자치도 진안군 진안읍 물곡리 1438번지 2호  ,2005-07-22,정상,육계,허가,4280,2026-01-07
29,진안군,용석농장,전북특별자치도 진안군 진안읍 연장리 1107번지  ,2005-07-22,정상,한우,등록,518,2026-01-07
30,진안군,송원농장,전북특별자치도 진안군 진안읍 연장리  ,2005-07-22,정상,돼지,허가,3514.22,2026-01-07
31,진안군,한들농장,전북특별자치도 진안군 진안읍 연장리 1114번지 4호  ,2005-07-22,정상,한우,허가,720,2026-01-07
32,진안군,강동환,전북특별자치도 진안군 부귀면 수항리 591번지 2호  ,2005-07-22,정상,육계,허가,4260,2026-01-07
33,진안군,재원농장,전북특별자치도 진안군 백운면 신암리 199번지 4호  ,2005-07-25,정상,한우,등록,700,2026-01-07
34,진안군,대윤 2농장,전북특별자치도 진안군 진안읍 정곡리 127번지  ,2005-09-13,정상,육계,허가,3140,2026-01-07
35,진안군,강호농장,전북특별자치도 진안군 진안읍 군상리 1074번지 1호  ,2005-09-13,정상,육계,허가,1500,2026-01-07
36,진안군,흥철농장,전북특별자치도 진안군 진안읍 가막리 771번지 2호  ,2005-09-13,정상,한우,허가,392,2026-01-07
37,진안군,구실농장,전북특별자치도 진안군 진안읍 연장리 1099번지 1호  ,2005-09-13,정상,한우,허가,764.63,2026-01-07
38,진안군,데미샘 꿈그린 목장,전북특별자치도 진안군 백운면 신암리 128번지  ,2005-09-13,정상,한우,허가,793,2026-01-07
39,진안군,늘푸른농장,전북특별자치도 진안군 안천면 신괴리 1020번지  ,2005-09-16,정상,육계,허가,1723,2026-01-07
40,진안군,신안농장,전북특별자치도 진안군 부귀면 봉암리 158번지 외 1필지 ,2005-09-16,정상,육계,허가,2100,2026-01-07
41,진안군,재영농장,전북특별자치도 진안군 부귀면 황금리 239번지  ,2005-09-20,정상,육계,허가,2755.44,2026-01-07
42,진안군,동화농장,전북특별자치도 진안군 성수면 외궁리 703번지 2호  ,2005-09-30,정상,한우,등록,783.73,2026-01-07
43,진안군,목동 한우농장,"전북특별자치도 진안군 성수면 도통리 344번지 1호 외 2필지(614-4,614-5) ",2005-09-30,정상,한우,허가,968.84,2026-01-07
44,진안군,은경농장,전북특별자치도 진안군 마령면 평지리 49번지 1호  ,2005-09-30,정상,육계,허가,2520.4,2026-01-07
45,진안군,상권농장,전북특별자치도 진안군 부귀면 세동리 1116번지 2호  ,2005-09-30,정상,돼지,등록,165,2026-01-07
46,진안군,주호농장,전북특별자치도 진안군 부귀면 신정리 914번지 2호  ,2005-09-30,정상,육계,등록,2200,2026-01-07
47,진안군,풀우빈농장,전북특별자치도 진안군 진안읍 연장리 94번지  ,2005-10-11,정상,한우,등록,368,2026-01-07
48,진안군,안경학농장,전북특별자치도 진안군 진안읍 정곡리 365번지 18호  ,2005-10-11,정상,한우,허가,546,2026-01-07
49,진안군,능금농장,전북특별자치도 진안군 동향면 능금리 2021번지  ,2005-10-11,정상,한우,허가,1212.43,2026-01-07
50,진안군,금옥농장,전북특별자치도 진안군 동향면 자산리 433번지  ,2005-10-11,정상,한우,허가,630,2026-01-07
51,진안군,마재골농장,전북특별자치도 진안군 성수면 중길리 127번지  ,2005-10-11,정상,육계,허가,1680,2026-01-07
52,진안군,태산농장 1,전북특별자치도 진안군 마령면 덕천리 445번지 7호  ,2005-10-11,정상,돼지,허가,1678.2,2026-01-07
53,진안군,좌산농장,전북특별자치도 진안군 성수면 좌산리 435번지 3호  ,2005-10-11,정상,젖소,허가,1617.59,2026-01-07
54,진안군,한우목장,"전북특별자치도 진안군 동향면 능금리 813번지 1호 외 2필지(813,816-1) ",2005-10-11,정상,한우,허가,1596.28,2026-01-07
55,진안군,샬롬농장,전북특별자치도 진안군 주천면 운봉리 824번지 1호  ,2005-10-11,정상,육계,허가,3105,2026-01-07
56,진안군,지헌농장,전북특별자치도 진안군 부귀면 수항리 78번지 1호  ,2005-10-11,정상,육계,허가,2097,2026-01-07
57,진안군,종민농장,전북특별자치도 진안군 성수면 구신리 553번지  ,2005-10-11,정상,한우,등록,458.61,2026-01-07
58,진안군,하초양계장,전북특별자치도 진안군 정천면 월평리 432번지  ,2005-10-11,정상,육계,등록,1300,2026-01-07
59,진안군,세원목장,전북특별자치도 진안군 진안읍 물곡리 448번지  ,2005-10-20,정상,젖소,허가,2050,2026-01-07
