번호,사업장명,소재지,제조업 구분
1,(주)삼광에프엔씨,전북특별자치도 군산시 서수면 상장곤윗길 30,단미사료
2,주식회사 동우팜투테이블,전북특별자치도 군산시 서수면 동군산로 1095,단미사료
3,대상주식회사바이오공장,전북특별자치도 군산시 외항1길 208 (소룡동),단미사료
4,대상주식회사 전분당공장,전북특별자치도 군산시 외항로 884 (소룡동),단미사료
5,롯데칠성음료(주) 군산공장,전북특별자치도 군산시 외항1길 222 (소룡동),단미사료
6,한국바스프(주),전북특별자치도 군산시 외항4길 57 (소룡동),단미사료
7,대상주식회사바이오공장,전북특별자치도 군산시 외항1길 208 (소룡동),단미사료
8,대상주식회사 전분당공장,전북특별자치도 군산시 외항로 884 (소룡동),단미사료
9,대상 주식회사,전북특별자치도 군산시 외항4길 57 (소룡동),단미사료
10,대상주식회사,전북특별자치도 군산시 외항4길 57 (소룡동),단미사료
11,은하수 펫푸드,전북특별자치도 익산시 금마면 제석사지로 22,단미사료
12,(주) 이노바텍,전북특별자치도 정읍시 북면 3산단2길 75,단미사료
13,주식회사 주호,전북특별자치도 정읍시 고부면 고부농단길 11-14,단미사료
14,태인산업(주),전북특별자치도 정읍시 2산단6길 11 (하북동),단미사료
15,(주)소프트아쿠아,전북특별자치도 정읍시 2산단7길 24 (하북동),단미사료
16,(주)세림현미,전북특별자치도 정읍시 공단1길 24 (영파동),단미사료
17,이일연구소,전북특별자치도 정읍시 백학1길 72 (신정동),단미사료
18,우리유황오리영농조합법인,전북특별자치도 남원시 사매면 대사로 1264,단미사료
19,(유)에스제이엠,전북특별자치도 김제시 서흥공단2길 100 (흥사동),단미사료
20,(유) 금성상공,전북특별자치도 김제시 봉황공단2길 102 (오정동),단미사료
21,(유) 금성상공,전북특별자치도 김제시 봉황공단2길 102 (오정동),단미사료
22,(주)참고을,전북특별자치도 김제시 순동산단1길 28-17 (순동),단미사료
23,대상(주) 순창공장,전북특별자치도 순창군 순창읍 순창로 30,단미사료
24,(주)동산유지,전북특별자치도 고창군 고수면 고수농공단지길 42,단미사료
25,하이트진로(주)전주공장,전북특별자치도 완주군 용진면 신지송광로 25-33,단미사료
26,아이라이크펫,전북특별자치도 완주군 용진면 신지송광로 291-20,단미사료
27,그린나노바이오텍,"전북특별자치도 전주시 덕진구 백제대로 567 (덕진동1가,전북대학교 창업보육2센타)",단미사료
28,(주) 창해에탄올,전북특별자치도 전주시 덕진구 원만성로 15 (팔복동3가),단미사료
29,동진강낙농축산업협동조합,전북특별자치도 김제시 금구면 금백로 47-29,단미사료
30,주식회사 하림,전북특별자치도 익산시 망성로 12,단미사료
31,(주)하림 정읍공장,전북특별자치도 정읍시 북면 3산단2길 95,단미사료
32,(주)참프레,전북특별자치도 부안군 행안면 옥여길 32-29,단미사료
33,개밥별,"전북특별자치도 군산시 황룡로 71-12, 101호 (미룡동)",단미사료
34,주식회사 주호,전북특별자치도 정읍시 고부농단길 11-14,단미사료
35,농업회사법인 (유)제이제이유,전북특별자치도 군산시 옥산면 신기길 28,단미사료
36,주식회사 일우효모,전북특별자치도 익산시 성당면 성당로 413-104,단미사료
37,감동이네 수제간식,"전북특별자치도 군산시 상지곡안4길 49, 1층 (지곡동)",단미사료
38,(주)농업회사법인 청람바이오,전북특별자치도 군산시 서수면 동군산로 899,단미사료
39,주식회사 주호,전북특별자치도 정읍시 고부면 고부농단길 11-9,단미사료
40,달순이네 수제간식 멍여사,"전북특별자치도 전주시 덕진구 우아8길 2, 1층(우아동3가)",단미사료
41,코디얼팜,"전북특별자치도 전주시 덕진구 신복1길 25, B1층 (팔복동2가)",단미사료
42,(유) 금성상공,전북특별자치도 김제시 봉황공단2길 102 (오정동),단미사료
43,주식회사 일우효모,"전북특별자치도 익산시 성당면 성당로 413-104, (주)시케이공업케미칼",단미사료
44,농업회사법인 주식회사 쉘바이오텍,전북특별자치도 김제시 황산로 81 (백학동),단미사료
45,주식회사 씨아이이에프,전북특별자치도 김제시 백산면 지평선산단1길 213-38,단미사료
46,주식회사 칠명바이오,"전북특별자치도 완주군 봉동읍 은하율소로 55, 1호2호5호",단미사료
47,농업회사법인 바이오랩주식회사,전북특별자치도 익산시 함열읍 익산대로78길 127-66,단미사료
48,대손협동조합,"전북특별자치도 전주시 덕진구 백제대로 781, 한일관 3층 (우아동3가)",단미사료
49,청아영농법인,전북특별자치도 정읍시 소성면 입고로 508,단미사료
50,요미야미,"전북특별자치도 전주시 완산구 효동2길 14-12, 101호 (효자동1가)",단미사료
51,제이케이생명과학 주식회사,"전북특별자치도 전주시 덕진구 상리1길 34, 별관2동 (팔복동2가)",단미사료
52,주식회사 엔씨바이오텍,전북특별자치도 군산시 가도로 130-13 (소룡동),단미사료
53,임실군조합공동사업법인,"전북특별자치도 임실군 오수면 용정길 24, 오수농협미곡종합처리장 1동",단미사료
54,부안농협미곡종합처리장,"전북특별자치도 부안군 백산면 부평로 191, 부안농업협동조합 1동",단미사료
55,형제정미소 영농조합법인,"전북특별자치도 익산시 평동로 557, 1동 (평화동)",단미사료
56,미성정미소,"전북특별자치도 군산시 거사길 29, 1동 (개사동)",단미사료
57,케이에스 사료,"전북특별자치도 군산시 외항로 815, 1동 (소룡동)",단미사료
58,황등농협RPC,"전북특별자치도 익산시 황등면 황등서로 146, 황등농협미곡종합처리장 1동",단미사료
59,뚱띠레이,"전북특별자치도 전주시 덕진구 시천로 64, 1동 (송천동1가)",단미사료
60,완주로컬펫푸드,"전북특별자치도 전주시 덕진구 건산로 48, 1동 (진북동)",단미사료
61,댕댕쿠킹,"전북특별자치도 군산시 동령길 16, 1층 2호 (장미동)",단미사료
