기준년,구분,종류,수치,데이터기준일자
2021,소(한우),호수,331,2025-04-01
2021,소(한우),두수,15988,2025-04-01
2021,소(육우),호수,1,2025-04-01
2021,소(육우),두수,64,2025-04-01
2021,소(젖소),호수,3,2025-04-01
2021,소(젖소),두수,323,2025-04-01
2021,돼지,호수,74,2025-04-01
2021,돼지,두수,140927,2025-04-01
2021,재래흙돼지,호수,6,2025-04-01
2021,재래흙돼지,두수,3625,2025-04-01
2021,닭,호수,65,2025-04-01
2021,닭,수수,335777,2025-04-01
2021,재래닭,호수,41,2025-04-01
2021,재래닭,두수,9938,2025-04-01
2021,염소,호수,13,2025-04-01
2021,염소,두수,2301,2025-04-01
2021,면양,호수,1,2025-04-01
2021,면양,두수,3,2025-04-01
2021,사슴,호수,5,2025-04-01
2021,사슴,두수,170,2025-04-01
2021,토끼,호수,4,2025-04-01
2021,토끼,두수,74,2025-04-01
2021,개,호수,18,2025-04-01
2021,개,두수,6920,2025-04-01
2021,오리,호수,8,2025-04-01
2021,오리,수수,542,2025-04-01
2021,칠면조,호수,2,2025-04-01
2021,칠면조,수수,5,2025-04-01
2021,거위,호수,4,2025-04-01
2021,거위,수수,171,2025-04-01
2021,꿀벌,호수,259,2025-04-01
2021,꿀벌,군수,43307,2025-04-01
2021,관상조,호수,2,2025-04-01
2021,관상조,수수,80,2025-04-01
2021,타  조,호수,1,2025-04-01
2021,타  조,수수,3,2025-04-01
2021,오소리,호수,2,2025-04-01
2021,오소리,수수,44,2025-04-01
2021,꿩,호수,3,2025-04-01
2021,꿩,수수,2360,2025-04-01
2021,기러기,호수,2,2025-04-01
2021,기러기,수수,3,2025-04-01
2022,소(한우),호수,288,2025-04-01
2022,소(한우),두수,16283,2025-04-01
2022,소(육우),호수,0,2025-04-01
2022,소(육우),두수,48,2025-04-01
2022,소(젖소),호수,3,2025-04-01
2022,소(젖소),두수,342,2025-04-01
2022,돼지,호수,74,2025-04-01
2022,돼지,두수,147157,2025-04-01
2022,재래흙돼지,호수,8,2025-04-01
2022,재래흙돼지,두수,3119,2025-04-01
2022,닭,호수,24,2025-04-01
2022,닭,수수,344581,2025-04-01
2022,재래닭,호수,4,2025-04-01
2022,재래닭,두수,10492,2025-04-01
2022,염소,호수,12,2025-04-01
2022,염소,두수,1828,2025-04-01
2022,면양,호수,1,2025-04-01
2022,면양,두수,3,2025-04-01
2022,사슴,호수,5,2025-04-01
2022,사슴,두수,166,2025-04-01
2022,토끼,호수,3,2025-04-01
2022,토끼,두수,51,2025-04-01
2022,개,호수,13,2025-04-01
2022,개,두수,5715,2025-04-01
2022,오리,호수,2,2025-04-01
2022,오리,수수,157,2025-04-01
2022,칠면조,호수,2,2025-04-01
2022,칠면조,수수,14,2025-04-01
2022,거위,호수,4,2025-04-01
