사업장명칭,사업장 소재지,사육시설(동),사육시설 규모(제곱미터),사육규모(마리)
제일농장,제주특별자치도 제주시 해안동,14,2497.8,1750
태흥축산,제주특별자치도 제주시 해안동,8,1895.6,1390
제주동부축산 영농조합법인,제주특별자치도 제주시 구좌읍 세화리,29,24481.31,21319
태연농장,제주특별자치도 제주시 구좌읍 한동리,8,2652.24,2457
진성축산,제주특별자치도 제주시 한림읍 금악리,7,3216.83,2800
향나무농장,제주특별자치도 제주시 해안동 ,9,2274,1986
국립축산과학원 축산자원개발부 난지축산연구센터,제주특별자치도 제주시 오등동 산 ,3,4354.68,754
우경농장,제주특별자치도 제주시 한림읍 금능리,6,1695.64,1780
서정농장,제주특별자치도 제주시 한림읍 금악리,14,4356.5,4000
우리돈,제주특별자치도 제주시 한림읍 금악리,7,2624.66,2648
동화축산,제주특별자치도 제주시 한림읍 금악리,10,2583.39,2559
여흥농장,제주특별자치도 제주시 한림읍 금악리,10,3307.84,2694
호농장,제주특별자치도 제주시 한림읍 금악리,11,2840.44,2820
한다농원,제주특별자치도 제주시 한림읍 금악리,8,2411.47,1702
"봄,가을농장",제주특별자치도 제주시 한림읍 금악리,5,970.74,0
현수농장,제주특별자치도 제주시 한림읍 금악리,4,2132.8,2072
조은농장,제주특별자치도 제주시 한림읍 금악리,10,3024.64,2700
배낭골농장,제주특별자치도 제주시 한경면 조수리,6,1990.21,970
영농조합법인 유경,제주특별자치도 제주시 한림읍 금악리,6,2347.12,2150
은성농장,제주특별자치도 제주시 한림읍 상명리,8,3209.4,2500
영농조합법인 신명,제주특별자치도 제주시 한림읍 금악리,6,3566.88,3573
신제주농장,제주특별자치도 제주시 한림읍 금악리,11,3219.1,330
푸른농장,제주특별자치도 제주시 한림읍 명월리,3,2304.08,2100
정일농장,제주특별자치도 제주시 한경면 판포리,3,1167,975
경배농장,제주특별자치도 제주시 한경면 조수리,7,1155.62,450
은진농장,제주특별자치도 제주시 한경면 조수리,5,1350.9,1007
나리농장,제주특별자치도 제주시 한경면 조수리,4,976.04,785
진욱농장,제주특별자치도 제주시 한경면 용수리,9,3078.42,2440
영농조합법인 광평 조수농장,제주특별자치도 제주시 한경면 조수리,5,1108.98,1084
현준농장,제주특별자치도 제주시 한경면 청수리,7,1279.4,889
동원농장,제주특별자치도 제주시 한경면 저지리,5,1034.59,980
요한농장,제주특별자치도 제주시 한경면 조수리,6,2058.1,1800
고산농장,제주특별자치도 제주시 한경면 고산리,3,1254,1339
기성농장,제주특별자치도 제주시 한경면 저지리,9,1960.3,1080
없음,제주특별자치도 제주시 한경면 저지리,4,1294.4,980
태화농장,제주특별자치도 제주시 한경면 저지리,7,1131.23,750
없음,제주특별자치도 제주시 한경면 저지리,6,1079.11,700
늘조은농장,제주특별자치도 제주시 한림읍 금능리,8,2421.6,2150
명자농장,제주특별자치도 제주시 한경면 용수리,4,873.81,570
한솔축산,제주특별자치도 제주시 한림읍 상대리,11,4249.93,2928
바다농장,제주특별자치도 제주시 한림읍 명월리,3,4616.44,3414
평화농장,제주특별자치도 제주시 한림읍 금악리,9,2093.8,1895
농업회사법인 (주)피그랜드(제주 성진천지점),제주특별자치도 제주시 한림읍 상명리,6,2140.26,774
늘푸른농원,제주특별자치도 제주시 한경면 두모리,2,340,49
상용농장,제주특별자치도 제주시 한림읍 금악리,13,4145.82,1686
일조농장,제주특별자치도 제주시 한림읍 명월리,5,1360.82,1600
대림축산,제주특별자치도 제주시 한림읍 금악리,6,1889.49,1730
청림,제주특별자치도 제주시 한림읍 금악리,8,1781.17,1598
성진농장,제주특별자치도 제주시 한림읍 금능리,6,1982.9,2100
스마일팜,제주특별자치도 제주시 한림읍 상대리,8,2640.78,2400
제주우성축산,제주특별자치도 제주시 한림읍 금악리,7,2180.75,2418
데베스양돈농장,제주특별자치도 제주시 한림읍 금악리,7,2368.5,2000
14호농장,제주특별자치도 제주시 한림읍 금악리,6,1597.91,986
월금농장,제주특별자치도 제주시 한림읍 상명리,13,3199.51,2600
유성농장,제주특별자치도 제주시 한림읍 상명리,6,1826.4,1397
농업회사법인 피그팜 주식회사,제주특별자치도 제주시 한림읍 명월리,10,1867.92,2282
삼영농장,제주특별자치도 제주시 한림읍 명월리,7,1160.98,678
송천농원,제주특별자치도 제주시 한림읍 명월리,9,2503.68,1973
봉진농장,제주특별자치도 제주시 한림읍 상대리,6,2087.18,1401
수농장,제주특별자치도 제주시 한림읍 금악리,5,1541.64,1485
운성농장,제주특별자치도 제주시 한림읍 금악리,6,1781.3,1890
승신농장,제주특별자치도 제주시 한림읍 명월리,8,1674.43,1650
