시도명,시군구명,읍면동명,읍면동코드,분류,주사육업종,농가수,사육두수,데이터기준일자
제주특별자치도,제주시,구좌읍,50110256,돼지,돼지,11,36029,2021-12-21
제주특별자치도,제주시,노형동,50110122,돼지,돼지,1,300,2021-12-21
제주특별자치도,제주시,애월읍,50110253,돼지,돼지,16,40358,2021-12-21
제주특별자치도,제주시,오등동,50110134,돼지,돼지,1,540,2021-12-21
제주특별자치도,제주시,조천읍,50110259,돼지,돼지,6,13201,2021-12-21
제주특별자치도,제주시,한경면,50110310,돼지,돼지,21,20987,2021-12-21
제주특별자치도,제주시,한림읍,50110250,돼지,돼지,127,241941,2021-12-21
제주특별자치도,제주시,해안동,50110139,돼지,돼지,3,4914,2021-12-21
제주특별자치도,서귀포시,남원읍,50130253,돼지,돼지,10,15568,2021-12-21
제주특별자치도,서귀포시,대정읍,50130250,돼지,돼지,34,59925,2021-12-21
제주특별자치도,서귀포시,대포동,50130114,돼지,돼지,4,12311,2021-12-21
제주특별자치도,서귀포시,상예동,50130120,돼지,돼지,2,2966,2021-12-21
제주특별자치도,서귀포시,색달동,50130119,돼지,돼지,2,1205,2021-12-21
제주특별자치도,서귀포시,서홍동,50130106,돼지,돼지,2,523,2021-12-21
제주특별자치도,서귀포시,성산읍,50130259,돼지,돼지,4,8793,2021-12-21
제주특별자치도,서귀포시,안덕면,50130310,돼지,돼지,3,4547,2021-12-21
제주특별자치도,서귀포시,토평동,50130111,돼지,돼지,1,211,2021-12-21
제주특별자치도,서귀포시,표선면,50130320,돼지,돼지,8,24404,2021-12-21
제주특별자치도,서귀포시,하원동,50130118,돼지,돼지,1,443,2021-12-21
제주특별자치도,서귀포시,회수동,50130113,돼지,돼지,4,3907,2021-12-21
