시군구명,읍면동명,리명,국적,외국인수,데이터기준일자
제주시,구좌읍,김녕리,네팔,1,2021-12-21
제주시,구좌읍,김녕리,캄보디아,1,2021-12-21
제주시,구좌읍,덕천리,네팔,1,2021-12-21
제주시,구좌읍,덕천리,미얀마,1,2021-12-21
제주시,구좌읍,동복리,캄보디아,1,2021-12-21
제주시,구좌읍,상도리,네팔,4,2021-12-21
제주시,구좌읍,상도리,캄보디아,2,2021-12-21
제주시,구좌읍,세화리,네팔,8,2021-12-21
제주시,구좌읍,세화리,베트남,11,2021-12-21
제주시,구좌읍,세화리,캄보디아,8,2021-12-21
제주시,구좌읍,송당리,네팔,5,2021-12-21
제주시,구좌읍,송당리,베트남,1,2021-12-21
제주시,구좌읍,송당리,태국,1,2021-12-21
제주시,구좌읍,한동리,네팔,8,2021-12-21
제주시,구좌읍,한동리,미얀마,2,2021-12-21
제주시,구좌읍,한동리,캄보디아,2,2021-12-21
제주시,구좌읍,한동리,태국,3,2021-12-21
제주시,애월읍,고성리,네팔,6,2021-12-21
제주시,애월읍,고성리,베트남,2,2021-12-21
제주시,애월읍,광령리,네팔,12,2021-12-21
제주시,애월읍,광령리,베트남,2,2021-12-21
제주시,애월읍,광령리,중국,2,2021-12-21
제주시,애월읍,광령리,캄보디아,6,2021-12-21
제주시,애월읍,광령리,태국,2,2021-12-21
제주시,애월읍,납읍리,네팔,1,2021-12-21
제주시,애월읍,봉성리,캄보디아,1,2021-12-21
제주시,애월읍,상가리,네팔,1,2021-12-21
제주시,애월읍,어음리,네팔,2,2021-12-21
제주시,애월읍,어음리,태국,3,2021-12-21
제주시,애월읍,유수암리,네팔,3,2021-12-21
제주시,애월읍,장전리,네팔,2,2021-12-21
제주시,용강동,,네팔,1,2021-12-21
제주시,월평동,,네팔,3,2021-12-21
제주시,조천읍,교래리,네팔,1,2021-12-21
제주시,조천읍,대흘리,네팔,2,2021-12-21
제주시,조천읍,대흘리,미얀마,1,2021-12-21
제주시,조천읍,대흘리,캄보디아,1,2021-12-21
제주시,조천읍,대흘리,태국,2,2021-12-21
제주시,조천읍,선흘리,네팔,1,2021-12-21
제주시,조천읍,선흘리,미얀마,1,2021-12-21
제주시,조천읍,와흘리,미얀마,1,2021-12-21
제주시,조천읍,와흘리,태국,4,2021-12-21
제주시,조천읍,조천리,네팔,6,2021-12-21
제주시,조천읍,조천리,미얀마,3,2021-12-21
제주시,조천읍,조천리,태국,1,2021-12-21
제주시,한경면,저지리,네팔,2,2021-12-21
제주시,한경면,저지리,중국,1,2021-12-21
제주시,한경면,저지리,캄보디아,2,2021-12-21
제주시,한경면,조수리,네팔,2,2021-12-21
제주시,한경면,조수리,캄보디아,1,2021-12-21
제주시,한림읍,금능리,네팔,16,2021-12-21
제주시,한림읍,금능리,미얀마,1,2021-12-21
제주시,한림읍,금능리,캄보디아,5,2021-12-21
제주시,한림읍,금능리,태국,2,2021-12-21
제주시,한림읍,금악리,네팔,43,2021-12-21
제주시,한림읍,금악리,미얀마,7,2021-12-21
제주시,한림읍,금악리,베트남,7,2021-12-21
제주시,한림읍,금악리,예멘,1,2021-12-21
제주시,한림읍,금악리,짐바브웨,3,2021-12-21
제주시,한림읍,금악리,캄보디아,8,2021-12-21
제주시,한림읍,금악리,태국,10,2021-12-21
제주시,한림읍,명월리,네팔,6,2021-12-21
제주시,한림읍,명월리,미얀마,2,2021-12-21
제주시,한림읍,명월리,베트남,3,2021-12-21
제주시,한림읍,명월리,캄보디아,4,2021-12-21
제주시,한림읍,명월리,태국,1,2021-12-21
제주시,한림읍,상대리,네팔,19,2021-12-21
제주시,한림읍,상대리,미얀마,5,2021-12-21
제주시,한림읍,상대리,베트남,3,2021-12-21
제주시,한림읍,상대리,중국,1,2021-12-21
제주시,한림읍,상대리,캄보디아,10,2021-12-21
제주시,한림읍,상대리,태국,8,2021-12-21
제주시,한림읍,상명리,네팔,11,2021-12-21
제주시,한림읍,상명리,미얀마,2,2021-12-21
제주시,한림읍,상명리,베트남,1,2021-12-21
제주시,한림읍,상명리,중국,2,2021-12-21
제주시,한림읍,상명리,캄보디아,6,2021-12-21
제주시,한림읍,상명리,태국,2,2021-12-21
제주시,한림읍,월림리,네팔,1,2021-12-21
제주시,한림읍,월림리,캄보디아,1,2021-12-21
제주시,해안동,,네팔,5,2021-12-21
제주시,해안동,,베트남,1,2021-12-21
제주시,해안동,,캄보디아,2,2021-12-21
제주시,회천동,,베트남,1,2021-12-21
서귀포시,남원읍,신례리,네팔,3,2021-12-21
서귀포시,남원읍,신례리,캄보디아,2,2021-12-21
서귀포시,남원읍,신흥리,미얀마,1,2021-12-21
서귀포시,남원읍,위미리,네팔,4,2021-12-21
서귀포시,남원읍,위미리,베트남,3,2021-12-21
서귀포시,남원읍,위미리,중국,1,2021-12-21
서귀포시,남원읍,위미리,캄보디아,1,2021-12-21
서귀포시,남원읍,의귀리,네팔,1,2021-12-21
서귀포시,남원읍,의귀리,캄보디아,1,2021-12-21
서귀포시,남원읍,한남리,네팔,3,2021-12-21
서귀포시,남원읍,한남리,태국,1,2021-12-21
서귀포시,대정읍,동일리,네팔,9,2021-12-21
서귀포시,대정읍,동일리,미얀마,1,2021-12-21
서귀포시,대정읍,동일리,베트남,7,2021-12-21
서귀포시,대정읍,동일리,캄보디아,7,2021-12-21
서귀포시,대정읍,동일리,태국,5,2021-12-21
서귀포시,대정읍,신도리,미얀마,1,2021-12-21
서귀포시,대정읍,신평리,네팔,4,2021-12-21
서귀포시,대정읍,신평리,미얀마,2,2021-12-21
서귀포시,대정읍,신평리,캄보디아,1,2021-12-21
서귀포시,대정읍,신평리,태국,1,2021-12-21
서귀포시,대정읍,안성리,미얀마,2,2021-12-21
서귀포시,대정읍,안성리,태국,6,2021-12-21
서귀포시,대정읍,일과리,네팔,1,2021-12-21
서귀포시,대포동,,네팔,12,2021-12-21
서귀포시,상예동,,태국,1,2021-12-21
서귀포시,색달동,,네팔,1,2021-12-21
서귀포시,색달동,,캄보디아,1,2021-12-21
서귀포시,성산읍,삼달리,태국,2,2021-12-21
서귀포시,성산읍,수산리,네팔,1,2021-12-21
서귀포시,성산읍,신풍리,네팔,1,2021-12-21
서귀포시,성산읍,신풍리,캄보디아,2,2021-12-21
서귀포시,성산읍,온평리,네팔,2,2021-12-21
