사업장명칭,주사육업종,사육두수,데이터 기준일자
단성목장,젖소,130,2026-04-17
예삼목장,한우,29,2026-04-17
우미관농장,한우,64,2026-04-17
부장한우,한우,50,2026-04-17
한양농장,한우,56,2026-04-17
지산농장,한우,36,2026-04-17
강당농장,육계,38000,2026-04-17
창리양계농장,육계,30000,2026-04-17
되동목장,한우,27,2026-04-17
진장농장,육계,70000,2026-04-17
흑현농장,한우,22,2026-04-17
동*농장,한우,27,2026-04-17
부암목장,한우,200,2026-04-17
신신농장,육계,40000,2026-04-17
우*농장,한우,57,2026-04-17
수평육계농장,육계,50000,2026-04-17
예정농장,한우,45,2026-04-17
한글목장,젖소,75,2026-04-17
하나농장,육계,35000,2026-04-17
북간도목장,한우,20,2026-04-17
일오삼목장,한우,30,2026-04-17
인지농장,육계,70000,2026-04-17
인*목장,한우,24,2026-04-17
*인목장,젖소,49,2026-04-17
성연목장,젖소,29,2026-04-17
승인축산,한우,80,2026-04-17
서해축산,한우,62,2026-04-17
오학농장,한우,33,2026-04-17
의륜동물농장,한우,32,2026-04-17
유산농장,염소,10,2026-04-17
회천농장,한우,58,2026-04-17
문*축산,한우,120,2026-04-17
동*농장,육계,50000,2026-04-17
대*목장,한우,50,2026-04-17
수남농장,한우,52,2026-04-17
가야농장,한우,60,2026-04-17
한우축산,한우,58,2026-04-17
성*농장,한우,45,2026-04-17
영화목장,한우,47,2026-04-17
애정목장,한우,23,2026-04-17
동백농장,한우,63,2026-04-17
애정목장,한우,60,2026-04-17
풍전목장,한우,22,2026-04-17
야당목장,한우,40,2026-04-17
노하목장,한우,14,2026-04-17
시어지목장,한우,40,2026-04-17
호리농장,한우,48,2026-04-17
*정농장,한우,40,2026-04-17
혁신농장,한우,105,2026-04-17
*원농장,한우,80,2026-04-17
수덕농장,한우,90,2026-04-17
수군농장,한우,37,2026-04-17
덕우축산,한우,57,2026-04-17
아지농장,한우,41,2026-04-17
*영목장,한우,32,2026-04-17
진농장,한우,40,2026-04-17
이**축사,한우,10,2026-04-17
한상목장,한우,3,2026-04-17
진농장,한우,160,2026-04-17
밀알농장,한우,60,2026-04-17
중원농장,돼지,1100,2026-04-17
돌담목장,한우,22,2026-04-17
매령농장,한우,68,2026-04-17
유곡농장,한우,21,2026-04-17
삼송농장,돼지,4000,2026-04-17
수석농장,육계,42000,2026-04-17
성*농장,한우,35,2026-04-17
한진목장,젖소,33,2026-04-17
대죽목장,젖소,0,2026-04-17
남원목장,젖소,140,2026-04-17
문화목장,젖소,80,2026-04-17
대로목장,한우,87,2026-04-17
대운목장,한우,168,2026-04-17
우정축산,한우,50,2026-04-17
서원축산,한우,19,2026-04-17
*은농장,한우,43,2026-04-17
삼풍목장,한우,150,2026-04-17
양길목장,한우,70,2026-04-17
호리목장,한우,98,2026-04-17
건수목장,젖소,60,2026-04-17
*수농장,육계,50000,2026-04-17
한라목장,한우,63,2026-04-17
한**농장,한우,135,2026-04-17
성왕한우영농조합법인,한우,80,2026-04-17
성왕농장,한우,79,2026-04-17
명천목장,젖소,63,2026-04-17
백운농장,한우,55,2026-04-17
건환목장,한우,35,2026-04-17
거부농장,한우,41,2026-04-17
*원목장,한우,30,2026-04-17
원벌농장,한우,21,2026-04-17
쇠먹이골농장,한우,76,2026-04-17
가야한우영농조합법인,한우,220,2026-04-17
*일농장,돼지,1500,2026-04-17
고북농장,육계,54000,2026-04-17
*주목장,한우,50,2026-04-17
*미목장,젖소,48,2026-04-17
동남농장,한우,50,2026-04-17
갈밭축산,한우,53,2026-04-17
지애미농장,한우,90,2026-04-17
부장목장,한우,67,2026-04-17
문양축산,한우,0,2026-04-17
늘푸른목장,젖소,60,2026-04-17
*성농장,한우,4,2026-04-17
*진한우,한우,53,2026-04-17
신흥농장,한우,10,2026-04-17
복명농장,한우,35,2026-04-17
환목장,한우,35,2026-04-17
황락농장,한우,55,2026-04-17
신양목장,젖소,40,2026-04-17
*우농장,한우,50,2026-04-17
클목장,젖소,98,2026-04-17
소래목장,한우,15,2026-04-17
다운농장,돼지,11000,2026-04-17
도비축산,한우,109,2026-04-17
한우농장,한우,15,2026-04-17
홍원축산,돼지,1200,2026-04-17
영락농원 -5,돼지,60,2026-04-17
영락농원 -6,돼지,35,2026-04-17
영락농원 -10,돼지,90,2026-04-17
영락농원 -12,돼지,250,2026-04-17
홍천농장,한우,34,2026-04-17
오사농장,한우,87,2026-04-17
대창목장,한우,53,2026-04-17
영락농원 -4,돼지,35,2026-04-17
청송목장,한우,90,2026-04-17
지산농장,한우,30,2026-04-17
금곡농장,한우,22,2026-04-17
*일농장,염소,190,2026-04-17
양길농장,한우,32,2026-04-17
한성목장,젖소,60,2026-04-17
무길농장,한우,20,2026-04-17
*완목장,젖소,87,2026-04-17
샘골목장,젖소,100,2026-04-17
부다리농장,한우,43,2026-04-17
부암농장,한우,25,2026-04-17
세외도목장,젖소,125,2026-04-17
황금목장,한우,98,2026-04-17
태광목장,젖소,54,2026-04-17
*미목장,젖소,43,2026-04-17
