연번,사업장명칭,주사육업종,사업장소재지(지번),사업장소재지(도로명),사육두수,동수,면적
1,음봉양계장,종계/산란계,충청남도 아산시 음봉면 삼거리 183-5,,18000,1,951.6
2,신설목장,한우,충청남도 아산시 송악면 수곡리 68-66-3,충청남도 아산시 송악면 수곡길 37,30,7,501
3,인수목장,한우,충청남도 아산시 송악면 외암리 425-1 425-2 425-12 469-23,충청남도 아산시 송악면 외암로 1137-31,151,3,2016.44
4,덕수목장,젖소,충청남도 아산시 둔포면 봉재리 440,충청남도 아산시 둔포면 충무로1313번길 22,284,3,3587.03
5,아람농장,한우,충청남도 아산시 둔포면 신양리 81,,65,2,785.26
6,왕호농장,돼지,충청남도 아산시 음봉면 의식리 2-7,충청남도 아산시 음봉면 율금8길 67,1400,6,1371.78
7,햇살농장,돼지,충청남도 아산시 음봉면 의식리 423,,2584,9,3619.71
8,중암농장,돼지,충청남도 아산시 음봉면 소동리 303-4,충청남도 아산시 음봉면 연암율금로 178-33,2500,3,2402
9,대성농장,돼지,충청남도 아산시 둔포면 산전리 348-2,,2746,10,4046.67
10,가꿀농장,돼지,충청남도 아산시 신창면 남성리 540,충청남도 아산시 신창면 서부북로764번길 40,1033,8,1419.5
11,광진농장,돼지,충청남도 아산시 신창면 수장리 4-3,충청남도 아산시 신창면 배미로85번길 60-22,992,3,1389.5
12,늘왕농장,돼지,충청남도 아산시 도고면 도산리 251,충청남도 아산시 도고면 도고산로329번길 61-9,1000,4,995.16
13,준구농장,돼지,충청남도 아산시 영인면 신운리 380-18,,700,3,735.9
14,승농장,돼지,충청남도 아산시 영인면 신운리 573-1,충청남도 아산시 영인면 영인로348번길 42,1200,3,1231.2
15,쌍용농축,돼지,충청남도 아산시 음봉면 쌍암리 300-4,충청남도 아산시 음봉면 연암율금로508번길 33,2400,6,3828.34
16,도고농장,돼지,충청남도 아산시 도고면 신언리 산 65-1,충청남도 아산시 도고면 도고면로 80-25,1100,3,1419
17,동천농장,돼지,충청남도 아산시 득산동 99-2,충청남도 아산시 득산로41번길 23-15 (득산동),600,3,683.05
18,한별축산,돼지,충청남도 아산시 도고면 화천리 277,충청남도 아산시 도고면 도고산로110번길 42,620,4,822.9
19,방현농장,돼지,충청남도 아산시 염치읍 방현리 403-1 외3필지,충청남도 아산시 염치읍 충무로308번길 52 (외3필지),660,2,996.3
20,삼봉농장,종계/산란계,충청남도 아산시 도고면 화천리 45,,30000,5,2811
21,안골농원,육계,충청남도 아산시 영인면 성내리 287-6,충청남도 아산시 영인면 성내안길 121,60000,7,3540
22,덕산농장,육계,충청남도 아산시 배방읍 세출리 105-1,,50000,5,2913
23,삼부자농장,돼지,충청남도 아산시 초사동 520-1,,1500,3,1711
24,학성농장,돼지,충청남도 아산시 선장면 죽산리 232-13,충청남도 아산시 선장면 학성로 171-6,770,2,1078.2
25,현수농장,돼지,충청남도 아산시 탕정면 갈산리 367-2,충청남도 아산시 탕정면 갈산교로 136,2800,9,2728.94
26,아람종축,돼지,충청남도 아산시 신창면 궁화리 511-8,,6100,9,7432
27,서원목장,젖소,충청남도 아산시 염치읍 서원리 175,,82,4,1995.21
28,정진목장,젖소,충청남도 아산시 둔포면 신항리 761,,233,4,3031.62
29,기주목장,한우,충청남도 아산시 영인면 신봉리 644-1,,151,1,1812.73
30,우천목장,젖소,충청남도 아산시 영인면 신화리 616,충청남도 아산시 영인면 토정로 267-30,180,3,2364
31,원영목장,한우,충청남도 아산시 영인면 구성리 72-3 외 1필지(72-2),충청남도 아산시 영인면 아산호로 414-14,124,5,1486.35
32,태성목장,젖소,충청남도 아산시 영인면 역리 316-21,충청남도 아산시 영인면 토정로191번길 69,50,1,1317
33,전진목장,젖소,충청남도 아산시 도고면 농은리 124,충청남도 아산시 도고면 도고산로74번길 32,124,2,1551.36
34,하나로목장,젖소,충청남도 아산시 도고면 농은리 163-1,충청남도 아산시 도고면 도고산로74번길 62,66,1,799.75
35,득산농장,돼지,충청남도 아산시 신창면 행목리 4-1,충청남도 아산시 신창면 온천대로1122번길 36-27,1000,3,1172.36
36,영제농장,돼지,충청남도 아산시 신창면 창암리 214-2,충청남도 아산시 신창면 창암황산길 205-21,900,6,1155.29
37,도고농장,육계,충청남도 아산시 도고면 금산리 69-3,충청남도 아산시 도고면 온천대로222번길 130-20,70000,3,3782.4
38,현광1농장,육계,충청남도 아산시 초사동 261-1,충청남도 아산시 무궁화안길 30 (초사동),20000,4,997
