사업장명칭,주사육업종,사업장소재지(지번), 사육두수 
동방축산,돼지,충청남도 예산군 예산읍 간양리 492번지 2호  ,2300
응봉농장,돼지,충청남도 예산군 응봉면 계정리 222번지 외1필지(2376) ,1100
은현농장,한우,"충청남도 예산군 오가면 분천리 16번지 4호 외3필지(7,11,12) ",117
은곡농장,한우,충청남도 예산군 봉산면 마교리 산 99번지 4호 외 1필지(마교리 산993) ,60
자영농장,한우,충청남도 예산군 오가면 원천리 844번지 19호  ,300
한택농장,한우,"충청남도 예산군 대술면 궐곡리 353번지 외5(3531, 3532, 3533, 6131, 6133) ",150
동진농장,한우,충청남도 예산군 오가면 양막리 144번지 1호  ,193
태정목장,한우,"충청남도 예산군 오가면 양막리 105번지 3호 외 3필지(7122, 1052, 71) ",96
기품농장,한우,충청남도 예산군 오가면 양막리 139번지 2호  ,60
황소와농부,한우,충청남도 예산군 오가면 양막리 38번지 5호  ,80
보경농장,한우,충청남도 예산군 오가면 양막리 146번지 4호  ,100
달빛농장,돼지,충청남도 예산군 응봉면 건지화리 171번지 외 7필지 ,900
정휴농장,한우,"충청남도 예산군 응봉면 건지화리 171번지 외12필지(1691,1703,174,175,1751,176,177,1771,178,1792, 1793,8132동 ",253
태양농장,한우,충청남도 예산군 응봉면 계정리 213번지 외 1필지(214) ,65
권농장,돼지,"충청남도 예산군 응봉면 노화리 128번지 1호 외 4필지(129, 1301, 35220, 3671) ",700
대지농장,돼지,"충청남도 예산군 광시면 대리 406번지 1호 외6필지(2317,31213,3229,10,4069,589) ",2000
태흥목장,젖소,충청남도 예산군 덕산면 둔리 540번지 41호 외2필지 ,130
한사랑농장(A),돼지,"충청남도 예산군 덕산면 낙상리 426번지 외3필지(427,홍성군 갈산면 신안리 144,6) ",2000
덕숭농장,돼지,충청남도 예산군 덕산면 복당리 560번지 1호  ,1300
한일농장,젖소,"충청남도 예산군 덕산면 둔리 540번지 2호 외 4필지(5408, 39, 103, 105) ",43
주흥농장,한우,"충청남도 예산군 응봉면 계정리 376번지 1호 외5(375,3762,3763,377,59811) ",86
우후농장,한우,충청남도 예산군 오가면 좌방리 84번지 36호  ,18
한사랑농장(B),돼지,"충청남도 예산군 덕산면 복당리 561번지 1호 외 5필지(4362, 4363, 4364, 5537, 5533) ",2500
명진농장,젖소,충청남도 예산군 신암면 신택리 171번지 3호  ,66
하나농장,한우,"충청남도 예산군 오가면 내량리 25번지 40호 외 2필지( 2541, 25166) ",45
육본한우,한우,"충청남도 예산군 오가면 오촌리 24번지 1호 외 12필지(872,5,9,10,11,88,421,4221,2,4231,4232,4223) ",303
옥석농장,돼지,충청남도 예산군 삽교읍 상하리 158번지 3호  ,2000
백송농장,돼지,"충청남도 예산군 신암면 용궁리 758번지 외 8필지(780, 2, 80334, 8531, 3, 10511, 2, 3) ",2508
미진농장,돼지,"충청남도 예산군 오가면 내량리 169번지 144호 외6필지(40,42,43,114,146,147) ",960
가나안농장,돼지,"충청남도 예산군 오가면 오촌리 426번지 16호 42616외12필지(25,27,28,40,52,55,56,59,60,65,66,68) ",3200
삼진농장,돼지,"충청남도 예산군 오가면 신장리 428번지 1호 외 4필지(42852, 42853, 42854, 42877) ",3000
신양농장,돼지,"충청남도 예산군 신양면 신양리 16번지 외 9필지(11, 1, 12, 1, 132, 14, 15, 161, 51) ",2500
수덕농장,한우,충청남도 예산군 덕산면 둔리 419번지 1호 외1필지 ,71
연숙농장,한우,충청남도 예산군 신양면 연리 395번지 4호 외 1필지(3955) ,55
주원농장,한우,"충청남도 예산군 광시면 구례리 357번지 외 3필지(388,389,4951) ",60
부부농장,육계,충청남도 예산군 오가면 원평리 78번지 2호 외1필지 ,50000
보람농장,한우,충청남도 예산군 오가면 분천리 352번지  ,25
준용농장,한우,충청남도 예산군 오가면 오촌리 383번지 3호  ,15
재석농장,한우,충청남도 예산군 신양면 녹문리 506번지  ,40
부천축협 한우공동사업장,한우,"충청남도 예산군 오가면 분천리 35번지 29호 외2필지(3535,3536) ",150
윤인농장,한우,충청남도 예산군 오가면 원천리 955번지 28호 외1필지 ,80
경춘농원,돼지,"충청남도 예산군 오가면 역탑리 455번지 16호 외2필지(45531,45562) ",2200
신흥농장,돼지,"충청남도 예산군 오가면 신장리 508번지 1호 외11필지(508,4961,506,5081,2,3,4,5092,3,9482,9491 ",2000
무송농장,돼지,"충청남도 예산군 신암면 탄중리 134번지 1호 외5필지(1342,1343,1346,1349,13920) ",5291
농업회사법인(주)새들만예산지점,돼지,"충청남도 예산군 오가면 분천리 126번지 6호 외3필지(12112,14,12639) ",6360
한일농장,돼지,"충청남도 예산군 고덕면 용리 1028번지 2호 외2필지(용리1026,10261) ",6000
마사농장,한우,"충청남도 예산군 광시면 마사리 181번지 1호 외 8필지(931, 94, 96, 1801, 1807, 1808, 70428, 7062) ",187
엠파크(EMPARK),돼지,"충청남도 예산군 광시면 마사리 245번지 2호 외11필지(2453, 4, 5, 2462, 7, 5171, 4, 518, 519) ",3000
영덕농장,한우,충청남도 예산군 삽교읍 이리 502번지 2호  ,10
송원농장,한우,"충청남도 예산군 광시면 마사리 31번지 7호 외 2필지(3111,3112) ",100
청원농장,한우,"충청남도 예산군 신양면 신양리 1번지 외 6필지(1551, 156, 157, 158, 161, 162) ",240
동원농장,젖소,충청남도 예산군 신암면 신택리 133번지 5호  ,70
선정농장,한우,충청남도 예산군 오가면 오촌리 55번지  ,65
싱싱농장,한우,"충청남도 예산군 오가면 분천리 220번지 1호 외12필지(2183,4512,4483,4484,2203,2362,2371,2372,2374, 4521,456)동 ",175
현선농장,한우,충청남도 예산군 오가면 오촌리 120번지  ,33
수정농장,한우,충청남도 예산군 신양면 귀곡리 453번지 1호  ,40
죽산농장,한우,충청남도 예산군 오가면 원천리 432번지  ,  
도장골농장,한우,"충청남도 예산군 광시면 미곡리 246번지 2호 외 4필지(2463, 1432, 21614, 3142) ",132
지환농장,한우,충청남도 예산군 오가면 역탑리 350번지 3호 외 2필지 ,130
유진농장,한우,충청남도 예산군 삽교읍 이리 403번지 2호  ,40
응봉농장,한우,충청남도 예산군 응봉면 건지화리 141번지 1호  ,80
팜큐브,돼지,충청남도 예산군 덕산면 낙상리 214번지  ,2550
덕산농장,돼지,"충청남도 예산군 덕산면 대동리 145번지 11호 외8필지(14512, 13, 14, 15, 16, 23, 24, 25) ",2000
황부자농장,돼지,"충청남도 예산군 오가면 신장리 443번지 4호 외 8필지(4431, 15, 17, 40, 43, 47, 4508, 40) ",1514
아빠농장,돼지,충청남도 예산군 신암면 오산리 379번지 1호 외 1필지(379) ,3000
대녕농장,돼지,충청남도 예산군 고덕면 석곡리 101번지 29호  ,1600
가나안농장,돼지,"충청남도 예산군 덕산면 북문리 236번지 외 9필지(2353, 9, 10, 11, 12, 238, 239, 1, 2403) ",3300
샘천목장,젖소,"충청남도 예산군 고덕면 상몽리 463번지 4호 외 7필지(4635, 7862, 4, 12, 13, 14, 22) ",500
한영목장,한우,충청남도 예산군 고덕면 상몽리 65번지 10호 외3필지 ,95
