번호,사업장명,주사육업종,소재지전체주소,사육두수,최종수정시점
1,신광목장,젖소,충청남도 천안시 동남구 북면 대평리 ***번지  ,270 ,2025-11-28
2,창성목장,한우,충청남도 천안시 동남구 북면 매송리 **번지  ,200 ,2025-11-28
3,농업회사법인 숲이랑 제2농장,육우,"충청남도 천안시 서북구 성환읍 율금리 ***번지 **호 ,*,**,** ",0 ,2025-11-28
4,퍼펙트농장,육계,충청남도 천안시 동남구 동면 수남리 ***번지 *호  ,89320 ,2025-11-28
5,마글론농장,돼지,충청남도 천안시 동남구 성남면 화성리 ***번지 외 **필지 ,8852 ,2025-11-28
6,시골축산,종계/산란계,충청남도 천안시 동남구 성남면 대흥리 ***번지  ,73440 ,2025-11-28
7,주식회사 농업회사법인 정원팜스(2),돼지,충청남도 천안시 동남구 성남면 대흥리 ***번지  ,2500 ,2025-11-28
8,청운농장,종계/산란계,충청남도 천안시 동남구 풍세면 용정리 ***번지 **호  ,100800 ,2025-11-28
9,일웅농장,육계,충청남도 천안시 동남구 풍세면 남관리 ***번지 외 *필지(***) ,60000 ,2025-11-28
10,영창농장,종계/산란계,충청남도 천안시 동남구 풍세면 가송리 ***번지  ,151200 ,2025-11-28
11,오성농장,종계/산란계,충청남도 천안시 동남구 풍세면 가송리 ***번지 *호  ,58240 ,2025-11-28
12,신기농장,돼지,충청남도 천안시 동남구 목천읍 도장리 **번지 외*필지 ,2000 ,2025-11-28
13,주식회사 농업회사법인 정원팜스(3),돼지,충청남도 천안시 동남구 수신면 장산리 ***번지 외 *필지 ,4500 ,2025-11-28
14,애그빌농장,종계/산란계,"충청남도 천안시 동남구 풍세면 가송리 ***번지 *호 ***,***-* ",0 ,2025-11-28
15,소망농장,종계/산란계,충청남도 천안시 동남구 풍세면 용정리 ***번지 *호  ,82000 ,2025-11-28
16,유니농장,종계/산란계,충청남도 천안시 동남구 풍세면 용정리 ***번지 **호 외 용정리 ***-** ,43000 ,2025-11-28
17,하마농장,종계/산란계,"충청남도 천안시 동남구 풍세면 가송리 ***번지 외*(***-*,***-*,*,*,***-*) ",38902 ,2025-11-28
18,으뜸농장,종계/산란계,충청남도 천안시 서북구 직산읍 수헐리 **번지 *호  ,100000 ,2025-11-28
19,텃골영농조합법인,종계/산란계,"충청남도 천안시 서북구 입장면 호당리 *번지 *통 *-*, *번지 ",245012 ,2025-11-28
20,성남농장,종계/산란계,"충청남도 천안시 동남구 성남면 봉양리 ***번지 외*필지(***-*,***-*,***-*,***) ",187000 ,2025-11-28
21,직산농장,종계/산란계,충청남도 천안시 서북구 직산읍 마정리 산 **번지 *호  ,48000 ,2025-11-28
22,한일농장,종계/산란계,충청남도 천안시 서북구 성환읍 양령리 **번지 *호  ,26000 ,2025-11-28
23,목골농장,종계/산란계,충청남도 천안시 동남구 성남면 석곡리 **번지 *호  ,9880 ,2025-11-28
24,진영농장,한우,충청남도 천안시 동남구 병천면 매성리 **번지 *호  ,20 ,2025-11-28
25,가온농장,한우,충청남도 천안시 동남구 병천면 송정리 **번지  ,80 ,2025-11-28
26,재두농장,한우,충청남도 천안시 동남구 병천면 봉항리 **번지 *통  ,45 ,2025-11-28
27,백전백두농장,한우,충청남도 천안시 동남구 병천면 가전리 ***번지 *통  ,60 ,2025-11-28
28,행복농장,한우,충청남도 천안시 동남구 병천면 송정리 **번지 *호  ,65 ,2025-11-28
29,봉황농장,한우,충청남도 천안시 동남구 병천면 매성리 **번지 *호  ,90 ,2025-11-28
30,운암농장,종계/산란계,"충청남도 천안시 동남구 병천면 관성리 ***번지 *호 ***, ***, ***-* ",37000 ,2025-11-28
31,진원농장,종계/산란계,충청남도 천안시 서북구 성환읍 와룡리 ***번지 *호  ,53000 ,2025-11-28
32,소망농장,돼지,"충청남도 천안시 서북구 입장면 호당리 ***번지 외 *필지(***,***-*,***,***-*) ",500 ,2025-11-28
33,세민농장,돼지,충청남도 천안시 서북구 입장면 시장리 ***번지 *호  ,900 ,2025-11-28
34,호원농장,돼지,충청남도 천안시 서북구 입장면 호당리 **번지  ,1100 ,2025-11-28
35,전원농장,돼지,충청남도 천안시 서북구 입장면 호당리 ***번지 *호  ,1000 ,2025-11-28
36,병준농장,돼지,충청남도 천안시 서북구 입장면 시장리 ***번지 *호  ,700 ,2025-11-28
37,대길농장,한우,충청남도 천안시 동남구 병천면 송정리 ***번지 *호  ,72 ,2025-11-28
38,대웅돈 유전자,돼지,충청남도 천안시 동남구 성남면 신사리 ***번지 *통  ,123 ,2025-11-28
39,안동목장,젖소,충청남도 천안시 동남구 목천읍 소사리 ***번지 *호  ,60 ,2025-11-28
40,삼화양돈,돼지,충청남도 천안시 동남구 풍세면 용정리 ***번지 *호  ,0 ,2025-11-28
41,충무농업회사 법인주식회사,돼지,충청남도 천안시 동남구 병천면 관성리 ***번지 외 **필지 ,6500 ,2025-11-28
42,보람축산,돼지,"충청남도 천안시 동남구 병천면 병천리 ***번지 외 *필지(***-*, ***-*) ",2100 ,2025-11-28
43,금호농장,돼지,충청남도 천안시 동남구 목천읍 삼성리 **번지  ,7500 ,2025-11-28
44,피덕농장,육계,충청남도 천안시 동남구 광덕면 대평리 ***번지 *통  ,58000 ,2025-11-28
45,다정목장,한우,충청남도 천안시 서북구 성환읍 신가리 ***번지 *호  ,30 ,2025-11-28
46,연목장,육우,충청남도 천안시 동남구 풍세면 남관리 ***번지 **호  ,75 ,2025-11-28
47,양지목장,한우,충청남도 천안시 동남구 광덕면 보산원리 ***번지  ,80 ,2025-11-28
48,자연농장,육계,"충청남도 천안시 동남구 성남면 화성리 **번지 *호 외 *필지(**-**,**-**,**-**) ",43000 ,2025-11-28
49,영광농장,종계/산란계,충청남도 천안시 동남구 수신면 장산리 ***번지  ,68800 ,2025-11-28
50,가나안농장,종계/산란계,충청남도 천안시 동남구 풍세면 보성리 ***번지  ,20000 ,2025-11-28
