사업장소재지,축종,사육마릿수,사육면적,데이터기준일
충청남도 공주시 우성면 내산리 ,소,0,476,2026-06-08
충청남도 공주시 이인면 구암리 산,소,8,864,2026-06-08
충청남도 공주시 정안면 북계리 ,소,10,160,2026-06-08
충청남도 공주시 계룡면 향지리 ,소,0,792,2026-06-08
충청남도 공주시 정안면 전평리 ,소,85,439.2,2026-06-08
충청남도 공주시 우성면 보흥리 ,소,10,162,2026-06-08
충청남도 공주시 의당면 의당면 ,소,20,795.6,2026-06-08
충청남도 공주시 탄천면 탄천면 ,소,28,792,2026-06-08
충청남도 공주시 계룡면 월곡리 ,소,0,1152,2026-06-08
충청남도 공주시 유구읍 문금리 ,소,9,500,2026-06-08
충청남도 공주시 우성면 방문리 ,소,185,2208,2026-06-08
충청남도 공주시 우성면 상서리 ,소,0,195.8,2026-06-08
충청남도 공주시 우성면 용봉리 ,소,4,398.4,2026-06-08
충청남도 공주시 우성면 보흥리 ,소,24,608,2026-06-08
충청남도 공주시 우성면 봉현리 ,소,0,200,2026-06-08
충청남도 공주시 정안면 내촌리 ,소,45,1326,2026-06-08
충청남도 공주시 유구읍 만천리 ,소,0,90,2026-06-08
충청남도 공주시 유구읍 녹천리 ,소,46,600,2026-06-08
충청남도 공주시 탄천면 견동리 ,소,27,400,2026-06-08
충청남도 공주시 우성면 귀산리 ,소,4,67.8,2026-06-08
충청남도 공주시 계룡면 내흥리 ,소,5,60,2026-06-08
충청남도 공주시 우성면 내산리 ,소,10,550,2026-06-08
충청남도 공주시 우성면 보흥리 ,소,4,144,2026-06-08
충청남도 공주시 우성면 도천리 ,소,7,102.3,2026-06-08
충청남도 공주시 우성면 보흥리 ,소,0,165,2026-06-08
충청남도 공주시 유구읍 녹천리 ,소,0,474.4,2026-06-08
충청남도 공주시 정안면 문천리 ,소,0,200,2026-06-08
충청남도 공주시 탄천면 광명리 ,소,5,440,2026-06-08
충청남도 공주시 사곡면 부곡리 ,소,0,280,2026-06-08
충청남도 공주시 의당면 율정리 ,소,19,500,2026-06-08
충청남도 공주시 의당면 수촌리 ,소,35,250,2026-06-08
충청남도 공주시 우성면 대성리 ,소,26,432,2026-06-08
충청남도 공주시 유구읍 녹천리 ,소,0,306,2026-06-08
충청남도 공주시 탄천면 삼각리 ,소,26,395,2026-06-08
충청남도 공주시 의당면 수촌리 ,소,74,597,2026-06-08
충청남도 공주시 이인면 신흥리 ,소,0,390,2026-06-08
충청남도 공주시 의당면 율정리 ,소,0,336,2026-06-08
충청남도 공주시 의당면 월곡리 ,소,0,256.3,2026-06-08
충청남도 공주시 탄천면 성리 ,소,27,1138,2026-06-08
충청남도 공주시 유구읍 세동리 ,소,4,260,2026-06-08
충청남도 공주시 이인면 이인리 ,소,109,1000,2026-06-08
충청남도 공주시 송선동 송선동 ,소,0,164,2026-06-08
충청남도 공주시 사곡면 사곡면 ,소,0,323,2026-06-08
