농장명,행정동명,소재지주소,축종,사육두수,관리기관명,데이터기준일자
가곡농장,노성면,충청남도 논산시 노성면 가곡리 375-6,산양,10,충청남도 논산시 축수산과,2024-09-30
가나안농장,광석면,충청남도 논산시 광석면 사월리 230-21,산양,50,충청남도 논산시 축수산과,2024-09-30
에파코팜,가야곡면,충청남도 논산시 가야곡면 함적리 375-7,산양,1,충청남도 논산시 축수산과,2024-09-30
가브리엘 농장,은진면,충청남도 논산시 은진면 남산리 84,돼지,1000,충청남도 논산시 축수산과,2024-09-30
가야농장,가야곡면,충청남도 논산시 가야곡면 육곡리 27,한우,40,충청남도 논산시 축수산과,2024-09-30
박** 축사,가야곡면,충청남도 논산시 가야곡면 육곡리 108,한우,1,충청남도 논산시 축수산과,2024-09-30
인** 축사,성동면,충청남도 논산시 성동면 우곤리 1304-1,한우,1,충청남도 논산시 축수산과,2024-09-30
이**축사,부적면,충청남도 논산시 부적면 외성리 60-9,한우,1,충청남도 논산시 축수산과,2024-09-30
가야농장,가야곡면,충청남도 논산시 가야곡면 육곡리 528,한우,55,충청남도 논산시 축수산과,2024-09-30
임리목장,연산면,충청남도 논산시 연산면 임리 114-1,사슴,1,충청남도 논산시 축수산과,2024-09-30
가연농장,가야곡면,충청남도 논산시 가야곡면 종연리 309-1,한우,8,충청남도 논산시 축수산과,2024-09-30
갈산농장,광석면,충청남도 논산시 광석면 갈산리 429-1,한우,70,충청남도 논산시 축수산과,2024-09-30
강경농장,강경읍,충청남도 논산시 강경읍 채운리 196,한우,500,충청남도 논산시 축수산과,2024-09-30
강청농장,가야곡면,충청남도 논산시 가야곡면 강청리 147-7,한우,20,충청남도 논산시 축수산과,2024-09-30
건양농장,양촌면,충청남도 논산시 양촌면 모촌리 567-1,한우,479,충청남도 논산시 축수산과,2024-09-30
경민농장,노성면,충청남도 논산시 노성면 송당리 231-2,한우,13,충청남도 논산시 축수산과,2024-09-30
경원농장,은진면,충청남도 논산시 은진면 남산리 491,산양,10,충청남도 논산시 축수산과,2024-09-30
계룡농장,광석면,충청남도 논산시 광석면 중리 515-1,산양,17,충청남도 논산시 축수산과,2024-09-30
계백농장,연산면,충청남도 논산시 연산면 고정리 276-1,한우,28,충청남도 논산시 축수산과,2024-09-30
고정농장,성동면,충청남도 논산시 성동면 원봉리 419-2,한우,52,충청남도 논산시 축수산과,2024-09-30
강** 축사,양촌면,충청남도 논산시 양촌면 양촌리 127-2,한우,1,충청남도 논산시 축수산과,2024-09-30
곰밭농장,은진면,충청남도 논산시 은진면 토양리 산 45-11,한우,71,충청남도 논산시 축수산과,2024-09-30
광명농장,양촌면,충청남도 논산시 양촌면 임화리 200,한우,6,충청남도 논산시 축수산과,2024-09-30
(주)친환경식품축산농업회사법인 직영점,가야곡면,충청남도 논산시 가야곡면 두월리 44,한우,2,충청남도 논산시 축수산과,2024-09-30
광석양지농장,광석면,충청남도 논산시 광석면 중리 173,돼지,2500,충청남도 논산시 축수산과,2024-09-30
광석흑염소농장,광석면,충청남도 논산시 광석면 득윤리 16,염소,20,충청남도 논산시 축수산과,2024-09-30
광진농장,벌곡면,충청남도 논산시 벌곡면 만목리 420,돼지,800,충청남도 논산시 축수산과,2024-09-30
구암농장,노성면,충청남도 논산시 노성면 구암리 161,돼지,2300,충청남도 논산시 축수산과,2024-09-30
국보농장,연무읍,충청남도 논산시 연무읍 신화리 1503-9,육우,195,충청남도 논산시 축수산과,2024-09-30
금강농장,연무읍,충청남도 논산시 연무읍 소룡리 291,한우,220,충청남도 논산시 축수산과,2024-09-30
금성농장,성동면,충청남도 논산시 성동면 우곤리 84-1,한우,68,충청남도 논산시 축수산과,2024-09-30
금성사슴농장,연산면,충청남도 논산시 연산면 송정리 401,사슴,70,충청남도 논산시 축수산과,2024-09-30
금우림농장,상월면,충청남도 논산시 상월면 석종리 7,염소,30,충청남도 논산시 축수산과,2024-09-30
금태농장,광석면,충청남도 논산시 광석면 왕전리 813-1,육우,11,충청남도 논산시 축수산과,2024-09-30
길농장,연무읍,충청남도 논산시 연무읍 마산리 313-7,돼지,10,충청남도 논산시 축수산과,2024-09-30
김** 농장,노성면,충청남도 논산시 노성면 화곡리 207,한우,18,충청남도 논산시 축수산과,2024-09-30
김** 농장,성동면,충청남도 논산시 성동면 병촌리 341-17,한우,55,충청남도 논산시 축수산과,2024-09-30
김**농장,연무읍,충청남도 논산시 연무읍 동산리 665-7,한우,10,충청남도 논산시 축수산과,2024-09-30
김**농장,가야곡면,충청남도 논산시 가야곡면 병암리 8-48,한우,90,충청남도 논산시 축수산과,2024-09-30
김**농장,광석면,충청남도 논산시 광석면 갈산리 580-4,한우,10,충청남도 논산시 축수산과,2024-09-30
김**농장,성동면,충청남도 논산시 성동면 원봉리 467-15,한우,20,충청남도 논산시 축수산과,2024-09-30
김**농장,연무읍,충청남도 논산시 연무읍 황화정리 376,한우,11,충청남도 논산시 축수산과,2024-09-30
김** 농장,상월면,충청남도 논산시 상월면 월오리 412,한우,7,충청남도 논산시 축수산과,2024-09-30
김**농장,은진면,충청남도 논산시 은진면 교촌리 381-5,한우,25,충청남도 논산시 축수산과,2024-09-30
김** 농장,광석면,충청남도 논산시 광석면 갈산리 743-5,한우,50,충청남도 논산시 축수산과,2024-09-30
김**농장,연산면,충청남도 논산시 연산면 장전리 143-1,한우,20,충청남도 논산시 축수산과,2024-09-30
남양농장2,상월면,충청남도 논산시 상월면 한천리 671-2,한우,128,충청남도 논산시 축수산과,2024-09-30
남주농장,연산면,충청남도 논산시 연산면 송산리 536-2,한우,200,충청남도 논산시 축수산과,2024-09-30
김** 축사,성동면,충청남도 논산시 성동면 월성리 358-3,한우,2,충청남도 논산시 축수산과,2024-09-30
일신축사,노성면,충청남도 논산시 노성면 효죽리 88,한우,2,충청남도 논산시 축수산과,2024-09-30
내숙농장,부적면,충청남도 논산시 부적면 덕평리 95,한우,25,충청남도 논산시 축수산과,2024-09-30
노아농장,연무읍,충청남도 논산시 연무읍 양지리 16-8,돼지,2000,충청남도 논산시 축수산과,2024-09-30
논산가야자연흑염소농장,가야곡면,충청남도 논산시 가야곡면 목곡리 308,염소,36,충청남도 논산시 축수산과,2024-09-30
농업회사법인(주)팜스월드 마전농장,연무읍,충청남도 논산시 연무읍 마전리 1128,돼지,1793,충청남도 논산시 축수산과,2024-09-30
농업회사법인(주)팜스월드 소룡농장,연무읍,충청남도 논산시 연무읍 소룡리 638-16,돼지,1837,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 인천리 432-36,한우,1,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 교촌리 81,한우,1,충청남도 논산시 축수산과,2024-09-30
농장,은진면,충청남도 논산시 은진면 방축리 679,한우,1,충청남도 논산시 축수산과,2024-09-30
농장,상월면,충청남도 논산시 상월면 대명리 249-4,한우,1,충청남도 논산시 축수산과,2024-09-30
농장,상월면,충청남도 논산시 상월면 월오리 320-12,한우,1,충청남도 논산시 축수산과,2024-09-30
농장,채운면,충청남도 논산시 채운면 화정리 298-1,한우,1,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 교촌리 279-1,한우,1,충청남도 논산시 축수산과,2024-09-30
농장,성동면,충청남도 논산시 성동면 원봉리 142-11,한우,1,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 안심리 43-33,한우,1,충청남도 논산시 축수산과,2024-09-30
농장,상월면,충청남도 논산시 상월면 숙진리 433-2,한우,1,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 교촌리 218-4,한우,2,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 등리 324-2,한우,2,충청남도 논산시 축수산과,2024-09-30
농장,연산면,충청남도 논산시 연산면 덕암리 72-3,한우,2,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 덕평리 349-9,한우,2,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 마산리 625-15,한우,2,충청남도 논산시 축수산과,2024-09-30
농장,광석면,충청남도 논산시 광석면 득윤리 677-1,한우,2,충청남도 논산시 축수산과,2024-09-30
농장,상월면,충청남도 논산시 상월면 상도리 460번지 1,한우,2,충청남도 논산시 축수산과,2024-09-30
우리축산,성동면,충청남도 논산시 성동면 정지리 118-6,한우,3,충청남도 논산시 축수산과,2024-09-30
박** 축사,광석면,충청남도 논산시 광석면 산동리 380-1,한우,3,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 덕평리 307-4,한우,2,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 반암리 160-1,한우,2,충청남도 논산시 축수산과,2024-09-30
김**축사,은진면,충청남도 논산시 은진면 연서리 604,한우,3,충청남도 논산시 축수산과,2024-09-30
김** 축사,광석면,충청남도 논산시 광석면 항월리 60-4,한우,3,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 왕암리 91-2,한우,2,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 왕암리 105-4,한우,2,충청남도 논산시 축수산과,2024-09-30
농장,상월면,충청남도 논산시 상월면 월오리 320-8,한우,2,충청남도 논산시 축수산과,2024-09-30
농장,상월면,충청남도 논산시 상월면 산성리 341-2,한우,2,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 삼전리 324-1,한우,2,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 인천리 261,한우,2,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 장구리 산 2-53,한우,2,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 삼전리 654,한우,2,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 삼전리 93-3,한우,2,충청남도 논산시 축수산과,2024-09-30
농장,가야곡면,충청남도 논산시 가야곡면 삼전리 358-3,한우,2,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 고내리 1040-13,한우,3,충청남도 논산시 축수산과,2024-09-30
농장,상월면,충청남도 논산시 상월면 대촌리 65-1,한우,3,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 양촌리 331,한우,3,충청남도 논산시 축수산과,2024-09-30
농장,연무읍,충청남도 논산시 연무읍 마산리 240,한우,3,충청남도 논산시 축수산과,2024-09-30
농장,노성면,충청남도 논산시 노성면 죽림리 61-9,한우,3,충청남도 논산시 축수산과,2024-09-30
농장,부적면,충청남도 논산시 부적면 아호리 134-5,한우,3,충청남도 논산시 축수산과,2024-09-30
농장,연산면,충청남도 논산시 연산면 송정리 467-2,한우,3,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 중산리 463-5,한우,3,충청남도 논산시 축수산과,2024-09-30
그린팜,상월면,충청남도 논산시 상월면 상도리 682-7,산양,4,충청남도 논산시 축수산과,2024-09-30
농장,양촌면,충청남도 논산시 양촌면 양촌리 189,한우,3,충청남도 논산시 축수산과,2024-09-30
