농장명,주사육업종,축종,소재지(지번),소재지(도로명),규모(제곱미터),사육두수,데이터기준일자
소망농장,한우,,"충청남도 부여군 홍산면 교원리 444번지 1호 , 444-2 ",충청남도 부여군 홍산면 대백제로 787-51,2170,0,2026-01-30
싸리골 목장,한우,한우,충청남도 부여군 은산면 장벌리 272번지 1  2호  ,,890.52,30,2026-01-30
정각농장,한우,한우,충청남도 부여군 석성면 정각리 210번지  ,,620,50,2026-01-30
목동목장,젖소,젖소,충청남도 부여군 옥산면 홍연리 520번지 외1(521) ,충청남도 부여군 옥산면 홍연로26번길 3-33,1708.63,80,2026-01-30
지산농장,한우,한우,"충청남도 부여군 세도면 청송리 691번지 2호 외 2(690, 691-3) ",충청남도 부여군 세도면 세도로 195,797,79,2026-01-30
성일축산,육계,육계,충청남도 부여군 충화면 지석리 566번지  ,충청남도 부여군 충화면 팔충로 493-26,3586.25,80000,2026-01-30
남산축산,육계,육계,충청남도 부여군 장암면 상황리 54번지  ,충청남도 부여군 장암면 위덕로 588-24,3960,30000,2026-01-30
찬희농장,육계,육계,충청남도 부여군 내산면 천보리 451번지 1호  ,충청남도 부여군 내산면 홍내로 269-36,2496,50000,2026-01-30
덕호목장,한우,한우,충청남도 부여군 장암면 지토리 5번지  ,,693,30,2026-01-30
중천농장,육계,육계,충청남도 부여군 충화면 천당리 53번지 2호  ,충청남도 부여군 충화면 팔충로732번길 80,2142,42000,2026-01-30
능산목장,한우,한우,충청남도 부여군 부여읍 능산리 475번지 1호  ,충청남도 부여군 부여읍 동문로 71-13,1300,40,2026-01-30
오메꼬꼬,육계,육계,충청남도 부여군 장암면 북고리 522번지 3호  ,충청남도 부여군 장암면 북고로 233-11,5945.61,80000,2026-01-30
백제양돈영농조합법인,돼지,돼지,충청남도 부여군 장암면 상황리 53번지 13호 외 8필지 ,,8047.14,8000,2026-01-30
점리농장,한우,한우,충청남도 부여군 임천면 점리 199번지 1호  ,,486.72,30,2026-01-30
농업회사법인 큐팜,메추리,메추리,충청남도 부여군 장암면 지토리 174번지 1호  ,충청남도 부여군 장암면 사동로태동3길 44,4610.5,750000,2026-01-30
문봉산 한우목장,한우,한우,충청남도 부여군 외산면 지선리 344번지  ,충청남도 부여군 외산면 지선로119번길 130,887.2,17,2026-01-30
부영농장,육계,육계,충청남도 부여군 부여읍 저석리 7번지 10호  ,충청남도 부여군 부여읍 삼충로743번길 4-9,1800,30000,2026-01-30
오성농장,육계,육계,충청남도 부여군 세도면 수고리 639번지 1호  ,충청남도 부여군 세도면 사동로264번길 86,2298,40000,2026-01-30
옥산농장,한우,한우,충청남도 부여군 옥산면 대덕리 54번지  ,,1060,118,2026-01-30
신우농장,한우,한우,충청남도 부여군 남면 회동리 222번지  ,충청남도 부여군 남면 회동로 103,2397.17,162,2026-01-30
규암하늘농장,한우,,충청남도 부여군 규암면 진변리 215번지 2호  ,,912,0,2026-01-30
문용농장,육계,,충청남도 부여군 홍산면 상천리 42번지 4호 외 1필지(42-5) ,,2508.57,0,2026-01-30
야곱한우농장,한우,한우,충청남도 부여군 홍산면 정동리 720번지 13호  ,,768,0,2026-01-30
동원농장,육계,육계,충청남도 부여군 홍산면 토정리 85번지  ,,1773,60000,2026-01-30
금암농장,육계,육계,충청남도 부여군 규암면 금암리 산 30번지 1호  ,,2532,38000,2026-01-30
금암목장,한우,한우,충청남도 부여군 규암면 금암리 236번지 2호  ,,495,29,2026-01-30
대원농장,육계,육계,충청남도 부여군 규암면 오수리 382번지 6호  ,충청남도 부여군 규암면 왕흥로139번길 66,2269.12,40000,2026-01-30
송간목장,한우,한우,충청남도 부여군 부여읍 송간리 268번지 5호  ,충청남도 부여군 부여읍 송간로74번길 16-7,874.4,40,2026-01-30
계림농장,육계,육계,충청남도 부여군 초촌면 세탑리 382번지 1호  ,충청남도 부여군 초촌면 세탑로 200,3190,56000,2026-01-30
민구농장,육계,,충청남도 부여군 부여읍 상금리 242번지 외7 ,충청남도 부여군 부여읍 송상로 248-10,4587.04,0,2026-01-30
규암목장,한우,한우,충청남도 부여군 규암면 나복리 362번지 13호  ,,440.64,15,2026-01-30
식송농장,한우,한우,충청남도 부여군 홍산면 조현리 113번지 25호  ,,516,65,2026-01-30
회동양계장,육계,육계,충청남도 부여군 남면 회동리 8번지 5호  ,충청남도 부여군 남면 남성로464번길 1-35,2400,0,2026-01-30
송이농장,육계,육계,충청남도 부여군 장암면 지토리 29번지 4호  ,,4950,60000,2026-01-30
동이농장,돼지,돼지,충청남도 부여군 옥산면 학산리 191번지  ,충청남도 부여군 옥산면 옥산북로 285,2015.88,1150,2026-01-30
부흥농장,한우,한우,충청남도 부여군 규암면 수목리 468번지 4호  ,충청남도 부여군 규암면 충의로169번길 49-62,3420,30,2026-01-30
형제목장,한우,한우,충청남도 부여군 은산면 거전리 39번지  ,,318.68,28,2026-01-30
무정리양계장,육계,육계,충청남도 부여군 홍산면 무정리 124번지 1호 외1(124-2) ,충청남도 부여군 홍산면 조무로 134,1480.56,30000,2026-01-30
부운팜,돼지,돼지,충청남도 부여군 홍산면 조현리 478번지 5호  ,충청남도 부여군 홍산면 조현로43번길 85-53,4933,350,2026-01-30
오메꼬꼬,육계,육계,충청남도 부여군 장암면 북고리 522번지 5호  ,충청남도 부여군 장암면 북고로 233-12,3235.64,55000,2026-01-30
오가피쑥농장,육계,육계,충청남도 부여군 홍산면 홍양리 191번지  ,,3418,50000,2026-01-30
남희농장,육계,육계,충청남도 부여군 세도면 동사리 산 59번지 1호  ,,1334.8,20000,2026-01-30
죽림농장,돼지,돼지,충청남도 부여군 세도면 동사리 725번지  ,,1494.5,2300,2026-01-30
당골농장,육계,육계,충청남도 부여군 세도면 동사리 57번지 1호  ,충청남도 부여군 세도면 세도로53번길 46-19,1357.2,20000,2026-01-30
안골농장,한우,한우,"충청남도 부여군 장암면 정암리 240 외2(239,569-16) ",충청남도 부여군 장암면 와요로 20-21,1035.03,103,2026-01-30
대양목장,한우,한우,충청남도 부여군 장암면 원문리 194번지 1호  ,충청남도 부여군 장암면 충절로 1895-9,2352.8,100,2026-01-30
왕림농장,한우,한우,충청남도 부여군 장암면 상황리 98번지  ,충청남도 부여군 장암면 위덕로623번길 80,1093.08,10,2026-01-30
정석목장,젖소,젖소,충청남도 부여군 장암면 지토리 산 38번지  ,충청남도 부여군 장암면 사동로태동3길 137,2164.86,85,2026-01-30
현수목장,한우,한우,충청남도 부여군 장암면 북고리 449번지  ,충청남도 부여군 장암면 북고로 347,1807,75,2026-01-30
병학목장,한우,한우,충청남도 부여군 남면 삼용리 393번지  ,충청남도 부여군 남면 삼용로 56-6,774,23,2026-01-30
학바위목장,한우,한우,충청남도 부여군 장암면 정암리 20번지  ,충청남도 부여군 장암면 와요로 41-41,625.4,40,2026-01-30
청송목장,한우,한우,충청남도 부여군 초촌면 신암리 549번지 2호  ,충청남도 부여군 초촌면 신암로133번길 27,1107.01,90,2026-01-30
맥우방농장,한우,한우,충청남도 부여군 은산면 가곡리 73번지 7호  ,충청남도 부여군 은산면 매화로7번길 15,1622.88,231,2026-01-30
동지원농장,한우,한우,충청남도 부여군 임천면 만사리 629-15 외1(629-14) ,,1542.78,154,2026-01-30
황금언덕,한우,한우,충청남도 부여군 남면 회동리 363번지  ,,1117.85,26,2026-01-30
비암농장,한우,한우,충청남도 부여군 외산면 비암리 304번지 1호  ,,759,22,2026-01-30
명현축산,돼지,돼지,충청남도 부여군 부여읍 송곡리 28번지  ,,2847,1500,2026-01-30
문신양계장,육계,육계,충청남도 부여군 외산면 문신리 250번지 1호  ,충청남도 부여군 외산면 문신로 131,3424,70000,2026-01-30
수연농장,한우,한우,"충청남도 부여군 외산면 문신리 46번지 ,47-1, 47-2 ",,390,16,2026-01-30
샬롬농장,육계,육계,충청남도 부여군 외산면 삼산리 117번지 3호  ,충청남도 부여군 외산면 삼산로 14-20,2134.69,38000,2026-01-30
중원농장,젖소,"한우, 젖소",충청남도 부여군 세도면 반조원리 541번지 1호  ,충청남도 부여군 세도면 세도로 347,3155.8,123,2026-01-30
상곡목장,한우,한우,충청남도 부여군 구룡면 죽교리 114번지 2호  ,,986.58,21,2026-01-30
이청목장,한우,,충청남도 부여군 구룡면 동방리 105번지 12호  ,,1225.88,0,2026-01-30
충화축산,한우,한우,"충청남도 부여군 충화면 현미리 84 외 6번지(84-1,84-2,84-3,85,86,87) ",충청남도 부여군 충화면 충신로 944-20,2746.4,189,2026-01-30
증산목장,한우,한우,충청남도 부여군 석성면 증산리 969번지  ,충청남도 부여군 석성면 종북로 180,3388,150,2026-01-30
서화목장,한우,한우,충청남도 부여군 장암면 북고리 444번지  ,충청남도 부여군 장암면 북고로 321,1732,100,2026-01-30
강성목장,젖소,젖소,충청남도 부여군 남면 내곡리 530번지  ,충청남도 부여군 남면 금천로318번길 57-22,2658.2,66,2026-01-30
환희농장,한우,한우,충청남도 부여군 홍산면 북촌리 296번지  ,충청남도 부여군 홍산면 북촌로16번길 16-6,516.46,15,2026-01-30
