연번,농장구분,소재지,한우,젖소,육우,데이터기준일
1,개인,충청남도 청양군 목면 화양리 1051-1,123,0,0,2026-05-18
2,개인,충청남도 청양군 장평면 구룡리 74-1,96,0,0,2026-05-18
3,개인,충청남도 청양군 청양읍 청수리 377-1,26,0,0,2026-05-18
4,개인,충청남도 청양군 비봉면 사점리 144,4,0,0,2026-05-18
5,개인,충청남도 청양군 장평면 은곡리 667-5,14,0,0,2026-05-18
6,개인,충청남도 청양군 대치면 탄정리 202,4,0,0,2026-05-18
7,개인,충청남도 청양군 남양면 온암리 361,3,0,0,2026-05-18
8,개인,충청남도 청양군 목면 화양리 188,10,0,0,2026-05-18
9,개인,충청남도 청양군 비봉면 신원리 399,35,0,0,2026-05-18
10,개인,충청남도 청양군 정산면 신덕리 198,0,0,0,2026-05-18
11,개인,충청남도 청양군 정산면 용두리 448-4,24,0,0,2026-05-18
12,개인,충청남도 청양군 정산면 대박리 208-1,4,0,0,2026-05-18
13,개인,충청남도 청양군 정산면 신덕리 173-12,9,0,0,2026-05-18
14,개인,충청남도 청양군 정산면 해남리 424-1,0,0,0,2026-05-18
15,개인,충청남도 청양군 화성면 구재리 209-2,23,0,0,2026-05-18
16,개인,충청남도 청양군 청남면 대흥리 224,63,0,0,2026-05-18
17,개인,충청남도 청양군 운곡면 후덕리 114-5,3,0,0,2026-05-18
18,개인,충청남도 청양군 운곡면 신대리 37-2,6,0,0,2026-05-18
19,개인,충청남도 청양군 청양읍 청수리 534,89,0,0,2026-05-18
20,개인,충청남도 청양군 장평면 화산리 366,46,0,0,2026-05-18
21,개인,충청남도 청양군 장평면 은곡리 385,0,0,0,2026-05-18
22,개인,충청남도 청양군 청남면 청소리 430,33,0,0,2026-05-18
23,개인,충청남도 청양군 남양면 구룡리 497,2,0,0,2026-05-18
24,개인,충청남도 청양군 청남면 대흥리 616,108,0,0,2026-05-18
25,개인,충청남도 청양군 장평면 은곡리 585,0,0,0,2026-05-18
26,개인,충청남도 청양군 대치면 수석리 15-2,27,0,0,2026-05-18
27,개인,충청남도 청양군 장평면 구룡리 73-18,148,0,0,2026-05-18
28,개인,충청남도 청양군 운곡면 영양리 1269-3,83,0,0,2026-05-18
29,개인,충청남도 청양군 운곡면 후덕리 401-2,14,0,0,2026-05-18
30,개인,충청남도 청양군 청남면 상장리 3,70,0,0,2026-05-18
31,개인,충청남도 청양군 장평면 구룡리 71-15,111,0,0,2026-05-18
32,개인,충청남도 청양군 목면 화양리 1041-4,103,0,0,2026-05-18
33,개인,충청남도 청양군 비봉면 용천리 538-7,64,0,0,2026-05-18
34,개인,충청남도 청양군 목면 본의리 280-2,2,0,0,2026-05-18
35,개인,충청남도 청양군 장평면 적곡리 661,13,0,0,2026-05-18
36,개인,충청남도 청양군 목면 송암리 284,5,0,0,2026-05-18
37,개인,충청남도 청양군 장평면 화산리 123-3,13,0,0,2026-05-18
38,개인,충청남도 청양군 정산면 남천리 359-2,11,0,0,2026-05-18
39,개인,충청남도 청양군 비봉면 신원리 746-1,41,0,0,2026-05-18
40,개인,충청남도 청양군 비봉면 양사리 215,57,0,0,2026-05-18
