순번,농가명,주소,사육두수,사육업종
1,최○○농장,충청북도 보은군 내북면 대안리,89,한우
2,변○○농장,충청북도 보은군 내북면 대안리,80,한우
3,이○○농장,충청북도 보은군 내북면 대안리,22,한우
4,최○○농장,충청북도 보은군 내북면 도원리,17,한우
5,이○○농장,충청북도 보은군 내북면 도원리,7,한우
6,김○○농장,충청북도 보은군 내북면 동산리,3,한우
7,이○○농장,충청북도 보은군 내북면 동산리,3,한우
8,백○○농장,충청북도 보은군 내북면 두평리,24,한우
9,김○○농장,충청북도 보은군 내북면 두평리,20,한우
10,천○○농장,충청북도 보은군 내북면 두평리,181,한우
11,천○○농장,충청북도 보은군 내북면 두평리,24,한우
12,홍○○농장,충청북도 보은군 내북면 법주리,41,한우
13,유○○농장,충청북도 보은군 내북면 법주리,60,한우
14,박○○농장,충청북도 보은군 내북면 법주리,105,한우
15,김○○농장,충청북도 보은군 내북면 법주리,22,한우
16,정○○농장,충청북도 보은군 내북면 법주리,9,한우
17,노○○농장,충청북도 보은군 내북면 봉황리,18,한우
18,이○○농장,충청북도 보은군 내북면 봉황리,133,한우
19,허○○농장,충청북도 보은군 내북면 봉황리,43,한우
20,이○○농장,충청북도 보은군 내북면 상궁리,84,한우
21,김○○농장,충청북도 보은군 내북면 상궁리,16,한우
22,김○○농장,충청북도 보은군 내북면 성티리,33,한우
23,이○○농장,충청북도 보은군 내북면 세촌리,11,한우
24,김○○농장,충청북도 보은군 내북면 세촌리,2,한우
25,최○○농장,충청북도 보은군 내북면 신궁리,2,한우
26,이○○농장,충청북도 보은군 내북면 이원리,6,한우
27,유○○농장,충청북도 보은군 내북면 이원리,12,한우
28,송○○농장,충청북도 보은군 내북면 적음리,86,한우
29,송○○농장,충청북도 보은군 내북면 적음리,24,한우
30,김○○농장,충청북도 보은군 내북면 적음리,1,한우
31,이○○농장,충청북도 보은군 내북면 적음리,2,한우
32,이○○농장,충청북도 보은군 내북면 적음리,5,한우
33,서○○농장,충청북도 보은군 내북면 적음리,61,한우
34,최○○농장,충청북도 보은군 내북면 적음리,198,한우
35,최○○농장,충청북도 보은군 내북면 적음리,224,한우
36,최○○농장,충청북도 보은군 내북면 적음리,35,한우
37,김○○농장,충청북도 보은군 내북면 창리,10,한우
