연번,행정동명,주사육업종,사육두수,데이터기준일
1,옥천읍,돼지,0,2025-09-10
2,옥천읍,산란계,138700,2025-09-10
3,옥천읍,육계,0,2025-09-10
4,옥천읍,젖소,191,2025-09-10
5,옥천읍,한우,8696,2025-09-10
6,동이면,돼지,0,2025-09-10
7,동이면,산란계,167660,2025-09-10
8,동이면,육계,0,2025-09-10
9,동이면,젖소,0,2025-09-10
10,동이면,한우,4960,2025-09-10
11,안남면,돼지,0,2025-09-10
12,안남면,산란계,101040,2025-09-10
13,안남면,육계,0,2025-09-10
14,안남면,젖소,0,2025-09-10
15,안남면,한우,1216,2025-09-10
16,안내면,돼지,0,2025-09-10
17,안내면,산란계,173483,2025-09-10
18,안내면,육계,0,2025-09-10
19,안내면,젖소,133,2025-09-10
20,안내면,한우,1253,2025-09-10
21,청성면,돼지,1200,2025-09-10
22,청성면,산란계,174430,2025-09-10
23,청성면,육계,61000,2025-09-10
24,청성면,젖소,130,2025-09-10
25,청성면,한우,978,2025-09-10
26,청산면,돼지,11985,2025-09-10
27,청산면,산란계,0,2025-09-10
28,청산면,육계,0,2025-09-10
29,청산면,젖소,0,2025-09-10
30,청산면,한우,1764,2025-09-10
31,이원면,돼지,4450,2025-09-10
32,이원면,산란계,0,2025-09-10
33,이원면,육계,0,2025-09-10
34,이원면,젖소,0,2025-09-10
35,이원면,한우,2174,2025-09-10
36,군서면,돼지,0,2025-09-10
37,군서면,산란계,0,2025-09-10
38,군서면,육계,0,2025-09-10
39,군서면,젖소,0,2025-09-10
40,군서면,한우,877,2025-09-10
41,군북면,돼지,0,2025-09-10
42,군북면,산란계,0,2025-09-10
43,군북면,육계,0,2025-09-10
44,군북면,젖소,0,2025-09-10
45,군북면,한우,732,2025-09-10
