사업장명칭,등록축종,사업장소재지(지번),사업장소재지(도로명),사육두수,동수,면적,데이터기준일자
한양그린농장,한우,충청북도 음성군 소이면 충도리 538번지 1호  ,충청북도 음성군 소이면 충도로 243-52,103 ,4 ,1830 ,2024-08-24
물레방아농장,한우,충청북도 음성군 삼성면 선정리 489번지 2호  ,충청북도 음성군 삼성면 대성로 352-11,152 ,4 ,1088 ,2024-08-24
대성목장,한우,"충청북도 음성군 소이면 후미리 423번지 외 426,294,295-1 ","충청북도 음성군 소이면 후삼로158번길 125 (외 426,294,295-1)",250 ,7 ,3640 ,2024-08-24
철호농장,한우,충청북도 음성군 소이면 봉전리 138번지 2호  ,충청북도 음성군 소이면 봉전길 31,50 ,2 ,682 ,2024-08-24
거산목장,한우,충청북도 음성군 소이면 충도리 1305번지  ,충청북도 음성군 소이면 충도로 112,21 ,2 ,707 ,2024-08-24
세연농장,오리,충청북도 음성군 소이면 비산리 1003번지 1호  ,충청북도 음성군 소이면 충청대로 1780-39,12500 ,4 ,3081 ,2024-08-24
대자축산,돼지,충청북도 음성군 삼성면 덕정리 166번지  ,충청북도 음성군 삼성면 대덕로 63-49,4300 ,6 ,7515 ,2024-08-24
한삼농장,돼지,충청북도 음성군 금왕읍 삼봉리 300번지  ,충청북도 음성군 금왕읍 유삼길50번길 8-23,1730 ,8 ,2423 ,2024-08-24
옥야농장,돼지,충청북도 음성군 금왕읍 호산리 79번지  ,충청북도 음성군 금왕읍 생삼로 528,500 ,4 ,455 ,2024-08-24
연제축산,돼지,충청북도 음성군 삼성면 천평리 763번지 8호  ,충청북도 음성군 삼성면 새미실길45번길 80-3,4000 ,18 ,4658 ,2024-08-24
삼성농장,돼지,충청북도 음성군 삼성면 천평리 235번지 1호  ,충청북도 음성군 삼성면 대성로 280,1500 ,5 ,1465 ,2024-08-24
서림농장,돼지,충청북도 음성군 삼성면 덕정리 1024번지 7호  ,충청북도 음성군 삼성면 대성로 449,2800 ,4 ,3133 ,2024-08-24
창우목장,한우,충청북도 음성군 음성읍 초천리 20번지 3호  ,충청북도 음성군 음성읍 하초로 287,32 ,2 ,635 ,2024-08-24
소터농장,한우,충청북도 음성군 음성읍 석인리 244번지 1호  ,충청북도 음성군 음성읍 새말길 7-37,30 ,2 ,348 ,2024-08-24
근훈농장,한우,충청북도 음성군 소이면 비산리 729번지  ,충청북도 음성군 소이면 충청대로 1822-18,37 ,1 ,904 ,2024-08-24
용진목장,한우,충청북도 음성군 금왕읍 용계리 89번지 4호  ,충청북도 음성군 금왕읍 신개천로 78-3,100 ,3 ,1344 ,2024-08-24
우실목장,젖소,충청북도 음성군 감곡면 오향리 126번지 1호  ,충청북도 음성군 감곡면 영산로 329,45 ,4 ,816 ,2024-08-24
초원목장,젖소,충청북도 음성군 감곡면 원당리 261번지  ,충청북도 음성군 감곡면 원당길 101,69 ,4 ,793 ,2024-08-24
마산목장,젖소,충청북도 음성군 맹동면 마산리 38번지  ,,42 ,4 ,824 ,2024-08-24
삼부자목장,,충청북도 음성군 금왕읍 금석리 407번지 3호  ,충청북도 음성군 금왕읍 돌머루길 18-7,0 ,1 ,480 ,2024-08-24
천운목장,한우,충청북도 음성군 소이면 금고리 497번지  ,충청북도 음성군 소이면 금고길 43,50 ,4 ,1219 ,2024-08-24
상촌농장,종계/산란계,충청북도 음성군 소이면 중동리 848번지  ,충청북도 음성군 소이면 중동길168번길 22,6000 ,9 ,935 ,2024-08-24
하늘목장,한우,충청북도 음성군 소이면 후미리 349번지  ,충청북도 음성군 소이면 후삼로158번길 115,60 ,3 ,634 ,2024-08-24
음성축산,한우,충청북도 음성군 소이면 대장리 205번지  ,충청북도 음성군 소이면 소이로233번길 18-41,50 ,4 ,939 ,2024-08-24
선도목장,젖소,충청북도 음성군 소이면 비산리 685번지  ,충청북도 음성군 소이면 충청대로 1822-22,93 ,5 ,1820 ,2024-08-24
푸른목장,젖소,충청북도 음성군 원남면 상노리 526번지  ,충청북도 음성군 원남면 상노길106번길 23-33,80 ,5 ,1235 ,2024-08-24
늘푸른한우,한우,충청북도 음성군 금왕읍 봉곡리 182번지 외 2필지 ,,70 ,2 ,1446 ,2024-08-24
영화목장,한우,충청북도 음성군 금왕읍 내송리 412번지  ,충청북도 음성군 금왕읍 금일로191번길 54-19,60 ,1 ,962 ,2024-08-24
산막골농장,한우,충청북도 음성군 금왕읍 호산리 604번지 1호  ,충청북도 음성군 금왕읍 생삼로 624-10,100 ,1 ,1140 ,2024-08-24
유일농장,돼지,충청북도 음성군 생극면 임곡리 107번지 1호 외 12필지 ,충청북도 음성군 생극면 임곡길209번길 18,4000 ,12 ,4503 ,2024-08-24
초원농장,한우,충청북도 음성군 삼성면 대야리 426번지  ,충청북도 음성군 삼성면 대야길43번길 19-7,34 ,1 ,677 ,2024-08-24
나래농장,한우,충청북도 음성군 삼성면 대정리 372번지  ,충청북도 음성군 삼성면 대덕로 224,93 ,3 ,893 ,2024-08-24
금원목장,한우,충청북도 음성군 원남면 문암리 760번지 1호  ,,4 ,3 ,893 ,2024-08-24
상우목장,한우,"충청북도 음성군 금왕읍 각회리 276번지 1호 ,276 ",충청북도 음성군 금왕읍 각구실길223번길 34,106 ,3 ,1068 ,2024-08-24
