연번,사업장명칭,주사육업종,사육두수,데이터기준일자
1,아름농장,돼지,3447,2026-01-26
2,지민농장,돼지,1373,2026-01-26
3,대영농장,돼지,2000,2026-01-26
4,대원축산,돼지,1312,2026-01-26
5,애련농장,돼지,800,2026-01-26
6,영일농장,돼지,1911,2026-01-26
7,진솔5팜,돼지,1875,2026-01-26
8,적덕농장,돼지,1555,2026-01-26
9,오형제농장,돼지,3786,2026-01-26
10,마루축산,돼지,41,2026-01-26
11,이레농장,돼지,2226,2026-01-26
12,송왕농장,돼지,1928,2026-01-26
13,부성농장,"한우, 돼지",212,2026-01-26
14,선경농장,돼지,2090,2026-01-26
15,보래농장,돼지,1393,2026-01-26
16,성림양돈,돼지,1693,2026-01-26
17,원목장,한우,70,2026-01-26
18,둥지목장,한우,34,2026-01-26
19,뉴플러스농장,한우,50,2026-01-26
20,나강농장,한우,40,2026-01-26
21,승리봉농장,한우,87,2026-01-26
22,해찬농장,한우,350,2026-01-26
23,수산축산,한우,97,2026-01-26
24,터골농장,한우,59,2026-01-26
25,민호축산,한우,50,2026-01-26
26,형제농장,한우,87,2026-01-26
27,부부축산,한우,8,2026-01-26
28,두학농장,한우,110,2026-01-26
29,영광목장,한우,111,2026-01-26
30,명도농장,한우,70,2026-01-26
31,현창농장,한우,60,2026-01-26
32,부자축산,한우,43,2026-01-26
33,백운한우농장,한우,228,2026-01-26
34,대경농장,한우,20,2026-01-26
35,제천축산,한우,102,2026-01-26
36,창윤농장,한우,150,2026-01-26
37,조은농장,한우,115,2026-01-26
38,경동목장,한우,100,2026-01-26
39,모정축산,한우,25,2026-01-26
40,광영축산,한우,11,2026-01-26
41,백모농장,한우,8,2026-01-26
42,초원농장,한우,272,2026-01-26
43,보우농장,한우,90,2026-01-26
44,희재농장,한우,62,2026-01-26
45,은하목장,한우,100,2026-01-26
46,성재농장,한우,88,2026-01-26
47,장원농장,한우,56,2026-01-26
48,대성농장,한우,140,2026-01-26
49,동하축산,한우,6,2026-01-26
50,동석농장,한우,80,2026-01-26
51,무도목장,한우,59,2026-01-26
52,청풍호청정한우농장,한우,292,2026-01-26
53,노력목장,한우,150,2026-01-26
54,나의종합축산,한우,80,2026-01-26
55,양화목장,한우,70,2026-01-26
56,행운농장,한우,22,2026-01-26
57,명지축산,한우,59,2026-01-26
58,부활농장,한우,42,2026-01-26
59,의림축산,한우,20,2026-01-26
60,명예농장,한우,84,2026-01-26
61,한우리농장,한우,68,2026-01-26
62,영운목장,한우,50,2026-01-26
63,지선목장,한우,19,2026-01-26
64,대랑목장,한우,280,2026-01-26
65,정호축산,한우,30,2026-01-26
66,장락축산,한우,50,2026-01-26
67,대원축산,한우,40,2026-01-26
68,제일목장,한우,32,2026-01-26
69,황토농장,한우,60,2026-01-26
70,호영농장,한우,47,2026-01-26
71,동광목장,한우,38,2026-01-26
72,관식농장,한우,25,2026-01-26
73,한솔농장,한우,19,2026-01-26
74,개미농장,한우,100,2026-01-26
75,구곡농장,한우,28,2026-01-26
76,재형농장,한우,50,2026-01-26
77,정훈농장,한우,35,2026-01-26
78,월림농장,한우,14,2026-01-26
79,경원농장,한우,138,2026-01-26
