농장명,농장 소재지,품종,데이터기준일자,영업상태
꼬끼오농장,충청북도 제천시 봉양읍 명도리 490-1,육계,2026-01-12,영업
상남농장,충청북도 제천시 봉양읍 장평리 10-1,육계,2026-01-12,영업
봉양농장,충청북도 제천시 봉양읍 장평리 71,육계,2026-01-12,폐업
올계농장,충청북도 제천시 봉양읍 장평리 402-1,육계,2026-01-12,영업
무릉농장,충청북도 제천시 금성면 구룡리 390,육계,2026-01-12,영업
반석농원,충청북도 제천시 금성면 동막리 산 126,육계,2026-01-12,폐업
꼬꼬마니,충청북도 제천시 금성면 양화리 375-1,육계,2026-01-12,영업
제천농장,충청북도 제천시 금성면 양화리 737,중추,2026-01-12,폐업
보성농장,충청북도 제천시 청풍면 양평리 7,육계,2026-01-12,영업
율지농장,충청북도 제천시 수산면 율지리 57,육계,2026-01-12,영업
송제농원,충청북도 제천시 수산면 적곡리 12-1,육계,2026-01-12,영업
우리농장,충청북도 제천시 백운면 모정리 353-5,산란계,2026-01-12,폐업
강희농장,충청북도 제천시 백운면 모정리 363-2,산란계,2026-01-12,영업
용두축산,충청북도 제천시 송학면 도화리 509-1,육계,2026-01-12,폐업
도화축산,충청북도 제천시 송학면 도화리 832,육계,2026-01-12,폐업
의람농장,충청북도 제천시 송학면 도화리 847,육계,2026-01-12,폐업
거성농장,충청북도 제천시 흑석동 36-3,육계,2026-01-12,영업
박달육계,충청북도 제천시 고명동 250,육계,2026-01-12,폐업
