연번,사업장명칭,축종,사업장소재지,사육면적(제곱미터)
1,양산농장,한우,충청북도 진천군 초평면 용기리 732번지  ,244
2,강**농장,돼지,충청북도 진천군 백곡면 구수리 506번지 1호  ,921
3,송가네농장,돼지,충청북도 진천군 이월면 미잠리 298번지  ,1864
4,형제종축,돼지,충청북도 진천군 문백면 옥성리 119번지  ,2640
5,큰사람농장,돼지,충청북도 진천군 초평면 용산리 30번지  ,2660
6,갈미농장,종계/산란계,충청북도 진천군 이월면 중산리 549번지 1호 갈미농장 ,5040
7,석장농장,돼지,충청북도 진천군 덕산읍 석장리 330번지 3호  ,2861
8,대원농장,돼지,충청북도 진천군 문백면 계산리 121번지 외 122-9번지 ,5821
9,윤일농장,육계,충청북도 진천군 덕산읍 화상리 378번지 2호  ,2927
10,양촌농장,종계/산란계,충청북도 진천군 덕산읍 구산리 192번지 1호  ,3459
11,장곡농장,육계,충청북도 진천군 진천읍 행정리 197번지 1호  ,3333
12,규해농장,육계,충청북도 진천군 진천읍 행정리 357번지  ,980
13,수지농장,한우,"충청북도 진천군 덕산읍 화상리 486번지 18호 , 486-1, 486-11, 486-12 ",4072
14,농업회사법인(주)동일농장 이월지점,종계/산란계,충청북도 진천군 이월면 미잠리 250번지  ,2343
15,지구목장,한우,충청북도 진천군 백곡면 사송리 790번지  ,290
16,농업회사법인(주)다산육종 지암농장,돼지,충청북도 진천군 진천읍 지암리 642번지 9호  ,2640
17,충선목장,젖소,충청북도 진천군 백곡면 갈월리 273번지  ,2310
18,현승목장,젖소,"충청북도 진천군 백곡면 사송리 586번지 ,587,588 ",1578
19,가보농장,돼지,충청북도 진천군 백곡면 구수리 496번지  ,4521
20,백삼농장,젖소,충청북도 진천군 백곡면 용덕리 88번지 2호  ,792
21,구희농장,돼지,충청북도 진천군 진천읍 지암리 614번지  ,3144
22,여명농장,육계,충청북도 진천군 백곡면 대문리 583번지  ,2334
23,정우농장,종계/산란계,충청북도 진천군 이월면 삼용리 164번지 1호  ,2348
24,한터농장,육계,충청북도 진천군 덕산읍 화상리 203번지  ,1574
25,삼부농장,돼지,충청북도 진천군 덕산읍 화상리 356번지  ,1572
26,용강농장,한우,충청북도 진천군 초평면 용산리 297번지  ,1003
27,하백목장,한우,충청북도 진천군 백곡면 양백리 233번지 3호  ,495
28,용몽농장,육계,충청북도 진천군 덕산읍 용몽리 276번지 양계장 ,1782
29,성산농장,돼지,충청북도 진천군 덕산읍 신척리 361번지  ,4333
30,비에스에코팜,종계/산란계,충청북도 진천군 덕산읍 인산리 701번지  ,1728
31,구암농장,한우,충청북도 진천군 초평면 용기리 808번지  ,198
32,용정농장,한우,충청북도 진천군 초평면 용정리 376번지  ,360
33,용동목장,한우,충청북도 진천군 초평면 신통리 304번지  ,329
34,대영농장,돼지,"충청북도 진천군 초평면 용기리 759번지 외 4필지(391, 749-3, 716-1, 1007-3) ",3009
