축종,주덕읍,살미면,수안보면,대소원면,신니면,노은면,앙성면,중앙탑면,금가면,동량면,산척면,엄정면,소태면,성내충인동,교현안림동,교현2동,용산동,지현동,문화동,호암직동,달천동,봉방동,칠금금릉동,연수동,목행용탄동
한육우 농가수,3,0,0,0,0,0,1,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
한육우 두수,11,0,0,0,0,0,114,61,0,75,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0
한우 농가수,113,27,11,76,67,20,9,25,68,47,20,36,11,0,0,0,0,0,0,0,23,2,0,1,1
한우 두수,5860,867,254,1741,2829,634,490,1081,2924,1931,740,1857,304,0,0,0,0,0,0,0,867,77,0,19,15
젖소 농가수,3,0,0,0,7,1,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
젖소 두수,284,0,0,0,580,40,0,212,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0
돼지 농가수,9,1,0,1,6,1,2,3,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
돼지 두수,23988,5096,0,1157,18582,1627,2813,16391,2118,3305,13643,1100,2250,0,0,0,0,0,0,0,0,0,0,0,0
닭 농가수,48,92,77,19,24,2,79,2,44,104,26,85,4,0,8,0,0,0,0,17,0,1,6,6,5
닭 수수,424680,96793,143004,351,144689,52891,221243,62710,43908,85074,177273,221515,737378,0,165,0,0,0,0,144,0,42000,108,86,51
오리 농가수,0,0,2,1,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
오리 수수,0,0,9,0,0,0,33000,0,0,5948,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
염소 농가수,25,10,11,45,13,13,13,5,54,20,23,20,9,0,3,0,0,0,0,2,11,0,0,2,2
염소 두수,855,460,382,1849,978,220,200,65,1487,823,1482,905,95,0,35,0,0,0,0,40,623,0,0,42,190
면양 농가수,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
면양 두수,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
사슴 농가수,2,1,1,1,0,1,0,1,3,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
사슴 두수,9,25,2,2,0,36,0,37,44,12,3,68,7,0,0,0,0,0,0,0,0,0,0,0,0
토끼 농가수,5,7,9,13,3,1,2,3,12,8,2,4,2,0,0,0,0,0,0,0,1,0,0,0,0
토끼 두수,40,7,50,114,16,17,9,5,93,82,23,23,31,0,0,0,0,0,0,0,10,0,0,0,0
개 농가수,2,0,0,0,135,154,185,1,169,0,0,1,156,0,0,0,0,0,0,0,0,0,2,0,0
개 두수,530,0,0,0,217,281,453,1500,433,0,0,610,261,0,0,0,0,0,0,0,0,0,38,0,0
칠면조 농가수,0,0,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
칠면조 수수,0,0,0,0,0,2,7,2,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0
거위 농가수,0,0,5,0,0,1,5,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
거위 수수,0,0,15,0,0,3,38,0,0,1,2,6,7,0,0,0,0,0,0,0,0,0,0,0,0
꿀벌 농가수,23,40,61,44,21,9,39,7,17,21,31,31,13,1,23,10,9,6,10,17,26,11,6,14,7
꿀벌 군수,1439,4250,2970,2790,1631,637,2224,585,2421,1631,2341,1744,1249,30,1821,956,793,586,788,1259,1467,827,763,2985,878
관상조 농가수,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
관상조 수수,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0
꿩 농가수,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
꿩 수수,0,0,3007,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,0
타조 농가수,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
타조 수수,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
지렁이 농가수,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
지렁이 면적,1,0,0,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
기러기 농가수,0,0,0,0,1,1,7,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
기러기 두수,0,0,0,0,50,8,83,0,0,0,5,8,11,0,0,0,0,0,0,0,0,0,0,0,0
