사업장명칭,주사육업종,사업장소재지(도로명),사육두수
김**축사,한우,충청북도 증평군 증평읍 서당골길 20-1,47
이**축사,한우,충청북도 증평군 증평읍 영천길 39,5
반탄농장,돼지,충청북도 증평군 증평읍 영천길 30,1000
증평영농조합법인,종계/산란계,"충청북도 증평군 증평읍 협업단지길 19, 증평협업위탁영농",11400
대성축산영농조합법인,돼지,충청북도 증평군 도안면 뇌실길 24,14000
승봉축사,한우,충청북도 증평군 도안면 탑골길 4-25,45
새마을농장,한우,충청북도 증평군 증평읍 광장로 259-102,50
효*농장,한우,충청북도 증평군 증평읍 탑바위길 44,18
이슬농장,한우,충청북도 증평군 증평읍 정복골길 9,4
일신농장,한우,충청북도 증평군 증평읍 영천길 4-29,50
샘터농장,젖소,충청북도 증평군 증평읍 금곡길 17,60
가돈농장,돼지,충청북도 증평군 증평읍 칠보로 89,610
우리농장,돼지,충청북도 증평군 증평읍 영천길 14-10,400
대원농장,돼지,충청북도 증평군 증평읍 삽사리길 85-57,1500
덕*농장,한우,충청북도 증평군 증평읍 초정약수로 1029,10
순서농장,한우,충청북도 증평군 도안면 탑골길 4-11,60
심우농장,한우,충청북도 증평군 도안면 탑골길 110,198
후창목장,젖소,충청북도 증평군 도안면 입장길 111,29
대명목장,한우,충청북도 증평군 도안면 통미1길 25,65
통미목장,젖소,충청북도 증평군 도안면 탑골길 4-47,164
농업회사법인 (주)명계 증평지점,종계/산란계,충청북도 증평군 증평읍 연정길 13,28296
푸른목장,한우,충청북도 증평군 도안면 충청대로 2495,64
연기농장,한우,충청북도 증평군 도안면 상그린로 64,10
세일농장,한우,충청북도 증평군 도안면 뇌실1길 29-6,62
석곡농장,돼지,충청북도 증평군 도안면 산정길 66 (외 8필지),2000
서*목장,한우,충청북도 증평군 도안면 상그린로 62-27,20
학사농장,젖소,충청북도 증평군 도안면 송정리 146번지 14호  ,13
에덴목장,젖소,충청북도 증평군 도안면 인삼로 751-1,55
*호농장,한우,"충청북도 증평군 도안면 은행정길 22-1 (51-2, 51-4, 53번지)",0
정*농장,한우,충청북도 증평군 도안면 석곡길 111,40
병*농장,육계,충청북도 증평군 도안면 석곡길 52,30000
방곡농장,한우,충청북도 증평군 증평읍 사곡로 260-1,50
삼보농장,한우,충청북도 증평군 증평읍 남하길 187,25
영*농장,한우,"충청북도 증평군 증평읍 수현1길 17-13 (196-3, 185)",20
유*농장,돼지,충청북도 증평군 증평읍 외룡길 32-184,1500
진*농장,한우,충청북도 증평군 도안면 원명로 126-25,50
도안닭집농장,육계,충청북도 증평군 도안면 석곡리 184번지  ,15000
산*농장,한우,충청북도 증평군 도안면 원명로 10-51,50
수*농장,한우,충청북도 증평군 증평읍 사곡로 179-174,167
준*농장,한우,충청북도 증평군 도안면 석곡리 394번지 1호  ,0
상*농장,한우,충청북도 증평군 증평읍 덕상로 161,40
죽리농장,한우,충청북도 증평군 증평읍 원평길 143-6,0
종*농장,한우,충청북도 증평군 도안면 광덕리 316번지 2호 197 ,60
연*농장,한우,충청북도 증평군 도안면 인삼로 719-121 (480-1),80
봉*농장,한우,충청북도 증평군 증평읍 곡강길 82,11
정v농장,한우,충청북도 증평군 증평읍 광장로 259-62,0
정*농장,한우,충청북도 증평군 도안면 텃골길 55-41,79
철*농장,한우,충청북도 증평군 도안면 연암길 140,40
규*농장,한우,충청북도 증평군 도안면 탑골길 4-29 (외1필지),64
경*농장,한우,충청북도 증평군 도안면 탑골길 28 (외 339-1),89
발*농장,한우,충청북도 증평군 도안면 상그린로 128,12
진*농장,한우,충청북도 증평군 도안면 상그린로 220,27
행원농장,한우,충청북도 증평군 도안면 상모산길 22 (외1필지),32
시온성목장,한우,충청북도 증평군 도안면 텃골길 55-83,44
두레농장,한우,충청북도 증평군 증평읍 덕상로 60,11
송산리양계장,육계,충청북도 증평군 증평읍 삽사리길 30,40000
입장농장,한우,충청북도 증평군 도안면 입장길 97,21
덕회농장,한우,충청북도 증평군 증평읍 원평길 174-8,16
연** 농장,한우,충청북도 증평군 도안면 석화길 59,20
대창농장,한우,충청북도 증평군 증평읍 사곡로 179-138,81
금현목장,한우,충청북도 증평군 도안면 노암로 166,3
청광축산,한우,충청북도 증평군 도안면 천광길 47-28,13
OK농장,한우,충청북도 증평군 도안면 인삼로 665,9
경*농장,한우,충청북도 증평군 증평읍 모래재로 22-181,49
대운농장,돼지,충청북도 증평군 증평읍 영천길 24,400
그린목장,한우,충청북도 증평군 도안면 석곡길 116,11
상그린 염소농장,염소,충청북도 증평군 도안면 상그린로 108-19 (21),400
서당골농장,한우,충청북도 증평군 증평읍 남하길 139,10
궁전농장,한우,충청북도 증평군 증평읍 사곡리 787번지  ,21
파란축사,한우,충청북도 증평군 증평읍 안골길 32-22,14
일희농장,한우,충청북도 증평군 증평읍 상평길 28-24,5
명*농장,한우,충청북도 증평군 증평읍 연탄리 494번지 3호  ,4
웰빙오리촌,한우,충청북도 증평군 증평읍 수현1길 27-12,2
기*농장,염소,충청북도 증평군 도안면 남촌길 24,8
일월농장,한우,충청북도 증평군 증평읍 덕상리 406번지  ,5
원*농장,한우,충청북도 증평군 도안면 광덕리 236번지  ,5
건*농장,한우,충청북도 증평군 증평읍 정복골길 37-1,2
