시도,시군구,농장명,축종,지번주소,도로명주소,읍면,사육두수,동수,면적,위도,경도,기준일자,원본파일
강원도,영월군,,,중동면 녹전리 322,,,90,,,,,20210407,강원도 영월군_영월군 양돈농가 현황_20210407.csv
강원도,영월군,,,김삿갓면 예밀리 67,,,2000,,,,,20210407,강원도 영월군_영월군 양돈농가 현황_20210407.csv
강원도,영월군,,,북면 연덕리 620,,,1100,,,,,20210407,강원도 영월군_영월군 양돈농가 현황_20210407.csv
강원도,영월군,,,남면 연당리 270-5,,,160,,,,,20210407,강원도 영월군_영월군 양돈농가 현황_20210407.csv
강원도,영월군,,,주천면 용석리 1623-1,,,394,,,,,20210407,강원도 영월군_영월군 양돈농가 현황_20210407.csv
강원도,영월군,,,무릉도원면 운학리 1311-2,,,170,,,,,20210407,강원도 영월군_영월군 양돈농가 현황_20210407.csv
강원도,태백시,수한촌농장,,강원도 태백시 사군드리길 170-16(동점동),,,216,,,,,2021-04-09,"강원도 태백시_양돈농가 주소, 사업장 명칭 및 사육두수_20210409.csv"
강원도,태백시,학 농장,,강원도 태백시 서학로 865-1(황지동),,,803,,,,,2021-04-09,"강원도 태백시_양돈농가 주소, 사업장 명칭 및 사육두수_20210409.csv"
강원도,태백시,번영농장,,강원도 태백시 사배리길 60-56(문곡동),,,921,,,,,2021-04-09,"강원도 태백시_양돈농가 주소, 사업장 명칭 및 사육두수_20210409.csv"
강원특별자치도,강릉시,명인농장,돼지,강원특별자치도 강릉시 강동면 모전리 260번지 8호,강원특별자치도 강릉시 강동면 아래장작골길 100,,3000,10,2808,,,2026-02-03,강원특별자치도 강릉시_양돈_20260203.csv
강원특별자치도,강릉시,모전농장,돼지,강원특별자치도 강릉시 강동면 모전리 675번지 2호,,,2500,12,2565.7,,,2026-02-03,강원특별자치도 강릉시_양돈_20260203.csv
강원특별자치도,강릉시,태완농장,돼지,"강원특별자치도 강릉시 강동면 모전리 109번지 (111,112,113,114)",강원특별자치도 강릉시 강동면 임곡로 154-54,,2000,5,1732,,,2026-02-03,강원특별자치도 강릉시_양돈_20260203.csv
강원특별자치도,강릉시,동해영농조합법인,돼지,강원특별자치도 강릉시 강동면 임곡리 36번지 2호,강원특별자치도 강릉시 강동면 임곡로 529-24,,15000,34,16479.8,,,2026-02-03,강원특별자치도 강릉시_양돈_20260203.csv
강원특별자치도,강릉시,피내농장,돼지,강원특별자치도 강릉시 강동면 산성우리 373번지 1호,강원특별자치도 강릉시 강동면 율곡로 516,,4000,9,1629.12,,,2026-02-03,강원특별자치도 강릉시_양돈_20260203.csv
강원특별자치도,강릉시,주문축산,돼지,강원특별자치도 강릉시 구정면 학산리 70번지 69호,강원특별자치도 강릉시 구정면 미륵굼길 32,,2800,12,3147.86,,,2026-02-03,강원특별자치도 강릉시_양돈_20260203.csv
강원특별자치도,강릉시,영동 해피 팜,돼지,강원특별자치도 강릉시 강동면 산성우리 320번지 11호 외 11필지,강원특별자치도 강릉시 강동면 율곡로 707-36,,2840,5,2872.32,,,2026-02-03,강원특별자치도 강릉시_양돈_20260203.csv
강원특별자치도,강릉시,주남영농조합법인,돼지,강원특별자치도 강릉시 강동면 임곡리 72번지,강원특별자치도 강릉시 강동면 임곡로 651-10,,3500,4,3231.86,,,2026-02-03,강원특별자치도 강릉시_양돈_20260203.csv
강원특별자치도,강릉시,유성농장,돼지,강원특별자치도 강릉시 구정면 어단리 472번지 52호,강원특별자치도 강릉시 구정면 칠성로 116,,1600,7,2880,,,2026-02-03,강원특별자치도 강릉시_양돈_20260203.csv
